doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01001001___b0ac065467,空城计,1,【第一场】,诸葛亮,旗牌,对话/应答,对话,6,"兵扎祁山地,要擒司马懿。",pdf_01000000__01001001___b0ac065467__line__000033,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,1,【第一场】,旗牌,童儿,对话/应答,对话,2,"手捧地理图,报与丞相知。",pdf_01000000__01001001___b0ac065467__line__000033,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,1,【第一场】,童儿,旗牌,对话/应答,对话,2,什么人?,pdf_01000000__01001001___b0ac065467__line__000033,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,1,【第一场】,童儿,诸葛亮,对话/应答,对话,1,候着。,pdf_01000000__01001001___b0ac065467__line__000033,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,1,【第一场】,诸葛亮,童儿,对话/应答,对话,1,传。,pdf_01000000__01001001___b0ac065467__line__000033,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,1,【第一场】,旗牌,诸葛亮,对话/应答,对话,6,"是,是。参见丞相。",pdf_01000000__01001001___b0ac065467__line__000033,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,1,【第一场】,诸葛亮,司马懿,提及,提及,1,"兵扎祁山地,要擒司马懿。",pdf_01000000__01001001___b0ac065467__line__000033,mention,
pdf_01000000__01001001___b0ac065467,空城计,4,【第四场】,众人,诸葛亮,对话/应答,对话,1,哦。,pdf_01000000__01001001___b0ac065467__line__000203,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,4,【第四场】,诸葛亮,司马懿,对话/应答,对话,2,哈哈哈......,pdf_01000000__01001001___b0ac065467__line__000203,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,4,【第四场】,司马懿,众人,对话/应答,对话,1,"坐在马上来观定,城楼上坐的是诸葛孔明。左右琴童来捧酒,打扫街道老弱残兵。我本当传将令杀进城,",pdf_01000000__01001001___b0ac065467__line__000203,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,4,【第四场】,众人,司马懿,对话/应答,对话,1,喝!,pdf_01000000__01001001___b0ac065467__line__000203,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,4,【第四场】,司马懿,诸葛亮,对话/应答,对话,1,且慢。,pdf_01000000__01001001___b0ac065467__line__000203,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,4,【第四场】,司马懿,司马昭,对话/应答,对话,1,"左思右想心不定,城内必有埋伏兵。",pdf_01000000__01001001___b0ac065467__line__000203,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,4,【第四场】,司马昭,司马懿,对话/应答,对话,1,"听他琴内慌迫,一定是空城。乘此机会,杀进城去......",pdf_01000000__01001001___b0ac065467__line__000203,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,4,【第四场】,司马懿,老军,对话/应答,对话,1,"待我说破于他。诸葛亮呀,诸葛孔明,你实城也罢,空城也罢,你司马老爷是不进城了。请呀请呀!",pdf_01000000__01001001___b0ac065467__line__000203,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,4,【第四场】,老军,诸葛亮,对话/应答,对话,1,启禀丞相:司马懿人马倒退四十余里。,pdf_01000000__01001001___b0ac065467__line__000203,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,4,【第四场】,诸葛亮,赵云,对话/应答,对话,2,哈哈哈……,pdf_01000000__01001001___b0ac065467__line__000205,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,4,【第四场】,赵云,诸葛亮,对话/应答,对话,2,参见丞相。,pdf_01000000__01001001___b0ac065467__line__000157；pdf_01000000__01001001___b0ac065467__line__000213,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,4,【第四场】,司马懿,诸葛亮,命令/请求,命令,1,"待我说破于他。诸葛亮呀,诸葛孔明,你实城也罢,空城也罢,你司马老爷是不进城了。请呀请呀!",pdf_01000000__01001001___b0ac065467__line__000203,mention,
pdf_01000000__01001001___b0ac065467,空城计,4,【第四场】,老军,司马懿,汇报,汇报,1,启禀丞相:司马懿人马倒退四十余里。,pdf_01000000__01001001___b0ac065467__line__000203,mention,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,报子,司马懿,对话/应答,对话,1,西城乃是空城。,pdf_01000000__01001001___b0ac065467__line__000229,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,司马懿,司马昭,对话/应答,对话,1,再探！,pdf_01000000__01001001___b0ac065467__line__000121；pdf_01000000__01001001___b0ac065467__line__000129；pdf_01000000__01001001___b0ac065467__line__000137；pdf_01000000__01001001___b0ac065467__line__000231,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,司马昭,司马懿,对话/应答,对话,1,如何？,pdf_01000000__01001001___b0ac065467__line__000237,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,司马懿,赵云,对话/应答,对话,1,来将通名。,pdf_01000000__01001001___b0ac065467__line__000243,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,赵云,司马懿,对话/应答,对话,1,常山赵云。,pdf_01000000__01001001___b0ac065467__line__000245,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,6,【第六场】,司马懿,司马昭,对话/应答,对话,1,呸呸！我说是实城，你们说是空城。那赵云从天上掉下来的不成？,pdf_01000000__01001001___b0ac065467__line__000255,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,6,【第六场】,司马昭,司马懿,对话/应答,对话,1,我等哪里知道。,pdf_01000000__01001001___b0ac065467__line__000257,adjacency,
pdf_01000000__01001001___b0ac065467,空城计,6,【第六场】,司马懿,赵云,提及,提及,1,呸呸！我说是实城，你们说是空城。那赵云从天上掉下来的不成？,pdf_01000000__01001001___b0ac065467__line__000255,mention,
pdf_01000000__01001001___b0ac065467,空城计,6,【第六场】,司马懿,诸葛亮,提及,提及,1,诸葛亮呀，你的胆也太大了！司马懿呀，你的胆也就太小了！看将起来，司马不如亮也。众将官，悄悄地收兵。,pdf_01000000__01001001___b0ac065467__line__000259,mention,
pdf_01000000__01001001___b0ac065467,空城计,1,【第一场】,童儿,诸葛亮,同场共现,同场共现,1,（二童儿同上，诸葛亮上。）,,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,1,【第一场】,诸葛亮,童儿,同场共现,同场共现,1,（二童儿同上，诸葛亮上。）,,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,2,【第二场】,龙套,司马懿,同场共现,同场共现,1,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,2,【第二场】,龙套,司马师,同场共现,同场共现,1,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,2,【第二场】,龙套,司马昭,同场共现,同场共现,1,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,2,【第二场】,司马懿,司马师,同场共现,同场共现,1,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,2,【第二场】,司马懿,司马昭,同场共现,同场共现,1,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,2,【第二场】,司马懿,龙套,同场共现,同场共现,1,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,2,【第二场】,司马师,司马昭,同场共现,同场共现,1,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,2,【第二场】,司马师,龙套,同场共现,同场共现,1,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,2,【第二场】,司马昭,龙套,同场共现,同场共现,1,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,4,【第四场】,老军,诸葛亮,同场共现,同场共现,1,（二老军同下，诸葛亮下城。）,,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,司马懿,龙套,同场共现,同场共现,4,（四龙套、司马懿、司马师、司马昭同上。报子上。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,司马懿,司马师,同场共现,同场共现,2,（四龙套、司马懿、司马师、司马昭同上。报子上。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,司马懿,司马昭,同场共现,同场共现,2,（四龙套、司马懿、司马师、司马昭同上。报子上。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,司马懿,报子,同场共现,同场共现,1,（四龙套、司马懿、司马师、司马昭同上。报子上。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,龙套,司马师,同场共现,同场共现,2,（四龙套、司马懿、司马师、司马昭同上。报子上。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,龙套,司马昭,同场共现,同场共现,2,（四龙套、司马懿、司马师、司马昭同上。报子上。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,龙套,报子,同场共现,同场共现,2,（四龙套、司马懿、司马师、司马昭同上。报子上。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,司马师,司马昭,同场共现,同场共现,2,（四龙套、司马懿、司马师、司马昭同上。报子上。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,司马师,龙套,同场共现,同场共现,2,（四龙套、司马懿、司马师、司马昭同上。报子上。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,司马师,报子,同场共现,同场共现,1,（四龙套、司马懿、司马师、司马昭同上。报子上。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,司马昭,龙套,同场共现,同场共现,2,（四龙套、司马懿、司马师、司马昭同上。报子上。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,司马昭,报子,同场共现,同场共现,1,（四龙套、司马懿、司马师、司马昭同上。报子上。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,众人,赵云,同场共现,同场共现,1,（众人同允。四上手引赵云同上，两下会阵。）,,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,司马懿,赵云,同场共现,同场共现,1,（四龙套、司马懿、司马师、司马昭同下。四上手、赵云同下。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,龙套,赵云,同场共现,同场共现,1,（四龙套、司马懿、司马师、司马昭同下。四上手、赵云同下。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,司马师,赵云,同场共现,同场共现,1,（四龙套、司马懿、司马师、司马昭同下。四上手、赵云同下。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,司马昭,赵云,同场共现,同场共现,1,（四龙套、司马懿、司马师、司马昭同下。四上手、赵云同下。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,5,【第五场】,赵云,龙套,同场共现,同场共现,1,（四龙套、司马懿、司马师、司马昭同下。四上手、赵云同下。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,6,【第六场】,司马懿,龙套,同场共现,同场共现,2,（四龙套、司马懿、司马师、司马昭同上。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,6,【第六场】,司马懿,司马师,同场共现,同场共现,1,（四龙套、司马懿、司马师、司马昭同上。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,6,【第六场】,司马懿,司马昭,同场共现,同场共现,1,（四龙套、司马懿、司马师、司马昭同上。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,6,【第六场】,龙套,司马师,同场共现,同场共现,1,（四龙套、司马懿、司马师、司马昭同上。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,6,【第六场】,龙套,司马昭,同场共现,同场共现,1,（四龙套、司马懿、司马师、司马昭同上。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,6,【第六场】,司马师,司马昭,同场共现,同场共现,1,（四龙套、司马懿、司马师、司马昭同上。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,6,【第六场】,司马师,龙套,同场共现,同场共现,1,（四龙套、司马懿、司马师、司马昭同上。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,6,【第六场】,司马昭,龙套,同场共现,同场共现,1,（四龙套、司马懿、司马师、司马昭同上。）,pdf_01000000__01001001___b0ac065467__line__000235,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,1,【第一场】,旗牌,诸葛亮,汇报,汇报,1,献地理图，奉王将军所差,,llm,
