doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01001001___b0ac065467,空城计,冒险,权谋,2,【第一场】,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,使命,冒险,1,【第一场】,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,使命,悲情,1,【第一场】,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,使命,权谋,1,【第一场】,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,冒险,悲情,1,【第一场】,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,冒险,疑心,1,【第四场】,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,喜剧,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,喜剧,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,喜剧,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,喜剧,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,威慑,权谋,1,【第五场】,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,家国,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,悔悟,权谋,1,【第六场】,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,悔悟,胆识,1,【第六场】,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,悲情,权谋,1,【第一场】,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,战争,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,战争,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,战争,紧张氛围,1,【第二场】,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,战争,铺垫,1,【第三场】,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,权谋,疑心,1,【第四场】,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,权谋,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,权谋,胆识,1,【第六场】,scene_cooccurrence
