doc_id,doc_title,scene_index,scene,source,target,relation_type,weight,evidence,derived_by
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,报子,诸葛亮,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,诸葛亮,报子,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,报子,诸葛亮,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,诸葛亮,报子,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,报子,诸葛亮,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,诸葛亮,报子,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,报子,诸葛亮,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,诸葛亮,报子,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,报子,诸葛亮,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,诸葛亮,报子,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,报子,诸葛亮,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,诸葛亮,童儿,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,童儿,二老军,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,二老军,老军甲,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,老军甲,老军乙,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,老军乙,二老军,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,二老军,诸葛亮,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,诸葛亮,二老军,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,二老军,诸葛亮,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,诸葛亮,二老军,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,二老军,诸葛亮,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,诸葛亮,二老军,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,二老军,老军甲,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,老军甲,老军乙,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,老军乙,诸葛亮,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,诸葛亮,童儿,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,童儿,诸葛亮,对话/应答,1,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</t",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,诸葛亮,启禀丞相,对话/应答,1,营扎寨。怎么你不听我言，偏偏在山顶扎寨？只恐街亭难保。,adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,启禀丞相,诸葛亮,对话/应答,1,"<table><tr><td colspan=""3"">定斩首级不容情。</td></tr><tr><td>众人</td>",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,诸葛亮,赵云,对话/应答,1,"<table><tr><td>诸葛亮</td><td>(西皮摇板)</td><td>人言司马有才能,带兵不敢进西城。看起",adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,赵云,诸葛亮,对话/应答,1,参见丞相。,adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,诸葛亮,赵云,对话/应答,1,哎呀，老将军呀。今有司马带兵夺取西城，被山人略施小计，他兵退四十里。恐他复夺西城，老将军快快抵挡一阵。,adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,赵云,报子,对话/应答,1,# 【第五场】,adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,报子,司马懿,对话/应答,1,西城乃是空城。,adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,司马懿,司马昭,对话/应答,1,司马师、,adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,司马昭,司马懿,对话/应答,1,如何？,adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,司马懿,赵云,对话/应答,1,来将通名。,adjacency
pdf_01000000__01001001___b0ac065467,空城计,0,序幕/前置内容,赵云,司马懿,对话/应答,1,常山赵云。,adjacency
