doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01001001___b0ac065467,空城计,权谋,5,诸葛亮得知马谡失守街亭，司马懿大军逼近西城，城中空虚，遂定空城计，命老军打开城门，携琴童上敌楼抚琴。,llm
pdf_01000000__01001001___b0ac065467,空城计,战争,3,司马懿率司马师、司马昭及四龙套急急风过场，显示魏军快速行军，为后续兵临城下做铺垫。,llm
pdf_01000000__01001001___b0ac065467,空城计,使命,1,诸葛亮得知马谡失守街亭，司马懿大军逼近西城，城中空虚，遂定空城计，命老军打开城门，携琴童上敌楼抚琴。,llm
pdf_01000000__01001001___b0ac065467,空城计,冒险,1,司马懿兵临西城，诸葛亮在城楼抚琴，以空城计迷惑司马懿，使其疑有伏兵而退兵。,llm
pdf_01000000__01001001___b0ac065467,空城计,对峙,1,司马懿得知西城为空城，欲复夺城池，遭遇赵云拦截，司马懿不战而退。,llm
pdf_01000000__01001001___b0ac065467,空城计,悔悟,1,司马懿与司马昭讨论空城计，司马懿懊悔自己胆怯，认为诸葛亮胆大，决定悄悄收兵。,llm
pdf_01000000__01001001___b0ac065467,空城计,悲情,1,诸葛亮得知马谡失守街亭，司马懿大军逼近西城，城中空虚，遂定空城计，命老军打开城门，携琴童上敌楼抚琴。,llm
pdf_01000000__01001001___b0ac065467,空城计,疑心,1,司马懿兵临西城，诸葛亮在城楼抚琴，以空城计迷惑司马懿，使其疑有伏兵而退兵。,llm
pdf_01000000__01001001___b0ac065467,空城计,疑惧,1,司马懿得知西城为空城，欲复夺城池，遭遇赵云拦截，司马懿不战而退。,llm
pdf_01000000__01001001___b0ac065467,空城计,紧张氛围,1,司马懿率司马师、司马昭及四龙套急急风过场，显示魏军快速行军，为后续兵临城下做铺垫。,llm
pdf_01000000__01001001___b0ac065467,空城计,胆识,1,司马懿与司马昭讨论空城计，司马懿懊悔自己胆怯，认为诸葛亮胆大，决定悄悄收兵。,llm
pdf_01000000__01001001___b0ac065467,空城计,铺垫,1,赵云率四上手急急风过场，显示蜀军调动，为后续空城计做铺垫。,llm
