doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第二场】,杨继业,杨延昭,对话/应答,对话,1,听谯楼打罢了三更时分，,pdf_01000000__01001002___575bd35247__line__000055,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第二场】,杨延昭,杨继业,对话/应答,对话,1,"猛抬头又只见去世爹尊。曾记得两狼山何等光景,哪有个人死后又能复生。父子们重相逢犹如破镜,",pdf_01000000__01001002___575bd35247__line__000057,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第二场】,杨继业,家院,对话/应答,对话,1,"我的儿休贪睡细听分明:儿前番盗父的尸骸回郡,这都是萧天佐弄假成真。父尸骸在北国洪羊洞,望乡台第三层那才是真。父本当与我儿多把话论,怕的是天明亮难以回程。",pdf_01000000__01001002___575bd35247__line__000057,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第二场】,家院,杨延昭,对话/应答,对话,1,元帅醒来。,pdf_01000000__01001002___575bd35247__line__000057,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第二场】,杨延昭,家院,对话/应答,对话,1,"适才间遇我父来到宋营,醒来时不由我遍体汗淋。",pdf_01000000__01001002___575bd35247__line__000057,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第二场】,家院,孟良,对话/应答,对话,1,孟二爷进帐。,pdf_01000000__01001002___575bd35247__line__000057,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第二场】,孟良,杨延昭,对话/应答,对话,7,"不听皇王诏宣,单听杨家令传。",pdf_01000000__01001002___575bd35247__line__000057,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第二场】,杨延昭,孟良,对话/应答,对话,7,"贤弟少礼,请坐。",pdf_01000000__01001002___575bd35247__line__000057,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,3,【第三场】,家院,焦赞,对话/应答,对话,3,乃是假的。,pdf_01000000__01001002___575bd35247__line__000081,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,3,【第三场】,焦赞,家院,对话/应答,对话,2,真的呢?,pdf_01000000__01001002___575bd35247__line__000057；pdf_01000000__01001002___575bd35247__line__000081,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,3,【第三场】,焦赞,孟良,提及,提及,1,"元帅做事差又差,差了孟良不差咱。家院带过爷的马,这场功劳岂让他。",pdf_01000000__01001002___575bd35247__line__000081,mention,
pdf_01000000__01001002___575bd35247,洪羊洞,6,【第六场】,孟良,程宣,对话/应答,对话,6,呔!你可是奸细?,pdf_01000000__01001002___575bd35247__line__000103,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,6,【第六场】,程宣,孟良,对话/应答,对话,6,"爷爷饶命,我不是奸细,我是这里的更夫。",pdf_01000000__01001002___575bd35247__line__000103,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,6,【第六场】,孟良,焦赞,对话/应答,对话,1,"等你孟二爷回来,将你带回南朝。",pdf_01000000__01001002___575bd35247__line__000105,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,6,【第六场】,焦赞,程宣,对话/应答,对话,2,呔!可曾看见一红脸大汉过去?,pdf_01000000__01001002___575bd35247__line__000105,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,6,【第六场】,程宣,焦赞,对话/应答,对话,1,方才过去。,pdf_01000000__01001002___575bd35247__line__000105,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,7,【第七场】,孟良,程宣,对话/应答,对话,1,"且住,焦赞一死,叫我有何脸面,去见元帅。也罢,不免拜谢圣恩,寻个自尽了罢。",pdf_01000000__01001002___575bd35247__line__000111,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,7,【第七场】,孟良,焦赞,礼节/隶属,礼节/隶属,1,"且住,焦赞一死,叫我有何脸面,去见元帅。也罢,不免拜谢圣恩,寻个自尽了罢。",pdf_01000000__01001002___575bd35247__line__000111,mention,
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,杨延昭,家院,对话/应答,对话,3,"孟良盗骨无音信,好叫本帅挂在心。",pdf_01000000__01001002___575bd35247__line__000115,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,家院,杨延昭,对话/应答,对话,2,少站一时。启禀元帅:小番要见。,pdf_01000000__01001002___575bd35247__line__000115,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,家院,程宣,对话/应答,对话,1,"小番,元帅传你,小心了。",pdf_01000000__01001002___575bd35247__line__000115,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,程宣,杨延昭,对话/应答,对话,14,"是。元帅在哪里,元帅在哪里?",pdf_01000000__01001002___575bd35247__line__000115,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,杨延昭,程宣,对话/应答,对话,13,"哽,胆大小番,见了本帅,为何不跪?",pdf_01000000__01001002___575bd35247__line__000115,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,杨延昭,孟良,提及,提及,1,"孟良盗骨无音信,好叫本帅挂在心。",pdf_01000000__01001002___575bd35247__line__000115,mention,
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,杨延昭,程宣,提及,提及,1,"程宣,你奉何人所差?",pdf_01000000__01001002___575bd35247__line__000115,mention,
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,杨延昭,焦赞,提及,提及,1,"哎呀!听说焦赞丧番营,汗马功劳一旦倾。",pdf_01000000__01001002___575bd35247__line__000117,mention,
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,杨延昭,焦赞,命令/请求,命令,1,"哎呀!听说是二贤弟命丧北洲,焦赞,孟良,哎呀!",pdf_01000000__01001002___575bd35247__line__000117,mention,
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,杨延昭,孟良,命令/请求,命令,1,"哎呀!听说是二贤弟命丧北洲,焦赞,孟良,哎呀!",pdf_01000000__01001002___575bd35247__line__000117,mention,
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,杨延昭,赵德芳,对话/应答,对话,3,我杨家保宋主心血用尽，最可叹焦孟将他命丧番营。宗保儿搀为父病房来进，休得要惊动了年迈太君。,pdf_01000000__01001002___575bd35247__line__000131,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,赵德芳,杨宗保,对话/应答,对话,5,来至在郡马府忙下金镫，（四大铠、大太监同下。）,pdf_01000000__01001002___575bd35247__line__000135,adjacency,
