doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01001002___575bd35247,洪羊洞,程宣,杨延昭,汇报,17,对话；汇报,程宣向杨延昭报告孟良、焦赞死讯,llm,
pdf_01000000__01001002___575bd35247,洪羊洞,杨延昭,程宣,命令,16,命令；对话；提及,杨延昭命令程宣小心护送尸骨,llm,
pdf_01000000__01001002___575bd35247,洪羊洞,杨延昭,孟良,命令,14,命令；对话；提及,"哎呀!听说是二贤弟命丧北洲,焦赞,孟良,哎呀!",llm,
pdf_01000000__01001002___575bd35247,洪羊洞,孟良,杨延昭,对话,9,对话；服从,"不听皇王诏宣,单听杨家令传。",adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,孟良,程宣,命令,9,命令；对话；旁观,孟良盘问程宣并承诺带其回南朝,llm,
pdf_01000000__01001002___575bd35247,洪羊洞,程宣,孟良,协助,8,协助；对话,程宣告知洪羊洞位置并决定报信,llm,
pdf_01000000__01001002___575bd35247,洪羊洞,杨延昭,赵德芳,汇报,6,对话；汇报,杨延昭向赵德芳诉说病情起因及焦孟丧命,llm,
pdf_01000000__01001002___575bd35247,洪羊洞,杨宗保,赵德芳,对话,5,,迎接千岁。,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,杨延昭,杨宗保,命令,5,同场共现；命令；对话,杨延昭教训宗保必须忠心扶保乾坤,llm,
pdf_01000000__01001002___575bd35247,洪羊洞,杨延昭,柴夫人,命令,5,命令；对话；提及；礼节/隶属,杨延昭嘱托柴夫人早晚间侍奉娘亲,llm,
pdf_01000000__01001002___575bd35247,洪羊洞,赵德芳,杨宗保,对话,5,,来至在郡马府忙下金镫，（四大铠、大太监同下。）,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,家院,焦赞,汇报,4,对话；汇报,忙将机密事，报与老爷知。,llm,
pdf_01000000__01001002___575bd35247,洪羊洞,杨延昭,家院,对话,4,,"适才间遇我父来到宋营,醒来时不由我遍体汗淋。",adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,杨延昭,焦赞,命令,4,命令；提及,"哎呀!听说是二贤弟命丧北洲,焦赞,孟良,哎呀!",mention,
pdf_01000000__01001002___575bd35247,洪羊洞,杨继业,杨延昭,对话,4,告知；对话,听谯楼打罢了三更时分，,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,家院,杨延昭,对话,3,,元帅醒来。,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,焦赞,家院,命令,3,命令；对话,家院，倘若元帅要问，就说我染病在床。,llm,
pdf_01000000__01001002___575bd35247,洪羊洞,焦赞,程宣,命令,3,命令；对话,焦赞喝问程宣是否看见红脸大汉,llm,
pdf_01000000__01001002___575bd35247,洪羊洞,赵德芳,杨延昭,对话,3,,带路。,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,佘太君,杨延昭,对话,2,,我儿醒来。,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,佘太君,柴夫人,对话,2,,"听说宗保一声请,",adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,孟良,焦赞,对话,2,对话；礼节/隶属,"等你孟二爷回来,将你带回南朝。",adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,杨延昭,佘太君,对话,2,,"我面前站定了许多鬼魂。焦克明在一旁心怀愤愤,那孟、孟、孟佩仓笑嘻嘻,拱手相迎。小岳胜在一旁威风凛凛,啊,",adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,程宣,焦赞,评价,2,对话；评价,程宣认为焦赞不是好人，定是刺杀孟二爷的,llm,
pdf_01000000__01001002___575bd35247,洪羊洞,家院,孟良,对话,1,,孟二爷进帐。,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,家院,程宣,对话,1,,"小番,元帅传你,小心了。",adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,杨宗保,佘太君,对话,1,,有请祖母、娘亲。,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,杨宗保,杨延昭,对话,1,,爹爹吓!,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,杨延昭,杨继业,对话,1,,"猛抬头又只见去世爹尊。曾记得两狼山何等光景,哪有个人死后又能复生。父子们重相逢犹如破镜,",adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,杨继业,家院,对话,1,,"我的儿休贪睡细听分明:儿前番盗父的尸骸回郡,这都是萧天佐弄假成真。父尸骸在北国洪羊洞,望乡台第三层那才是真。父本当与我儿多把话论,怕的是天明亮难以回程。",adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,柴夫人,佘太君,对话,1,,急忙上前问分明。,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,柴夫人,杨延昭,对话,1,,哎呀!,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,柴夫人,赵德芳,对话,1,,怎不叫人痛在心。,adjacency,
pdf_01000000__01001002___575bd35247,洪羊洞,焦赞,孟良,提及,1,,"元帅做事差又差,差了孟良不差咱。家院带过爷的马,这场功劳岂让他。",mention,
pdf_01000000__01001002___575bd35247,洪羊洞,赵德芳,佘太君,劝阻,1,,赵德芳劝太君休要珠泪淋淋，表示千斤担由他担承,llm,
