doc_id,doc_title,scene_id,scene_index,scene,conflict_stage,scene_function,tension_level,tension_norm,dialogue_density,lyric_density,speech_density,narrative_turning_point,is_climax,derived_by
pdf_01000000__01001002___575bd35247,洪羊洞,pdf_01000000__01001002___575bd35247__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01001002___575bd35247,洪羊洞,pdf_01000000__01001002___575bd35247__scene__001,1,【第一场】,铺垫,引子,1,0.2,0.0833,0.0,0.0833,无转折，仅为角色引入。,0,scene_metrics
pdf_01000000__01001002___575bd35247,洪羊洞,pdf_01000000__01001002___575bd35247__scene__002,2,【第二场】,发展,推进,3,0.6,1.75,0.0,1.75,发现前次盗骨为假，真骨位置被揭示，任务重启,0,scene_metrics
pdf_01000000__01001002___575bd35247,洪羊洞,pdf_01000000__01001002___575bd35247__scene__003,3,【第三场】,发展,推进,3,0.6,0.3462,0.0385,0.3846,焦赞发现孟良盗回假骨，并得知真骨位置，决定私自行动，引发后续冲突。,0,scene_metrics
pdf_01000000__01001002___575bd35247,洪羊洞,pdf_01000000__01001002___575bd35247__scene__004,4,【第四场】,铺垫,引子,1,0.2,0.0,0.0,0.0,无显著转折,0,scene_metrics
pdf_01000000__01001002___575bd35247,洪羊洞,pdf_01000000__01001002___575bd35247__scene__005,5,【第五场】,过渡,过渡,1,0.2,0.0,0.0,0.0,无,0,scene_metrics
pdf_01000000__01001002___575bd35247,洪羊洞,pdf_01000000__01001002___575bd35247__scene__006,6,【第六场】,发展,推进,3,0.6,1.7,0.0,1.7,程宣决定从小道为孟良送信，埋下后续冲突伏笔,0,scene_metrics
pdf_01000000__01001002___575bd35247,洪羊洞,pdf_01000000__01001002___575bd35247__scene__007,7,【第七场】,高潮,收束,5,1.0,0.5,0.0,0.5,孟良因愧疚自刎，导致双将皆亡，剧情走向悲剧收束,1,scene_metrics
pdf_01000000__01001002___575bd35247,洪羊洞,pdf_01000000__01001002___575bd35247__scene__008,8,【第八场】,高潮,高潮,5,1.0,6.1667,0.0,6.1667,杨延昭得知两位结义兄弟惨死，剧情由寻骨转向丧友，情绪达到顶点。,1,scene_metrics
pdf_01000000__01001002___575bd35247,洪羊洞,pdf_01000000__01001002___575bd35247__scene__009,9,【第九场】,铺垫,引子,1,0.2,0.0,0.0,0.0,无,0,scene_metrics
pdf_01000000__01001002___575bd35247,洪羊洞,pdf_01000000__01001002___575bd35247__scene__010,10,【第十场】,高潮,高潮,5,1.0,0.4444,0.0,0.4444,杨延昭去世，剧情进入收束阶段,1,scene_metrics
