doc_id,doc_title,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01001002___575bd35247,洪羊洞,杨延昭,pdf_01000000__01001002___575bd35247__char__1de21143a8,17,92,1.0,1.0,relations_aggregated
pdf_01000000__01001002___575bd35247,洪羊洞,程宣,pdf_01000000__01001002___575bd35247__char__476397dea5,7,58,0.4118,0.6304,relations_aggregated
pdf_01000000__01001002___575bd35247,洪羊洞,孟良,pdf_01000000__01001002___575bd35247__char__5975f5da58,7,43,0.4118,0.4674,relations_aggregated
pdf_01000000__01001002___575bd35247,洪羊洞,家院,pdf_01000000__01001002___575bd35247__char__455f837782,7,17,0.4118,0.1848,relations_aggregated
pdf_01000000__01001002___575bd35247,洪羊洞,焦赞,pdf_01000000__01001002___575bd35247__char__d3044dc191,7,19,0.4118,0.2065,relations_aggregated
pdf_01000000__01001002___575bd35247,洪羊洞,赵德芳,pdf_01000000__01001002___575bd35247__char__5103c2b42c,6,23,0.3529,0.25,relations_aggregated
pdf_01000000__01001002___575bd35247,洪羊洞,佘太君,pdf_01000000__01001002___575bd35247__char__885012435f,6,10,0.3529,0.1087,relations_aggregated
pdf_01000000__01001002___575bd35247,洪羊洞,杨宗保,pdf_01000000__01001002___575bd35247__char__106654b9cc,5,18,0.2941,0.1957,relations_aggregated
pdf_01000000__01001002___575bd35247,洪羊洞,柴夫人,pdf_01000000__01001002___575bd35247__char__8127ff05c7,5,10,0.2941,0.1087,relations_aggregated
pdf_01000000__01001002___575bd35247,洪羊洞,杨继业,pdf_01000000__01001002___575bd35247__char__3da10fe899,3,4,0.1765,0.0435,relations_aggregated
