doc_id,doc_title,scene_index,scene,theme_label,evidence,derived_by
pdf_01000000__01001002___575bd35247,洪羊洞,0,序幕/前置内容,忠义,"（）# 《洪羊洞》
（）# （一名：《孟良盗骨》；一名：《三星归位》）
（）# 【第一场】
（杨继业上，二鬼卒同上。）
（）<table><tr><td row",keyword
pdf_01000000__01001002___575bd35247,洪羊洞,0,序幕/前置内容,战争,"（）# 《洪羊洞》
（）# （一名：《孟良盗骨》；一名：《三星归位》）
（）# 【第一场】
（杨继业上，二鬼卒同上。）
（）<table><tr><td row",keyword
pdf_01000000__01001002___575bd35247,洪羊洞,0,序幕/前置内容,家国,"（）# 《洪羊洞》
（）# （一名：《孟良盗骨》；一名：《三星归位》）
（）# 【第一场】
（杨继业上，二鬼卒同上。）
（）<table><tr><td row",keyword
pdf_01000000__01001002___575bd35247,洪羊洞,0,序幕/前置内容,亲情,"（）# 《洪羊洞》
（）# （一名：《孟良盗骨》；一名：《三星归位》）
（）# 【第一场】
（杨继业上，二鬼卒同上。）
（）<table><tr><td row",keyword
pdf_01000000__01001002___575bd35247,洪羊洞,0,序幕/前置内容,公案,"（）# 《洪羊洞》
（）# （一名：《孟良盗骨》；一名：《三星归位》）
（）# 【第一场】
（杨继业上，二鬼卒同上。）
（）<table><tr><td row",keyword
pdf_01000000__01001002___575bd35247,洪羊洞,0,序幕/前置内容,情爱,"（）# 《洪羊洞》
（）# （一名：《孟良盗骨》；一名：《三星归位》）
（）# 【第一场】
（杨继业上，二鬼卒同上。）
（）<table><tr><td row",keyword
pdf_01000000__01001002___575bd35247,洪羊洞,0,序幕/前置内容,离散,"（）# 《洪羊洞》
（）# （一名：《孟良盗骨》；一名：《三星归位》）
（）# 【第一场】
（杨继业上，二鬼卒同上。）
（）<table><tr><td row",keyword
pdf_01000000__01001002___575bd35247,洪羊洞,1,【第七场】,家国,"（）<table><tr><td>孟良(内西皮导板)</td><td>北国有个洪羊洞,</td></tr><tr><td>(孟良上。)</td><td></td",keyword
pdf_01000000__01001002___575bd35247,洪羊洞,1,【第七场】,亲情,"（）<table><tr><td>孟良(内西皮导板)</td><td>北国有个洪羊洞,</td></tr><tr><td>(孟良上。)</td><td></td",keyword
pdf_01000000__01001002___575bd35247,洪羊洞,1,【第七场】,情爱,"（）<table><tr><td>孟良(内西皮导板)</td><td>北国有个洪羊洞,</td></tr><tr><td>(孟良上。)</td><td></td",keyword
pdf_01000000__01001002___575bd35247,洪羊洞,1,【第七场】,离散,"（）<table><tr><td>孟良(内西皮导板)</td><td>北国有个洪羊洞,</td></tr><tr><td>(孟良上。)</td><td></td",keyword
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第十场】,家国,"杨延昭（内白）搀扶了。
（杨宗保搀杨延昭同上。）
杨延昭（二黄慢板）我杨家保宋主心血用尽，最可叹焦孟将他命丧番营。宗保儿搀为父病房来进，休得要惊动了年迈太君。
",keyword
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第十场】,亲情,"杨延昭（内白）搀扶了。
（杨宗保搀杨延昭同上。）
杨延昭（二黄慢板）我杨家保宋主心血用尽，最可叹焦孟将他命丧番营。宗保儿搀为父病房来进，休得要惊动了年迈太君。
",keyword
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第十场】,公案,"杨延昭（内白）搀扶了。
（杨宗保搀杨延昭同上。）
杨延昭（二黄慢板）我杨家保宋主心血用尽，最可叹焦孟将他命丧番营。宗保儿搀为父病房来进，休得要惊动了年迈太君。
",keyword
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第十场】,情爱,"杨延昭（内白）搀扶了。
（杨宗保搀杨延昭同上。）
杨延昭（二黄慢板）我杨家保宋主心血用尽，最可叹焦孟将他命丧番营。宗保儿搀为父病房来进，休得要惊动了年迈太君。
",keyword
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第十场】,离散,"杨延昭（内白）搀扶了。
（杨宗保搀杨延昭同上。）
杨延昭（二黄慢板）我杨家保宋主心血用尽，最可叹焦孟将他命丧番营。宗保儿搀为父病房来进，休得要惊动了年迈太君。
",keyword
