doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01001003___c7b0d12542,三娘教子,亲情,公案,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,亲情,喜剧,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,亲情,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,亲情,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,亲情,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,亲情,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,公案,喜剧,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,公案,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,公案,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,公案,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,公案,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,公案,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,公案,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,喜剧,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,喜剧,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,喜剧,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,喜剧,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,喜剧,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,喜剧,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,家国,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,家国,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,家国,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,忠义,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,忠义,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,忠义,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,忠义,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,情爱,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,情爱,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,情爱,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,战争,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,战争,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,权谋,离散,1,序幕/前置内容,scene_cooccurrence
