doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01001004___c0c4e6569b,乌盆计,1,【第一场】,张别古,赵大,对话/应答,对话,16,哽唬。,pdf_01000000__01001004___c0c4e6569b__line__000027,adjacency,
pdf_01000000__01001004___c0c4e6569b,乌盆计,1,【第一场】,赵大,张别古,对话/应答,对话,16,忽听叫赵大，胆战又如麻。纵然将事发，我有钱也不怕。,pdf_01000000__01001004___c0c4e6569b__line__000031,adjacency,
pdf_01000000__01001004___c0c4e6569b,乌盆计,1,【第一场】,张别古,刘世昌,对话/应答,对话,23,"吓,老天哪,老天!我想赵大与我一样之人,为何他就会发起财了?嗳:莫道东风常向北,北风也有向南时。",pdf_01000000__01001004___c0c4e6569b__line__000065,adjacency,
pdf_01000000__01001004___c0c4e6569b,乌盆计,1,【第一场】,刘世昌,张别古,对话/应答,对话,23,张别古!,pdf_01000000__01001004___c0c4e6569b__line__000065,adjacency,
pdf_01000000__01001004___c0c4e6569b,乌盆计,1,【第一场】,张别古,赵大,提及,提及,1,赵大，赵大……,pdf_01000000__01001004___c0c4e6569b__line__000035,mention,
pdf_01000000__01001004___c0c4e6569b,乌盆计,1,【第一场】,张别古,赵大,问答,对话,1,"吓,老天哪,老天!我想赵大与我一样之人,为何他就会发起财了?嗳:莫道东风常向北,北风也有向南时。",pdf_01000000__01001004___c0c4e6569b__line__000065,mention,
pdf_01000000__01001004___c0c4e6569b,乌盆计,1,【第一场】,刘世昌,张别古,提及,提及,2,张别古!,pdf_01000000__01001004___c0c4e6569b__line__000065,mention,
pdf_01000000__01001004___c0c4e6569b,乌盆计,1,【第一场】,刘世昌,赵大,命令/请求,命令,1,"务农为本颇有家财。奉母命上京去做买卖,贩卖绸缎倒也生财。主仆离家有一载,归清账目转回家来。行至在定远县关外,忽然间大雨就洒下来。路过了赵大窑门外,借宿谁知惹祸灾",pdf_01000000__01001004___c0c4e6569b__line__000065,mention,
pdf_01000000__01001004___c0c4e6569b,乌盆计,1,【第一场】,刘世昌,赵大,对抗,对抗,1,"劈头盖脸洒下来,奇臭难闻我的口难开。恨赵大夫妻将我害,害得我一家人两离分开。老母望儿儿不在,妻子盼夫夫不能够归来。好一似失针归大海,要相逢除非是梦里阳台。望求老",pdf_01000000__01001004___c0c4e6569b__line__000065,mention,
pdf_01000000__01001004___c0c4e6569b,乌盆计,1,【第一场】,刘世昌,家人,对抗,对抗,1,"劈头盖脸洒下来,奇臭难闻我的口难开。恨赵大夫妻将我害,害得我一家人两离分开。老母望儿儿不在,妻子盼夫夫不能够归来。好一似失针归大海,要相逢除非是梦里阳台。望求老",pdf_01000000__01001004___c0c4e6569b__line__000065,mention,
