doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01001004___c0c4e6569b,乌盆计,刘世昌,张别古,协助,9,协助；同场共现；对话；提及,刘世昌冤魂向张别古诉说冤情，恳求他带自己去见包公,llm_refined,0.95
pdf_01000000__01001004___c0c4e6569b,乌盆计,张别古,刘世昌,协助,8,协助；对话,张别古最终答应带乌盆去见官伸冤,llm_refined,0.95
pdf_01000000__01001004___c0c4e6569b,乌盆计,张别古,赵大,对抗,6,对抗；对话；提及,"我打草鞋为生,城南赵大,该我两双草鞋钱,我跟他去要债,他没有钱,给了我一个盆。走在半路,这个盆说了话,乌盆它有冤枉。",llm_refined,0.9
pdf_01000000__01001004___c0c4e6569b,乌盆计,张别古,包拯,汇报,5,对话；汇报,张别古向包拯陈述乌盆说话及冤情。,llm_refined,0.95
pdf_01000000__01001004___c0c4e6569b,乌盆计,包拯,张别古,命令,4,命令；对话,包拯赏纸钱并下令打张别古五板。,llm_refined,0.9
pdf_01000000__01001004___c0c4e6569b,乌盆计,赵大,张别古,对抗,4,对话,忽听叫赵大，胆战又如麻。纵然将事发，我有钱也不怕。,llm_refined,0.85
pdf_01000000__01001004___c0c4e6569b,乌盆计,刘世昌,赵大,对抗,3,命令；对抗,"务农为本颇有家财。奉母命上京去做买卖,贩卖绸缎倒也生财。主仆离家有一载,归清账目转回家来。行至在定远县关外,忽然间大雨就洒下来。路过了赵大窑门外,借宿谁知惹祸灾",llm_refined,0.85
pdf_01000000__01001004___c0c4e6569b,乌盆计,包拯,二衙役,命令,3,对话,"官居县令,与黎民,判断冤情。",llm_refined,0.7
pdf_01000000__01001004___c0c4e6569b,乌盆计,二衙役,包拯,对话,2,,未曾说话。,llm_refined,0.5
pdf_01000000__01001004___c0c4e6569b,乌盆计,二衙役,张别古,对话,2,,将放告牌抬出。,llm_refined,0.6
pdf_01000000__01001004___c0c4e6569b,乌盆计,包拯,刘世昌,命令,2,,包拯两次呼唤乌盆，试图让其说话。,llm_refined,0.9
pdf_01000000__01001004___c0c4e6569b,乌盆计,张别古,二衙役,对话,2,,"回禀太爷的话,小老儿姓张,我也不是弓长张,也不是立早章,我是骡子撒料一张一张那个张;别我也不是特别的别,也不是辞别的别,是往后头别的别;这个古,也不是古来的古,",llm_refined,0.7
pdf_01000000__01001004___c0c4e6569b,乌盆计,刘世昌,家人,提及,1,,"劈头盖脸洒下来,奇臭难闻我的口难开。恨赵大夫妻将我害,害得我一家人两离分开。老母望儿儿不在,妻子盼夫夫不能够归来。好一似失针归大海,要相逢除非是梦里阳台。望求老",llm_refined,0.8
