doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01001004___c0c4e6569b,乌盆计,公案,因果报应,2,【第一场】,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,亲情,公案,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,亲情,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,亲情,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,公案,幽冥,1,【第二场】,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,公案,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,公案,求助,1,【第一场】,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,公案,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,公案,贫富对比,1,【第一场】,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,因果报应,幽冥,1,【第二场】,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,因果报应,求助,1,【第一场】,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,因果报应,贫富对比,1,【第一场】,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,权谋,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,求助,贫富对比,1,【第一场】,scene_cooccurrence
