doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01001004___c0c4e6569b,乌盆计,1,【第一场】,【第一场】,冤屈,公案,1,刘世昌；张别古；赵大,张别古找赵大讨债，赵大炫耀财富并戏弄张别古。张别古回家途中，被刘世昌冤魂附于乌盆中求助，刘世昌诉说被赵大夫妻毒杀经过，恳求张别古带他去见包公伸冤。,llm
pdf_01000000__01001004___c0c4e6569b,乌盆计,1,【第一场】,【第一场】,求助,求助,1,刘世昌；张别古；赵大,张别古找赵大讨债，赵大炫耀财富并戏弄张别古。张别古回家途中，被刘世昌冤魂附于乌盆中求助，刘世昌诉说被赵大夫妻毒杀经过，恳求张别古带他去见包公伸冤。,llm
pdf_01000000__01001004___c0c4e6569b,乌盆计,1,【第一场】,【第一场】,贫富对比,贫富对比,1,刘世昌；张别古；赵大,张别古找赵大讨债，赵大炫耀财富并戏弄张别古。张别古回家途中，被刘世昌冤魂附于乌盆中求助，刘世昌诉说被赵大夫妻毒杀经过，恳求张别古带他去见包公伸冤。,llm
pdf_01000000__01001004___c0c4e6569b,乌盆计,1,【第一场】,【第一场】,因果报应,因果报应,1,刘世昌；张别古；赵大,张别古找赵大讨债，赵大炫耀财富并戏弄张别古。张别古回家途中，被刘世昌冤魂附于乌盆中求助，刘世昌诉说被赵大夫妻毒杀经过，恳求张别古带他去见包公伸冤。,llm
pdf_01000000__01001004___c0c4e6569b,乌盆计,2,【第二场】,【第二场】,冤魂告状,幽冥,1,二衙役；刘世昌；包拯；张别古,张别古带乌盆到公堂告状，包拯起初不信乌盆说话，后经张别古转述，得知乌盆冤魂被门神所阻，包拯赏纸钱后，乌盆显灵陈述冤情，包拯下令传赵大夫妻到案。,llm
pdf_01000000__01001004___c0c4e6569b,乌盆计,2,【第二场】,【第二场】,官断明冤,公案,1,二衙役；刘世昌；包拯；张别古,张别古带乌盆到公堂告状，包拯起初不信乌盆说话，后经张别古转述，得知乌盆冤魂被门神所阻，包拯赏纸钱后，乌盆显灵陈述冤情，包拯下令传赵大夫妻到案。,llm
pdf_01000000__01001004___c0c4e6569b,乌盆计,2,【第二场】,【第二场】,因果报应,因果报应,1,二衙役；刘世昌；包拯；张别古,张别古带乌盆到公堂告状，包拯起初不信乌盆说话，后经张别古转述，得知乌盆冤魂被门神所阻，包拯赏纸钱后，乌盆显灵陈述冤情，包拯下令传赵大夫妻到案。,llm
pdf_01000000__01001004___c0c4e6569b,乌盆计,0,序幕/前置内容,序幕/前置内容,权谋,权谋,1,,# 《乌盆计》 【后本】（一名：《奇冤报》；一名：《定远县》）,keyword
pdf_01000000__01001004___c0c4e6569b,乌盆计,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《乌盆计》 【后本】（一名：《奇冤报》；一名：《定远县》）,keyword
pdf_01000000__01001004___c0c4e6569b,乌盆计,0,序幕/前置内容,序幕/前置内容,公案,公案,1,,# 《乌盆计》 【后本】（一名：《奇冤报》；一名：《定远县》）,keyword
pdf_01000000__01001004___c0c4e6569b,乌盆计,0,序幕/前置内容,序幕/前置内容,离散,离散,1,,# 《乌盆计》 【后本】（一名：《奇冤报》；一名：《定远县》）,keyword
