doc_id,doc_title,scene_index,scene,source,target,relation_type,weight,evidence,derived_by
pdf_01000000__01001004___c0c4e6569b,乌盆计,0,序幕/前置内容,赵大,张别古,对话/应答,1,是谁？,adjacency
pdf_01000000__01001004___c0c4e6569b,乌盆计,0,序幕/前置内容,张别古,赵大,对话/应答,1,赵大，赵大……,adjacency
pdf_01000000__01001004___c0c4e6569b,乌盆计,0,序幕/前置内容,赵大,张别古,对话/应答,1,原来是老小子。,adjacency
pdf_01000000__01001004___c0c4e6569b,乌盆计,0,序幕/前置内容,张别古,赵大,对话/应答,1,是我。,adjacency
pdf_01000000__01001004___c0c4e6569b,乌盆计,0,序幕/前置内容,赵大,张别古,对话/应答,1,你做什么来的？,adjacency
pdf_01000000__01001004___c0c4e6569b,乌盆计,0,序幕/前置内容,张别古,赵大,对话/应答,1,我找你有两句话讲。,adjacency
pdf_01000000__01001004___c0c4e6569b,乌盆计,0,序幕/前置内容,赵大,张别古,对话/应答,1,有话在这里讲么？,adjacency
pdf_01000000__01001004___c0c4e6569b,乌盆计,0,序幕/前置内容,张别古,赵大,对话/应答,1,不在这里讲，在哪里讲？,adjacency
pdf_01000000__01001004___c0c4e6569b,乌盆计,0,序幕/前置内容,赵大,张别古,对话/应答,1,这里风大，吹了我的舌头。在我会客厅里讲去。,adjacency
pdf_01000000__01001004___c0c4e6569b,乌盆计,0,序幕/前置内容,张别古,赵大,对话/应答,1,有了钱，就有了会客厅了。我不认识，你头里走。,adjacency
pdf_01000000__01001004___c0c4e6569b,乌盆计,0,序幕/前置内容,赵大,包拯,对话/应答,1,"<table><tr><td>张别古(白)</td><td>哎吓,你怎么拿我开心呢。我为你捱了屁股呢!</td></tr",adjacency
pdf_01000000__01001004___c0c4e6569b,乌盆计,0,序幕/前置内容,包拯,刘世昌,对话/应答,1,"<table><tr><td>张别古(白)</td><td>哎吓,你怎么拿我开心呢。我为你捱了屁股呢!</td></tr",adjacency
pdf_01000000__01001004___c0c4e6569b,乌盆计,0,序幕/前置内容,刘世昌,包拯,对话/应答,1,"<table><tr><td>张别古(白)</td><td>哎吓,你怎么拿我开心呢。我为你捱了屁股呢!</td></tr",adjacency
pdf_01000000__01001004___c0c4e6569b,乌盆计,0,序幕/前置内容,包拯,二衙役,对话/应答,1,"<table><tr><td>张别古(白)</td><td>哎吓,你怎么拿我开心呢。我为你捱了屁股呢!</td></tr",adjacency
pdf_01000000__01001004___c0c4e6569b,乌盆计,0,序幕/前置内容,二衙役,包拯,对话/应答,1,"<table><tr><td>张别古(白)</td><td>哎吓,你怎么拿我开心呢。我为你捱了屁股呢!</td></tr",adjacency
pdf_01000000__01001004___c0c4e6569b,乌盆计,0,序幕/前置内容,张别古,赵大,提及,1,赵大，赵大……,mention
pdf_01000000__01001004___c0c4e6569b,乌盆计,0,序幕/前置内容,张别古,刘世昌,同场共现,1,（刘世昌、张别古同下。）,stage_direction
