doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,text,target,target_char_id,emotion_tag,speech_act,entity_tags,action_tags,is_key_line,emotion_derived_by,target_derived_by,llm_confidence,raw_line
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000001,pdf_01000000__01001005___9cd2b8992a__scene__000,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,0,序幕/前置内容,1,narration,narration,,,,# 《打鼓骂曹》 （一名：《群臣宴》）,,,愤怒,,,打,1,rule,,,# 《打鼓骂曹》 （一名：《群臣宴》）
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000021,pdf_01000000__01001005___9cd2b8992a__scene__001,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,21,dialogue,dialogue,祢衡,pdf_01000000__01001005___9cd2b8992a__char__2e5c496bad,引子,"天宽地阔海无边,成败兴亡梦里眠。",,,其他,陈述,,,0,llm,,0.8,"祢衡（引子）天宽地阔海无边,成败兴亡梦里眠。"
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000025,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,25,lyric,lyric,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,西皮摇板,"三国纷纷刀兵扰,每日思想计千条。但愿狼烟一起扫,四海升平乐唐尧。",祢衡,pdf_01000000__01001005___9cd2b8992a__char__2e5c496bad,,,,唱段,1,,rule,,"曹操（西皮摇板）三国纷纷刀兵扰,每日思想计千条。但愿狼烟一起扫,四海升平乐唐尧。"
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000025,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,25,lyric,lyric,张辽,pdf_01000000__01001005___9cd2b8992a__char__24bee3c180,西皮摇板,"一封书信忙修起,见了丞相说端的。参见丞相。",曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,,,,唱段,1,,rule,,"张辽（西皮摇板）一封书信忙修起,见了丞相说端的。参见丞相。"
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000025,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,25,dialogue,dialogue,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,白,"将军少礼,请坐。",将军,pdf_01000000__01001005___9cd2b8992a__char__a6750bcea7,平,命令,,请；坐；念白,0,llm,llm,0.9,"曹操（白）将军少礼,请坐。"
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,张辽,pdf_01000000__01001005___9cd2b8992a__char__24bee3c180,白,谢坐。,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,,,,坐；念白,0,,rule,,张辽（白）谢坐。
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,白,"命你修书,你可曾修起?",张辽,pdf_01000000__01001005___9cd2b8992a__char__24bee3c180,,,,命；念白,1,,rule,,"曹操（白）命你修书,你可曾修起?"
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,张辽,pdf_01000000__01001005___9cd2b8992a__char__24bee3c180,白,已经修好。命何人送去?,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,,,,去；命；念白,1,,rule,,张辽（白）已经修好。命何人送去?
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,白,"孔融荐举祢衡,还未见到来。",祢衡,pdf_01000000__01001005___9cd2b8992a__char__2e5c496bad,,,祢衡,来；念白,0,,rule,,"曹操（白）孔融荐举祢衡,还未见到来。"
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,张辽,pdf_01000000__01001005___9cd2b8992a__char__24bee3c180,白,想必来也。,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,,,,来；念白,0,,rule,,张辽（白）想必来也。
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,lyric,lyric,孔融,pdf_01000000__01001005___9cd2b8992a__char__0de411d68a,西皮摇板,"祢衡先生我请到,见了丞相说根苗。",祢衡,pdf_01000000__01001005___9cd2b8992a__char__2e5c496bad,,,祢衡,请；唱段,1,,rule,,"孔融（西皮摇板）祢衡先生我请到,见了丞相说根苗。"
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,白,少礼请坐。,孔融,pdf_01000000__01001005___9cd2b8992a__char__0de411d68a,,,,请；坐；念白,0,,rule,,曹操（白）少礼请坐。
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,孔融,pdf_01000000__01001005___9cd2b8992a__char__0de411d68a,白,谢坐。,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,,,,坐；念白,0,,rule,,孔融（白）谢坐。
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,白,祢衡可曾唤到?,祢衡,pdf_01000000__01001005___9cd2b8992a__char__2e5c496bad,,,祢衡,唤；念白,0,,rule,,曹操（白）祢衡可曾唤到?
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,孔融,pdf_01000000__01001005___9cd2b8992a__char__0de411d68a,白,现在府外。,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,,,,念白,0,,rule,,孔融（白）现在府外。
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,白,唤他进来。,孔融,pdf_01000000__01001005___9cd2b8992a__char__0de411d68a,,,,进；来；唤；念白,0,,rule,,曹操（白）唤他进来。
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,孔融,pdf_01000000__01001005___9cd2b8992a__char__0de411d68a,白,有请祢衡先生。,祢衡,pdf_01000000__01001005___9cd2b8992a__char__2e5c496bad,,,祢衡,请；念白,0,,rule,,孔融（白）有请祢衡先生。
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,祢衡,pdf_01000000__01001005___9cd2b8992a__char__2e5c496bad,内白,来也!,孔融,pdf_01000000__01001005___9cd2b8992a__char__0de411d68a,,,,来；念白,0,,rule,,祢衡（内白）来也!
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,lyric,lyric,祢衡,pdf_01000000__01001005___9cd2b8992a__char__2e5c496bad,西皮快板,"相府门前杀气高,密密层层摆枪刀。画阁雕梁双凤绕,赛似天子九龙朝。",,,愤怒,,,杀；唱段,1,rule,,,"祢衡（西皮快板）相府门前杀气高,密密层层摆枪刀。画阁雕梁双凤绕,赛似天子九龙朝。"
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,孔融,pdf_01000000__01001005___9cd2b8992a__char__0de411d68a,白,祢衡先生参见丞相。,祢衡,pdf_01000000__01001005___9cd2b8992a__char__2e5c496bad,,,祢衡,念白,0,,rule,,孔融（白）祢衡先生参见丞相。
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,祢衡,pdf_01000000__01001005___9cd2b8992a__char__2e5c496bad,白,祢衡参见丞相。,孔融,pdf_01000000__01001005___9cd2b8992a__char__0de411d68a,,,祢衡,念白,0,,rule,,祢衡（白）祢衡参见丞相。
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,白,下站何人?,祢衡,pdf_01000000__01001005___9cd2b8992a__char__2e5c496bad,,,,下；念白,0,,rule,,曹操（白）下站何人?
