doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,perform_type,perform_subtype,action_tags,participants,text,raw_line
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000001,pdf_01000000__01001005___9cd2b8992a__scene__000,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,0,序幕/前置内容,1,narration,narration,,,,说明,,打,《打鼓骂曹》；（一名：《群臣宴》,# 《打鼓骂曹》 （一名：《群臣宴》）,# 《打鼓骂曹》 （一名：《群臣宴》）
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000021,pdf_01000000__01001005___9cd2b8992a__scene__001,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,21,dialogue,dialogue,祢衡,pdf_01000000__01001005___9cd2b8992a__char__2e5c496bad,引子,对白,引子,,祢衡,"天宽地阔海无边,成败兴亡梦里眠。","祢衡（引子）天宽地阔海无边,成败兴亡梦里眠。"
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000025,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,25,lyric,lyric,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,西皮摇板,唱,西皮摇板,唱段,曹操,"三国纷纷刀兵扰,每日思想计千条。但愿狼烟一起扫,四海升平乐唐尧。","曹操（西皮摇板）三国纷纷刀兵扰,每日思想计千条。但愿狼烟一起扫,四海升平乐唐尧。"
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000025,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,25,lyric,lyric,张辽,pdf_01000000__01001005___9cd2b8992a__char__24bee3c180,西皮摇板,唱,西皮摇板,唱段,张辽,"一封书信忙修起,见了丞相说端的。参见丞相。","张辽（西皮摇板）一封书信忙修起,见了丞相说端的。参见丞相。"
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000025,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,25,dialogue,dialogue,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,白,白,白,请；坐；念白,曹操,"将军少礼,请坐。","曹操（白）将军少礼,请坐。"
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,张辽,pdf_01000000__01001005___9cd2b8992a__char__24bee3c180,白,白,白,坐；念白,张辽,谢坐。,张辽（白）谢坐。
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,白,白,白,命；念白,曹操,"命你修书,你可曾修起?","曹操（白）命你修书,你可曾修起?"
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,张辽,pdf_01000000__01001005___9cd2b8992a__char__24bee3c180,白,白,白,去；命；念白,张辽,已经修好。命何人送去?,张辽（白）已经修好。命何人送去?
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,白,白,白,来；念白,曹操；祢衡,"孔融荐举祢衡,还未见到来。","曹操（白）孔融荐举祢衡,还未见到来。"
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,张辽,pdf_01000000__01001005___9cd2b8992a__char__24bee3c180,白,白,白,来；念白,张辽,想必来也。,张辽（白）想必来也。
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,lyric,lyric,孔融,pdf_01000000__01001005___9cd2b8992a__char__0de411d68a,西皮摇板,唱,西皮摇板,请；唱段,祢衡；孔融,"祢衡先生我请到,见了丞相说根苗。","孔融（西皮摇板）祢衡先生我请到,见了丞相说根苗。"
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,白,白,白,请；坐；念白,曹操,少礼请坐。,曹操（白）少礼请坐。
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,孔融,pdf_01000000__01001005___9cd2b8992a__char__0de411d68a,白,白,白,坐；念白,孔融,谢坐。,孔融（白）谢坐。
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,白,白,白,唤；念白,曹操；祢衡,祢衡可曾唤到?,曹操（白）祢衡可曾唤到?
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,孔融,pdf_01000000__01001005___9cd2b8992a__char__0de411d68a,白,白,白,念白,孔融,现在府外。,孔融（白）现在府外。
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,白,白,白,进；来；唤；念白,曹操,唤他进来。,曹操（白）唤他进来。
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,孔融,pdf_01000000__01001005___9cd2b8992a__char__0de411d68a,白,白,白,请；念白,祢衡；孔融,有请祢衡先生。,孔融（白）有请祢衡先生。
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,祢衡,pdf_01000000__01001005___9cd2b8992a__char__2e5c496bad,内白,白,内白,来；念白,祢衡,来也!,祢衡（内白）来也!
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,lyric,lyric,祢衡,pdf_01000000__01001005___9cd2b8992a__char__2e5c496bad,西皮快板,唱,西皮快板,杀；唱段,祢衡,"相府门前杀气高,密密层层摆枪刀。画阁雕梁双凤绕,赛似天子九龙朝。","祢衡（西皮快板）相府门前杀气高,密密层层摆枪刀。画阁雕梁双凤绕,赛似天子九龙朝。"
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,孔融,pdf_01000000__01001005___9cd2b8992a__char__0de411d68a,白,白,白,念白,祢衡；孔融,祢衡先生参见丞相。,孔融（白）祢衡先生参见丞相。
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,祢衡,pdf_01000000__01001005___9cd2b8992a__char__2e5c496bad,白,白,白,念白,祢衡,祢衡参见丞相。,祢衡（白）祢衡参见丞相。
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,白,白,白,下；念白,曹操,下站何人?,曹操（白）下站何人?
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,祢衡,pdf_01000000__01001005___9cd2b8992a__char__2e5c496bad,白,白,白,念白,祢衡,"姓祢名衡,乃山西平原郡人氏。","祢衡（白）姓祢名衡,乃山西平原郡人氏。"
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,孔融,pdf_01000000__01001005___9cd2b8992a__char__0de411d68a,白,白,白,念白,孔融,这就是祢先生。,孔融（白）这就是祢先生。
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,白,白,白,叫；念白,曹操；祢衡,"怕老夫不知他叫祢衡?见了老夫,这等大模大样,只行常礼,其实可恼!","曹操（白）怕老夫不知他叫祢衡?见了老夫,这等大模大样,只行常礼,其实可恼!"
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__line__000027,pdf_01000000__01001005___9cd2b8992a__scene__002,01001005_打鼓骂曹.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001005_打鼓骂曹.pdf,01000000/01001005_打鼓骂曹.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,祢衡,pdf_01000000__01001005___9cd2b8992a__char__2e5c496bad,白,白,白,上；下；进；来；道；坐；念白,曹操；祢衡,"哦呵呀!我道曹操敬贤礼士,却原来不识好人。吾进得相府,与他深施一礼,他坐在上面,昂然不动,倒也罢了,反说我礼貌不周。我乃天下奇士,岂肯与奸贼低首吓。孔文举你将我荐错了。","祢衡（白）哦呵呀!我道曹操敬贤礼士,却原来不识好人。吾进得相府,与他深施一礼,他坐在上面,昂然不动,倒也罢了,反说我礼貌不周。我乃天下奇士,岂肯与奸贼低首吓。孔文举你将我荐错了。"
