doc_id,doc_title,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,10,123,1.0,0.9389,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,祢衡,pdf_01000000__01001005___9cd2b8992a__char__2e5c496bad,10,131,1.0,1.0,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,四朝官,pdf_01000000__01001005___9cd2b8992a__char__4a0d402c3e,10,58,1.0,0.4427,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,张辽,pdf_01000000__01001005___9cd2b8992a__char__24bee3c180,8,30,0.8,0.229,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,孔融,pdf_01000000__01001005___9cd2b8992a__char__0de411d68a,6,24,0.6,0.1832,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,二旗牌,pdf_01000000__01001005___9cd2b8992a__char__c95b93cbf7,5,18,0.5,0.1374,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,朝官甲,pdf_01000000__01001005___9cd2b8992a__char__44892ccf91,4,5,0.4,0.0382,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,朝官丁,pdf_01000000__01001005___9cd2b8992a__char__ff0102ced8,2,2,0.2,0.0153,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,朝官丙,pdf_01000000__01001005___9cd2b8992a__char__2bb281326b,2,2,0.2,0.0153,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,朝官乙,pdf_01000000__01001005___9cd2b8992a__char__e04b80f89f,2,2,0.2,0.0153,relations_aggregated
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,众人,pdf_01000000__01001005___9cd2b8992a__char__4e8488f1f6,1,1,0.1,0.0076,relations_aggregated
