doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,2,【第二场】,曹操,张辽,对话/应答,对话,4,"三国纷纷刀兵扰,每日思想计千条。但愿狼烟一起扫,四海升平乐唐尧。",pdf_01000000__01001005___9cd2b8992a__line__000025,adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,2,【第二场】,张辽,曹操,对话/应答,对话,4,"一封书信忙修起,见了丞相说端的。参见丞相。",pdf_01000000__01001005___9cd2b8992a__line__000025,adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,2,【第二场】,张辽,孔融,对话/应答,对话,2,想必来也。,pdf_01000000__01001005___9cd2b8992a__line__000027,adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,2,【第二场】,孔融,曹操,对话/应答,对话,5,"祢衡先生我请到,见了丞相说根苗。",pdf_01000000__01001005___9cd2b8992a__line__000027,adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,2,【第二场】,曹操,孔融,对话/应答,对话,3,少礼请坐。,pdf_01000000__01001005___9cd2b8992a__line__000027,adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,2,【第二场】,孔融,祢衡,对话/应答,对话,3,有请祢衡先生。,pdf_01000000__01001005___9cd2b8992a__line__000027,adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,2,【第二场】,祢衡,孔融,对话/应答,对话,4,"相府门前杀气高,密密层层摆枪刀。画阁雕梁双凤绕,赛似天子九龙朝。",pdf_01000000__01001005___9cd2b8992a__line__000027,adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,2,【第二场】,祢衡,曹操,对话/应答,对话,7,祢衡参见丞相。,pdf_01000000__01001005___9cd2b8992a__line__000027,adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,2,【第二场】,曹操,祢衡,对话/应答,对话,10,下站何人?,pdf_01000000__01001005___9cd2b8992a__line__000027,adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,2,【第二场】,祢衡,张辽,对话/应答,对话,2,"你且听道:荀彧、荀攸,可使吊丧问奠;郭嘉、程昱,只好看墓守坟;李典、乐进,只好牧羊放马;许褚、张辽......",pdf_01000000__01001005___9cd2b8992a__line__000027,adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,2,【第二场】,张辽,祢衡,对话/应答,对话,1,唔......,pdf_01000000__01001005___9cd2b8992a__line__000027,adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,2,【第二场】,孔融,张辽,对话/应答,对话,1,"祢衡先生性太傲,险些儿项上吃一刀。",pdf_01000000__01001005___9cd2b8992a__line__000027,adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,2,【第二场】,曹操,祢衡,提及,提及,2,"孔融荐举祢衡,还未见到来。",pdf_01000000__01001005___9cd2b8992a__line__000027,mention,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,2,【第二场】,孔融,祢衡,命令/请求,命令,2,"祢衡先生我请到,见了丞相说根苗。",pdf_01000000__01001005___9cd2b8992a__line__000027,mention,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,2,【第二场】,曹操,祢衡,命令/请求,命令,2,祢衡可曾唤到?,pdf_01000000__01001005___9cd2b8992a__line__000027,mention,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,2,【第二场】,孔融,祢衡,礼节/隶属,礼节/隶属,1,祢衡先生参见丞相。,pdf_01000000__01001005___9cd2b8992a__line__000027,mention,
