doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,曹操,祢衡,命令,37,命令；对话；提及,祢衡可曾唤到?,llm,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,祢衡,曹操,对抗,36,命令；对抗；对话；提及,"楚汉相争动枪刀。项羽无谋落圈套,九里山前韩信高。数尽失志乌江道,盖世英雄无下稍。高祖咸阳登大宝,一统山河乐唐尧。四百年来国运消,献帝皇爷坐九朝。后来出了奸曹操,",llm,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,四朝官,祢衡,提及,14,劝阻；对话；提及,"丞相息怒且听候,顺说祢衡往荆州。",mention,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,曹操,四朝官,协助,14,协助；对话,曹操请四朝官赴宴，并请他们劝祢衡,llm,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,四朝官,曹操,对话,13,,"丞相在上,我等大礼参拜。",adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,孔融,祢衡,命令,9,协助；命令；对话；提及；礼节/隶属,"祢衡先生我请到,见了丞相说根苗。",mention,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,二旗牌,祢衡,对抗,8,对抗；对话,二旗牌斥责祢衡破衣褴衫、赤身露体,llm,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,曹操,张辽,命令,7,命令；对话,曹操命张辽将祢衡赶出帐去。,llm,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,祢衡,二旗牌,对话,7,,"破鞋褴衫摆摆摇。怒气不息往上跑,",adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,祢衡,四朝官,对话,7,,"列位,未曾开言心头恨,尊声列位听分明:",adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,张辽,曹操,对话,6,,"一封书信忙修起,见了丞相说端的。参见丞相。",adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,张辽,祢衡,对抗,6,对抗；对话,张辽拔剑欲杀祢衡，被曹操阻止。,llm,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,孔融,曹操,对话,5,,"祢衡先生我请到,见了丞相说根苗。",adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,祢衡,孔融,对话,4,,"相府门前杀气高,密密层层摆枪刀。画阁雕梁双凤绕,赛似天子九龙朝。",adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,张辽,四朝官,对话,3,,"吓,列位大人。",adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,曹操,孔融,对话,3,,少礼请坐。,adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,祢衡,张辽,对话,3,,"你且听道:荀彧、荀攸,可使吊丧问奠;郭嘉、程昱,只好看墓守坟;李典、乐进,只好牧羊放马;许褚、张辽......",adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,四朝官,张辽,对话,2,,请。正是:,adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,张辽,孔融,对话,2,,想必来也。,adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,朝官甲,四朝官,对话,2,,请了。,adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,二旗牌,四朝官,对话,1,,丞相命你擂鼓三通。,adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,二旗牌,曹操,对话,1,,鼓吏到。,adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,四朝官,众人,对话,1,,"众人停杯望下廊,丞相为何怒一旁?",mention,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,四朝官,朝官甲,对话,1,,请了。,adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,孔融,张辽,对话,1,,"祢衡先生性太傲,险些儿项上吃一刀。",adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,曹操,二旗牌,对话,1,,命他擂鼓三通。,adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,朝官丁,朝官甲,对话,1,,还读五车书。,adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,朝官丙,朝官丁,对话,1,,"要知今古事,",adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,朝官乙,朝官丙,对话,1,,夜读七篇诗。,adjacency,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,朝官甲,朝官乙,对话,1,,"日观三千策,",adjacency,
