doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,士人尊严,忠义,1,【第四场】,scene_cooccurrence
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,士人尊严,智勇抗争,1,【第四场】,scene_cooccurrence
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,士人尊严,权力压制,1,【第四场】,scene_cooccurrence
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,忠义,智勇抗争,1,【第四场】,scene_cooccurrence
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,忠义,权力压制,1,【第四场】,scene_cooccurrence
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,忠义,权谋,1,【第二场】,scene_cooccurrence
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,忠义,羞辱与反抗,1,【第二场】,scene_cooccurrence
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,怀才不遇,愤世嫉俗,1,【第一场】,scene_cooccurrence
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,智勇抗争,权力压制,1,【第四场】,scene_cooccurrence
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,权谋,羞辱与反抗,1,【第二场】,scene_cooccurrence
