doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01001006___06011d42c6,捉放曹,陈宫,曹操,对抗,10,劝阻；协助；对抗；对话；评价,陈宫审问曹操，指责其行刺董卓,llm_refined,0.9
pdf_01000000__01001006___06011d42c6,捉放曹,曹操,陈宫,命令,9,劝阻；命令；对抗；对话；试探,曹操让陈宫一同上马、一同投宿,llm_refined,0.85
pdf_01000000__01001006___06011d42c6,捉放曹,曹操,吕伯奢,对抗,5,对抗；对话；试探,曹操错杀吕伯奢，并解释斩草除根,llm_refined,0.8
pdf_01000000__01001006___06011d42c6,捉放曹,吕伯奢,曹操,协助,4,协助；对话；提及,吕伯奢杀猪沽酒款待曹操,llm_refined,0.9
pdf_01000000__01001006___06011d42c6,捉放曹,吕伯奢,陈宫,对话,3,对话,吕伯奢对陈宫说：岂敢，不知者不怪,llm_refined,0.7
pdf_01000000__01001006___06011d42c6,捉放曹,班头甲,陈宫,对话,3,对话,班头甲：捉拿曹操事，报与太爷知,llm_refined,0.7
pdf_01000000__01001006___06011d42c6,捉放曹,陈宫,吕伯奢,对话,3,对话,陈宫唱：见一老丈在路旁,llm_refined,0.7
pdf_01000000__01001006___06011d42c6,捉放曹,陈宫,班头甲,对话,3,对话,陈宫：身受皇恩，与黎民，判断冤情,llm_refined,0.7
pdf_01000000__01001006___06011d42c6,捉放曹,店家,陈宫,对话,2,对话,店家：是了,llm_refined,0.6
pdf_01000000__01001006___06011d42c6,捉放曹,曹操,家人,对话,2,对话,曹操唱：家父与他常来往，当年结拜一炉香。曹操抬头四下望，伙计们将刀磨快些！,llm_refined,0.6
pdf_01000000__01001006___06011d42c6,捉放曹,曹操,店家,对话,2,对话,曹操：店家哪里？,llm_refined,0.6
pdf_01000000__01001006___06011d42c6,捉放曹,班头乙,曹操,同场共现,2,同场共现；对话,班头乙与曹操同场上场,llm_refined,0.5
pdf_01000000__01001006___06011d42c6,捉放曹,班头甲,曹操,汇报,2,对抗；提及；汇报,班头甲向陈宫汇报捉拿曹操事,llm_refined,0.7
pdf_01000000__01001006___06011d42c6,捉放曹,吕伯奢,童儿,对话,1,对话,吕伯奢唱：怪不得昨晚灯花放，今日喜鹊叫门前。只说大祸从天降，贵客临门到我庄,llm_refined,0.6
pdf_01000000__01001006___06011d42c6,捉放曹,家人,曹操,对话,1,对话,家人：哎呀！,llm_refined,0.5
pdf_01000000__01001006___06011d42c6,捉放曹,家人,陈宫,对话,1,对话,家人：我们把它捆而杀之！,llm_refined,0.5
pdf_01000000__01001006___06011d42c6,捉放曹,店家,曹操,对话,1,对话,店家：来了！,llm_refined,0.5
pdf_01000000__01001006___06011d42c6,捉放曹,班头甲,班头乙,对话,1,对话,班头甲：伙计们，将曹操押上堂来,llm_refined,0.6
pdf_01000000__01001006___06011d42c6,捉放曹,童儿,吕伯奢,对话,1,对话,童儿：迎接家爷,llm_refined,0.5
pdf_01000000__01001006___06011d42c6,捉放曹,门子,陈宫,对话,1,对话,门子：有,llm_refined,0.5
pdf_01000000__01001006___06011d42c6,捉放曹,陈宫,店家,对话,1,对话,陈宫：不要下了鞍蹬，明日早行,llm_refined,0.5
pdf_01000000__01001006___06011d42c6,捉放曹,陈宫,门子,对话,1,对话,陈宫：少刻奉陪。来，,llm_refined,0.5
