doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01001006___06011d42c6,捉放曹,1,【第一场】,【第一场】,忠奸之辨,忠义,1,曹操；班头乙；班头甲；门子；陈宫,陈宫审问被捕的曹操，曹操以言辞打动陈宫，陈宫决定弃官与曹操一同逃亡，共谋讨伐董卓。,llm
pdf_01000000__01001006___06011d42c6,捉放曹,1,【第一场】,【第一场】,英雄相惜,英雄相惜,1,曹操；班头乙；班头甲；门子；陈宫,陈宫审问被捕的曹操，曹操以言辞打动陈宫，陈宫决定弃官与曹操一同逃亡，共谋讨伐董卓。,llm
pdf_01000000__01001006___06011d42c6,捉放曹,1,【第一场】,【第一场】,谋略与言辞,权谋,1,曹操；班头乙；班头甲；门子；陈宫,陈宫审问被捕的曹操，曹操以言辞打动陈宫，陈宫决定弃官与曹操一同逃亡，共谋讨伐董卓。,llm
pdf_01000000__01001006___06011d42c6,捉放曹,2,【第二场】,【第二场】,猜疑,猜疑,1,吕伯奢；家人；曹操；童儿；陈宫,曹操与陈宫路遇吕伯奢，被邀至庄中。吕伯奢外出沽酒，曹操疑其告密，不顾陈宫劝阻，执意提剑欲杀吕家满门。,llm
pdf_01000000__01001006___06011d42c6,捉放曹,2,【第二场】,【第二场】,忠义,忠义,1,吕伯奢；家人；曹操；童儿；陈宫,曹操与陈宫路遇吕伯奢，被邀至庄中。吕伯奢外出沽酒，曹操疑其告密，不顾陈宫劝阻，执意提剑欲杀吕家满门。,llm
pdf_01000000__01001006___06011d42c6,捉放曹,2,【第二场】,【第二场】,权谋,权谋,1,吕伯奢；家人；曹操；童儿；陈宫,曹操与陈宫路遇吕伯奢，被邀至庄中。吕伯奢外出沽酒，曹操疑其告密，不顾陈宫劝阻，执意提剑欲杀吕家满门。,llm
pdf_01000000__01001006___06011d42c6,捉放曹,2,【第二场】,【第二场】,生死抉择,悲情,1,吕伯奢；家人；曹操；童儿；陈宫,曹操与陈宫路遇吕伯奢，被邀至庄中。吕伯奢外出沽酒，曹操疑其告密，不顾陈宫劝阻，执意提剑欲杀吕家满门。,llm
pdf_01000000__01001006___06011d42c6,捉放曹,3,【第三场】,【第三场】,疑心与误杀,疑心与误杀,1,吕伯奢；店家；曹操；陈宫,曹操误杀吕伯奢全家，陈宫劝阻无效，曹操又杀吕伯奢灭口，陈宫心生悔意，二人投宿客店，陈宫独思曹操奸诈。,llm
pdf_01000000__01001006___06011d42c6,捉放曹,3,【第三场】,【第三场】,忠义与背叛,忠义,1,吕伯奢；店家；曹操；陈宫,曹操误杀吕伯奢全家，陈宫劝阻无效，曹操又杀吕伯奢灭口，陈宫心生悔意，二人投宿客店，陈宫独思曹操奸诈。,llm
pdf_01000000__01001006___06011d42c6,捉放曹,3,【第三场】,【第三场】,权力与道德,权力与道德,1,吕伯奢；店家；曹操；陈宫,曹操误杀吕伯奢全家，陈宫劝阻无效，曹操又杀吕伯奢灭口，陈宫心生悔意，二人投宿客店，陈宫独思曹操奸诈。,llm
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,序幕/前置内容,权谋,权谋,1,,# 《捉放曹》；# （一名：《中牟县》；一名：《陈宫计》）,keyword
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,序幕/前置内容,家国,家国,1,,# 《捉放曹》；# （一名：《中牟县》；一名：《陈宫计》）,keyword
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《捉放曹》；# （一名：《中牟县》；一名：《陈宫计》）,keyword
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,序幕/前置内容,公案,公案,1,,# 《捉放曹》；# （一名：《中牟县》；一名：《陈宫计》）,keyword
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,序幕/前置内容,离散,离散,1,,# 《捉放曹》；# （一名：《中牟县》；一名：《陈宫计》）,keyword
