doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01001006___06011d42c6,捉放曹,忠义,3,陈宫审问被捕的曹操，曹操以言辞打动陈宫，陈宫决定弃官与曹操一同逃亡，共谋讨伐董卓。,llm
pdf_01000000__01001006___06011d42c6,捉放曹,权谋,3,陈宫审问被捕的曹操，曹操以言辞打动陈宫，陈宫决定弃官与曹操一同逃亡，共谋讨伐董卓。,llm
pdf_01000000__01001006___06011d42c6,捉放曹,亲情,1,# 《捉放曹》；# （一名：《中牟县》；一名：《陈宫计》）,keyword
pdf_01000000__01001006___06011d42c6,捉放曹,公案,1,# 《捉放曹》；# （一名：《中牟县》；一名：《陈宫计》）,keyword
pdf_01000000__01001006___06011d42c6,捉放曹,家国,1,# 《捉放曹》；# （一名：《中牟县》；一名：《陈宫计》）,keyword
pdf_01000000__01001006___06011d42c6,捉放曹,悲情,1,曹操与陈宫路遇吕伯奢，被邀至庄中。吕伯奢外出沽酒，曹操疑其告密，不顾陈宫劝阻，执意提剑欲杀吕家满门。,llm
pdf_01000000__01001006___06011d42c6,捉放曹,权力与道德,1,曹操误杀吕伯奢全家，陈宫劝阻无效，曹操又杀吕伯奢灭口，陈宫心生悔意，二人投宿客店，陈宫独思曹操奸诈。,llm
pdf_01000000__01001006___06011d42c6,捉放曹,猜疑,1,曹操与陈宫路遇吕伯奢，被邀至庄中。吕伯奢外出沽酒，曹操疑其告密，不顾陈宫劝阻，执意提剑欲杀吕家满门。,llm
pdf_01000000__01001006___06011d42c6,捉放曹,疑心与误杀,1,曹操误杀吕伯奢全家，陈宫劝阻无效，曹操又杀吕伯奢灭口，陈宫心生悔意，二人投宿客店，陈宫独思曹操奸诈。,llm
pdf_01000000__01001006___06011d42c6,捉放曹,离散,1,# 《捉放曹》；# （一名：《中牟县》；一名：《陈宫计》）,keyword
pdf_01000000__01001006___06011d42c6,捉放曹,英雄相惜,1,陈宫审问被捕的曹操，曹操以言辞打动陈宫，陈宫决定弃官与曹操一同逃亡，共谋讨伐董卓。,llm
