doc_id,doc_title,scene_index,scene,source,target,relation_type,weight,evidence,derived_by
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,班头甲,陈宫,对话/应答,1,太爷在上，小人叩头。,adjacency
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,陈宫,班头甲,对话/应答,1,罢了。,adjacency
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,班头甲,陈宫,对话/应答,1,恭喜太爷，贺喜太爷！,adjacency
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,陈宫,班头甲,对话/应答,1,喜从何来？,adjacency
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,班头甲,陈宫,对话/应答,1,曹操被小人们拿获了。,adjacency
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,陈宫,班头甲,对话/应答,1,有何为证？,adjacency
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,班头甲,陈宫,对话/应答,1,有宝剑为证。,adjacency
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,陈宫,班头甲,对话/应答,1,呈上来。,adjacency
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,班头甲,陈宫,对话/应答,1,是。,adjacency
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,陈宫,班头甲,对话/应答,1,自要尔等拿得不差，解进京去，俱有千金重赏。,adjacency
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,班头甲,陈宫,对话/应答,1,小人们不愿领赏，愿太爷禄依高升。,adjacency
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,陈宫,班头甲,对话/应答,1,官升禄赏，分所当然。吩咐将刺客曹操押上堂来。,adjacency
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,班头甲,班头乙,对话/应答,1,伙计们，将曹操押上堂来。,adjacency
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,班头乙,曹操,对话/应答,1,哦。,adjacency
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,曹操,陈宫,对话/应答,1,看陈宫他把我怎样发落。,adjacency
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,班头甲,曹操,汇报,1,捉拿曹操事，报与太爷知。,mention
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,班头甲,曹操,对抗,1,曹操被小人们拿获了。,mention
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,班头甲,曹操,提及,1,伙计们，将曹操押上堂来。,mention
pdf_01000000__01001006___06011d42c6,捉放曹,0,序幕/前置内容,班头乙,曹操,同场共现,1,（班头乙上。曹操上。）,stage_direction
