doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,text,target,target_char_id,emotion_tag,speech_act,entity_tags,action_tags,is_key_line,emotion_derived_by,target_derived_by,llm_confidence,raw_line
pdf_01000000__01001007___1b262d262b,桑园寄子,pdf_01000000__01001007___1b262d262b__line__000001,pdf_01000000__01001007___1b262d262b__scene__000,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,0,序幕/前置内容,1,narration,narration,,,,# 《桑园寄子》（一名：《黑水国》）,,,,,,,1,,,,# 《桑园寄子》（一名：《黑水国》）
pdf_01000000__01001007___1b262d262b,桑园寄子,pdf_01000000__01001007___1b262d262b__line__000023,pdf_01000000__01001007___1b262d262b__scene__001,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,23,stage_direction,stage_direction,,,邓伯道上。,,,,,,,上；道,0,,,,（邓伯道上。）
pdf_01000000__01001007___1b262d262b,桑园寄子,pdf_01000000__01001007___1b262d262b__line__000025,pdf_01000000__01001007___1b262d262b__scene__001,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,25,dialogue,dialogue,邓伯道,pdf_01000000__01001007___1b262d262b__char__bed496359a,引子,兄弟丧了命，倒叫我，好不伤心。（念） 人生在世几度秋，好似杨花水上浮。有朝一日狂风起，大限来时一笔勾。,,,哀,陈述,,上；来；命；叫,1,llm,,0.9,邓伯道 （引子） 兄弟丧了命，倒叫我，好不伤心。（念） 人生在世几度秋，好似杨花水上浮。有朝一日狂风起，大限来时一笔勾。
pdf_01000000__01001007___1b262d262b,桑园寄子,pdf_01000000__01001007___1b262d262b__line__000027,pdf_01000000__01001007___1b262d262b__scene__001,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,27,stage_direction,stage_direction,,,二家院自两边分上。,,,,,,,上,0,,,,（二家院自两边分上。）
pdf_01000000__01001007___1b262d262b,桑园寄子,pdf_01000000__01001007___1b262d262b__line__000029,pdf_01000000__01001007___1b262d262b__scene__001,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,29,dialogue,dialogue,邓伯道,pdf_01000000__01001007___1b262d262b__char__bed496359a,白,老汉邓伯道。兄弟伯俭，中年丧命，撇下邓方孩儿，无人教训。今当周年之期，备定祭礼，带领两个孩儿，去到坟前一祭，以表手足之情。,,,哀,陈述,邓伯道,下；去；命；道；念白,1,llm,,0.9,邓伯道 （白） 老汉邓伯道。兄弟伯俭，中年丧命，撇下邓方孩儿，无人教训。今当周年之期，备定祭礼，带领两个孩儿，去到坟前一祭，以表手足之情。
pdf_01000000__01001007___1b262d262b,桑园寄子,pdf_01000000__01001007___1b262d262b__line__000031,pdf_01000000__01001007___1b262d262b__scene__001,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,31,narration,narration,,,,来，,邓伯道,pdf_01000000__01001007___1b262d262b__char__bed496359a,,,,来,0,,rule,,来，
pdf_01000000__01001007___1b262d262b,桑园寄子,pdf_01000000__01001007___1b262d262b__line__000033,pdf_01000000__01001007___1b262d262b__scene__001,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,33,dialogue,dialogue,二家院,pdf_01000000__01001007___1b262d262b__char__a47bbba7bb,同白,有。,邓伯道,pdf_01000000__01001007___1b262d262b__char__bed496359a,,,,念白,0,,rule,,二家院 （同白） 有。
pdf_01000000__01001007___1b262d262b,桑园寄子,pdf_01000000__01001007___1b262d262b__line__000035,pdf_01000000__01001007___1b262d262b__scene__001,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,35,dialogue,dialogue,邓伯道,pdf_01000000__01001007___1b262d262b__char__bed496359a,白,有请二位少爷。,二家院,pdf_01000000__01001007___1b262d262b__char__a47bbba7bb,平,命令,,请；念白,0,llm,llm,0.9,邓伯道 （白） 有请二位少爷。
pdf_01000000__01001007___1b262d262b,桑园寄子,pdf_01000000__01001007___1b262d262b__line__000037,pdf_01000000__01001007___1b262d262b__scene__001,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,37,dialogue,dialogue,二家院,pdf_01000000__01001007___1b262d262b__char__a47bbba7bb,同白,有请二位少爷。,二位少爷,pdf_01000000__01001007___1b262d262b__char__c5d318218d,平,命令,,请；念白,0,llm,llm,0.8,二家院 （同白） 有请二位少爷。
pdf_01000000__01001007___1b262d262b,桑园寄子,pdf_01000000__01001007___1b262d262b__line__000039,pdf_01000000__01001007___1b262d262b__scene__001,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,39,stage_direction,stage_direction,,,邓元、邓方同上。,,,,,,,上,0,,,,（邓元、邓方同上。）
