doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01001007___1b262d262b,桑园寄子,亲情,战争,2,【第四场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,亲情,离散,2,【第五场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,亲情,忠义,1,【第五场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,亲情,悲情,1,【第四场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,亲情,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,亲情,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,亲情,舍己为人,1,【第五场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,亲情,苦难,1,【第四场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,使命,忠义,1,【第二场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,使命,战争,1,【第二场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,侵略,战争,1,【第三场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,家国,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,家国,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,忠义,战争,1,【第二场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,忠义,离散,1,【第五场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,忠义,舍己为人,1,【第五场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,悲情,情爱,1,【第一场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,悲情,战争,1,【第四场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,悲情,苦难,1,【第四场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,情爱,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,情爱,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,情爱,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,战争,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,战争,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,战争,苦难,1,【第四场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,权谋,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,离散,舍己为人,1,【第五场】,scene_cooccurrence
