doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01001007___1b262d262b,桑园寄子,战争,4,黑水国造反逼近，邓伯道决定携弟妇金氏及二子逃往潼关，将家财托付众家丁，全家拜别后匆忙离去。,llm
pdf_01000000__01001007___1b262d262b,桑园寄子,亲情,3,邓伯道一家逃难途中，翻山越岭，遭遇番兵追击，金氏被风旗卷走，众人失散，危机加剧。,llm
pdf_01000000__01001007___1b262d262b,桑园寄子,忠义,2,黑水国造反逼近，邓伯道决定携弟妇金氏及二子逃往潼关，将家财托付众家丁，全家拜别后匆忙离去。,llm
pdf_01000000__01001007___1b262d262b,桑园寄子,悲情,2,邓伯道携二子祭奠亡弟，坟前哀悼时突闻黑水国造反，祸事临头，仓促返家。,llm
pdf_01000000__01001007___1b262d262b,桑园寄子,情爱,2,邓伯道携二子祭奠亡弟，坟前哀悼时突闻黑水国造反，祸事临头，仓促返家。,llm
pdf_01000000__01001007___1b262d262b,桑园寄子,离散,2,邓伯道为保侄儿邓方，忍痛将亲子邓元绑在桑树上并留下血书，携侄儿逃难。金氏逃脱贼兵后救下邓元，二人相认并决定投奔潼关。,llm
pdf_01000000__01001007___1b262d262b,桑园寄子,使命,1,黑水国造反逼近，邓伯道决定携弟妇金氏及二子逃往潼关，将家财托付众家丁，全家拜别后匆忙离去。,llm
pdf_01000000__01001007___1b262d262b,桑园寄子,侵略,1,番王石勒率军一路斩关夺寨，抵达文水县，下令巴都鲁继续进攻，展现其侵略势头。,llm
pdf_01000000__01001007___1b262d262b,桑园寄子,家国,1,# 《桑园寄子》（一名：《黑水国》）,keyword
pdf_01000000__01001007___1b262d262b,桑园寄子,权谋,1,# 《桑园寄子》（一名：《黑水国》）,keyword
pdf_01000000__01001007___1b262d262b,桑园寄子,舍己为人,1,邓伯道为保侄儿邓方，忍痛将亲子邓元绑在桑树上并留下血书，携侄儿逃难。金氏逃脱贼兵后救下邓元，二人相认并决定投奔潼关。,llm
pdf_01000000__01001007___1b262d262b,桑园寄子,苦难,1,邓伯道一家逃难途中，翻山越岭，遭遇番兵追击，金氏被风旗卷走，众人失散，危机加剧。,llm
