doc_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,cue,text,raw_line
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,1,narration,narration,,,# 《桑园寄子》（一名：《黑水国》）,# 《桑园寄子》（一名：《黑水国》）
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,21,narration,narration,,,# 【第一场】,# 【第一场】
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,23,stage_direction,stage_direction,,邓伯道上。,,（邓伯道上。）
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,25,dialogue,dialogue,邓伯道,引子,兄弟丧了命，倒叫我，好不伤心。（念） 人生在世几度秋，好似杨花水上浮。有朝一日狂风起，大限来时一笔勾。,邓伯道 （引子） 兄弟丧了命，倒叫我，好不伤心。（念） 人生在世几度秋，好似杨花水上浮。有朝一日狂风起，大限来时一笔勾。
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,27,stage_direction,stage_direction,,二家院自两边分上。,,（二家院自两边分上。）
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,29,dialogue,dialogue,邓伯道,白,老汉邓伯道。兄弟伯俭，中年丧命，撇下邓方孩儿，无人教训。今当周年之期，备定祭礼，带领两个孩儿，去到坟前一祭，以表手足之情。,邓伯道 （白） 老汉邓伯道。兄弟伯俭，中年丧命，撇下邓方孩儿，无人教训。今当周年之期，备定祭礼，带领两个孩儿，去到坟前一祭，以表手足之情。
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,31,narration,narration,,,来，,来，
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,33,dialogue,dialogue,二家院,同白,有。,二家院 （同白） 有。
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,35,dialogue,dialogue,邓伯道,白,有请二位少爷。,邓伯道 （白） 有请二位少爷。
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,37,dialogue,dialogue,二家院,同白,有请二位少爷。,二家院 （同白） 有请二位少爷。
