doc_id,doc_title,scene_index,scene,source,target,relation_type,weight,evidence,derived_by
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,邓伯道,二家院,对话/应答,1,来，,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,二家院,邓伯道,对话/应答,1,有。,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,邓伯道,二家院,对话/应答,1,有请二位少爷。,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,二家院,邓元,对话/应答,1,有请二位少爷。,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,邓元,邓方,对话/应答,1,学中习孔孟，,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,邓方,邓伯道,对话/应答,1,参见（爹爹）（伯父）。,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,邓伯道,邓方,对话/应答,1,邓元、,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,邓方,邓伯道,对话/应答,1,唤儿出来，有何训教？,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,邓伯道,邓方,对话/应答,1,邓元、,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,邓方,邓伯道,对话/应答,1,遵命。,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,邓伯道,二家院,对话/应答,1,来，,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,二家院,邓伯道,对话/应答,1,有。,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,邓伯道,二家院,对话/应答,1,吩咐祭礼抬上。,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,二家院,邓伯道,对话/应答,1,祭礼拾上。,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,邓伯道,金氏,对话/应答,1,# 【第二场】,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,金氏,邓伯道,对话/应答,1,大伯伯回来了。,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,邓伯道,金氏,对话/应答,1,弟妇，大事不好了！,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,金氏,邓伯道,对话/应答,1,何事惊慌？,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,邓伯道,金氏,对话/应答,1,今有黑水国造反，逢州夺州，遇县抢县，看看杀到我庄来了！,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,金氏,邓伯道,对话/应答,1,大伯伯，何不收拾收拾，逃往潼关我兄弟那里，安身才是。,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,邓伯道,二家院,对话/应答,1,众家丁！,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,二家院,邓伯道,对话/应答,1,有。,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,邓伯道,二家院,对话/应答,1,今有黑水国造反，看看杀到我庄。我带领二东人，前去逃命。将这万贯家财，付与你等掌管。倘若贼兵不到此地，我回来将这家财，与你,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,二家院,邓伯道,对话/应答,1,哦呵，员外，将这万贯家财，交与我等执掌，料然无事。,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,邓伯道,众家丁,对话/应答,1,家丁！义仆！哎吓！,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,众家丁,二家院,对话/应答,1,员外吓！,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,二家院,众家丁,对话/应答,1,嗳，列位，员外东人他们俱已去了，倘若贼兵到此，你我如何是好？,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,众家丁,番王,对话/应答,1,# 【第三场】,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,番王,邓伯道,对话/应答,1,邓元、邓方 （内同白） 走吓！,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,邓伯道,邓方,对话/应答,1,走青山望白云，,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,邓方,金氏,对话/应答,1,家乡何在？,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,金氏,邓伯道,对话/应答,1,一家人逃性命哪顾家财。,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,邓伯道,金氏,对话/应答,1,山又高水又深无计何奈，,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,金氏,邓伯道,对话/应答,1,道有草石有苔寸步难挨。,adjacency
pdf_01000000__01001007___1b262d262b,桑园寄子,0,序幕/前置内容,邓伯道,金氏,对话/应答,1,带姣儿手攀藤忙登出界，,adjacency
