doc_id,doc_title,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01001008___4e2bf00560,取成都,刘璋,pdf_01000000__01001008___4e2bf00560__char__4e09592d11,20,135,1.0,1.0,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,刘备,pdf_01000000__01001008___4e2bf00560__char__fd35540fd1,11,62,0.55,0.4593,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,马超,pdf_01000000__01001008___4e2bf00560__char__bbd54af94f,8,31,0.4,0.2296,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,刘玉,pdf_01000000__01001008___4e2bf00560__char__ec3794f24a,7,37,0.35,0.2741,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,王累,pdf_01000000__01001008___4e2bf00560__char__594ba1fde9,7,34,0.35,0.2519,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,诸葛亮,pdf_01000000__01001008___4e2bf00560__char__9dffb49a33,6,28,0.3,0.2074,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,龙套,pdf_01000000__01001008___4e2bf00560__char__bbc944af3a,6,8,0.3,0.0593,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,严颜,pdf_01000000__01001008___4e2bf00560__char__94c98e0d04,3,11,0.15,0.0815,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,赵云,pdf_01000000__01001008___4e2bf00560__char__466355ccab,3,5,0.15,0.037,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,魏延,pdf_01000000__01001008___4e2bf00560__char__045d81a896,3,5,0.15,0.037,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,黄忠,pdf_01000000__01001008___4e2bf00560__char__f1b9e8cdbe,3,5,0.15,0.037,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,探子,pdf_01000000__01001008___4e2bf00560__char__7fa69b9758,3,3,0.15,0.0222,relations_aggregated
pdf_01000000__01001008___4e2bf00560,取成都,众人,pdf_01000000__01001008___4e2bf00560__char__ba9af9fcbb,2,2,0.1,0.0148,relations_aggregated
