doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01001008___4e2bf00560,取成都,1,【第一场】,刘璋,探子,对话/应答,对话,1,"驾坐西川,恨张松,归顺桃园。",pdf_01000000__01001008___4e2bf00560__line__000031,adjacency,
pdf_01000000__01001008___4e2bf00560,取成都,1,【第一场】,探子,刘璋,对话/应答,对话,1,"启禀大王:马超降顺刘备,带领人马,夺取成都。",pdf_01000000__01001008___4e2bf00560__line__000031,adjacency,
pdf_01000000__01001008___4e2bf00560,取成都,1,【第一场】,刘璋,刘玉,对话/应答,对话,10,不好了!,pdf_01000000__01001008___4e2bf00560__line__000031,adjacency,
pdf_01000000__01001008___4e2bf00560,取成都,1,【第一场】,刘玉,刘璋,对话/应答,对话,8,儿臣有本启奏。,pdf_01000000__01001008___4e2bf00560__line__000031,adjacency,
pdf_01000000__01001008___4e2bf00560,取成都,1,【第一场】,刘玉,王累,对话/应答,对话,7,"君臣踌躇无计定,",pdf_01000000__01001008___4e2bf00560__line__000031,adjacency,
pdf_01000000__01001008___4e2bf00560,取成都,1,【第一场】,王累,刘玉,对话/应答,对话,2,"千岁等着,王累有本启奏。",pdf_01000000__01001008___4e2bf00560__line__000031,adjacency,
pdf_01000000__01001008___4e2bf00560,取成都,1,【第一场】,王累,刘璋,对话/应答,对话,4,"西川人马乱纷纷,忙上银安奏主君。",pdf_01000000__01001008___4e2bf00560__line__000031,adjacency,
pdf_01000000__01001008___4e2bf00560,取成都,1,【第一场】,刘璋,王累,对话/应答,对话,3,卿家平身。,pdf_01000000__01001008___4e2bf00560__line__000031,adjacency,
pdf_01000000__01001008___4e2bf00560,取成都,1,【第一场】,王累,马超,对话/应答,对话,4,看看来的哪路兵?,pdf_01000000__01001008___4e2bf00560__line__000033,adjacency,
pdf_01000000__01001008___4e2bf00560,取成都,1,【第一场】,马超,刘玉,对话/应答,对话,3,"某奉军师将领遣,打马来在都城边。快叫刘璋把城献,若少迟延杀进关。",pdf_01000000__01001008___4e2bf00560__line__000033,adjacency,
pdf_01000000__01001008___4e2bf00560,取成都,1,【第一场】,马超,王累,对话/应答,对话,1,"小子说话太鲁莽,气的老爷怒冲冠!用手搭上雕翎箭,管叫小子丧黄泉!",pdf_01000000__01001008___4e2bf00560__line__000033,adjacency,
pdf_01000000__01001008___4e2bf00560,取成都,1,【第一场】,探子,刘备,汇报,汇报,1,"启禀大王:马超降顺刘备,带领人马,夺取成都。",pdf_01000000__01001008___4e2bf00560__line__000031,mention,
pdf_01000000__01001008___4e2bf00560,取成都,1,【第一场】,刘璋,刘备,提及,提及,1,"非是孤坐视不理,我想成都,兵微将寡,将这西川让与刘备就是。",pdf_01000000__01001008___4e2bf00560__line__000031,mention,
pdf_01000000__01001008___4e2bf00560,取成都,1,【第一场】,刘玉,刘备,提及,提及,1,"父王说话不必惊,细听儿臣奏分明:刘备纵有千员将,不让西川又怎生?",pdf_01000000__01001008___4e2bf00560__line__000031,mention,
pdf_01000000__01001008___4e2bf00560,取成都,1,【第一场】,刘璋,刘备,命令/请求,命令,1,"刘备仁义顺天命,诸葛贤能似陈平。孤把好言对他论,难道不念同宗人。",pdf_01000000__01001008___4e2bf00560__line__000031,mention,
