doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01001008___4e2bf00560,取成都,1,【第一场】,【第一场】,忠义,忠义,1,刘玉；刘璋；探子；王累；马超,刘璋得知马超降刘备攻成都，欲让西川。刘玉与王累劝阻，刘玉登城与马超对峙，被马超射死，王累下令守城。,llm
pdf_01000000__01001008___4e2bf00560,取成都,1,【第一场】,【第一场】,战争,战争,1,刘玉；刘璋；探子；王累；马超,刘璋得知马超降刘备攻成都，欲让西川。刘玉与王累劝阻，刘玉登城与马超对峙，被马超射死，王累下令守城。,llm
pdf_01000000__01001008___4e2bf00560,取成都,1,【第一场】,【第一场】,投降与抵抗,投降与抵抗,1,刘玉；刘璋；探子；王累；马超,刘璋得知马超降刘备攻成都，欲让西川。刘玉与王累劝阻，刘玉登城与马超对峙，被马超射死，王累下令守城。,llm
pdf_01000000__01001008___4e2bf00560,取成都,3,【第三场】,【第三场】,忠义与背叛,忠义,1,刘璋；四白龙套；王累；马超,马超劝降刘璋，刘璋以分土相诱拒绝；马超放火烧民房逼降，刘璋为百姓安危决定开城，王累劝阻无效。,llm
pdf_01000000__01001008___4e2bf00560,取成都,3,【第三场】,【第三场】,仁政与暴虐,仁政与暴虐,1,刘璋；四白龙套；王累；马超,马超劝降刘璋，刘璋以分土相诱拒绝；马超放火烧民房逼降，刘璋为百姓安危决定开城，王累劝阻无效。,llm
pdf_01000000__01001008___4e2bf00560,取成都,3,【第三场】,【第三场】,权力与牺牲,权力与牺牲,1,刘璋；四白龙套；王累；马超,马超劝降刘璋，刘璋以分土相诱拒绝；马超放火烧民房逼降，刘璋为百姓安危决定开城，王累劝阻无效。,llm
pdf_01000000__01001008___4e2bf00560,取成都,4,【第四场】,【第四场】,权谋,权谋,1,刘备；刘璋,刘备与刘璋在城门口相遇，二人互相谦让后携手入城，表面和睦但暗藏紧张。,llm
pdf_01000000__01001008___4e2bf00560,取成都,4,【第四场】,【第四场】,虚伪和睦,虚伪和睦,1,刘备；刘璋,刘备与刘璋在城门口相遇，二人互相谦让后携手入城，表面和睦但暗藏紧张。,llm
pdf_01000000__01001008___4e2bf00560,取成都,4,【第四场】,【第四场】,兄弟情谊,亲情,1,刘备；刘璋,刘备与刘璋在城门口相遇，二人互相谦让后携手入城，表面和睦但暗藏紧张。,llm
pdf_01000000__01001008___4e2bf00560,取成都,5,【第五场】,【第五场】,权力争夺,权力争夺,1,严颜；众人；刘备；刘璋；诸葛亮；赵云；魏延；黄忠,刘璋质问刘备带兵入成都，诸葛亮与四将威逼刘璋让印，刘璋被迫交出成都，刘备假意安抚并安排其前往荆州。,llm
pdf_01000000__01001008___4e2bf00560,取成都,5,【第五场】,【第五场】,同宗相残,同宗相残,1,严颜；众人；刘备；刘璋；诸葛亮；赵云；魏延；黄忠,刘璋质问刘备带兵入成都，诸葛亮与四将威逼刘璋让印，刘璋被迫交出成都，刘备假意安抚并安排其前往荆州。,llm
pdf_01000000__01001008___4e2bf00560,取成都,5,【第五场】,【第五场】,假仁假义,忠义,1,严颜；众人；刘备；刘璋；诸葛亮；赵云；魏延；黄忠,刘璋质问刘备带兵入成都，诸葛亮与四将威逼刘璋让印，刘璋被迫交出成都，刘备假意安抚并安排其前往荆州。,llm
pdf_01000000__01001008___4e2bf00560,取成都,5,【第五场】,【第五场】,被迫屈服,被迫屈服,1,严颜；众人；刘备；刘璋；诸葛亮；赵云；魏延；黄忠,刘璋质问刘备带兵入成都，诸葛亮与四将威逼刘璋让印，刘璋被迫交出成都，刘备假意安抚并安排其前往荆州。,llm
pdf_01000000__01001008___4e2bf00560,取成都,0,序幕/前置内容,序幕/前置内容,战争,战争,1,,# 《取成都》；# （一名：《石伏岩》）,keyword
pdf_01000000__01001008___4e2bf00560,取成都,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《取成都》；# （一名：《石伏岩》）,keyword
pdf_01000000__01001008___4e2bf00560,取成都,0,序幕/前置内容,序幕/前置内容,情爱,情爱,1,,# 《取成都》；# （一名：《石伏岩》）,keyword
pdf_01000000__01001008___4e2bf00560,取成都,2,【第二场】,【第二场】,战争,战争,1,,,keyword
pdf_01000000__01001008___4e2bf00560,取成都,2,【第二场】,【第二场】,亲情,亲情,1,,,keyword
pdf_01000000__01001008___4e2bf00560,取成都,2,【第二场】,【第二场】,情爱,情爱,1,,,keyword
