doc_id,doc_title,scene_index,scene,theme_label,evidence,derived_by
pdf_01000000__01001008___4e2bf00560,取成都,0,序幕/前置内容,忠义,"（）# 《取成都》
（）# （一名：《石伏岩》）
（）# 【第一场】
（四太监同上，刘璋上。）
（）<table><tr><td>刘璋</td><td>(引子)",keyword
pdf_01000000__01001008___4e2bf00560,取成都,0,序幕/前置内容,权谋,"（）# 《取成都》
（）# （一名：《石伏岩》）
（）# 【第一场】
（四太监同上，刘璋上。）
（）<table><tr><td>刘璋</td><td>(引子)",keyword
pdf_01000000__01001008___4e2bf00560,取成都,0,序幕/前置内容,战争,"（）# 《取成都》
（）# （一名：《石伏岩》）
（）# 【第一场】
（四太监同上，刘璋上。）
（）<table><tr><td>刘璋</td><td>(引子)",keyword
pdf_01000000__01001008___4e2bf00560,取成都,0,序幕/前置内容,家国,"（）# 《取成都》
（）# （一名：《石伏岩》）
（）# 【第一场】
（四太监同上，刘璋上。）
（）<table><tr><td>刘璋</td><td>(引子)",keyword
pdf_01000000__01001008___4e2bf00560,取成都,0,序幕/前置内容,亲情,"（）# 《取成都》
（）# （一名：《石伏岩》）
（）# 【第一场】
（四太监同上，刘璋上。）
（）<table><tr><td>刘璋</td><td>(引子)",keyword
pdf_01000000__01001008___4e2bf00560,取成都,0,序幕/前置内容,公案,"（）# 《取成都》
（）# （一名：《石伏岩》）
（）# 【第一场】
（四太监同上，刘璋上。）
（）<table><tr><td>刘璋</td><td>(引子)",keyword
pdf_01000000__01001008___4e2bf00560,取成都,0,序幕/前置内容,情爱,"（）# 《取成都》
（）# （一名：《石伏岩》）
（）# 【第一场】
（四太监同上，刘璋上。）
（）<table><tr><td>刘璋</td><td>(引子)",keyword
pdf_01000000__01001008___4e2bf00560,取成都,1,【第五场】,忠义,"（）<table><tr><td colspan=""3"">(四红龙套同上。黄忠、严颜、魏延、赵云同上。诸葛亮上。刘备、刘璋同上。)</td></tr><tr><",keyword
pdf_01000000__01001008___4e2bf00560,取成都,1,【第五场】,权谋,"（）<table><tr><td colspan=""3"">(四红龙套同上。黄忠、严颜、魏延、赵云同上。诸葛亮上。刘备、刘璋同上。)</td></tr><tr><",keyword
pdf_01000000__01001008___4e2bf00560,取成都,1,【第五场】,战争,"（）<table><tr><td colspan=""3"">(四红龙套同上。黄忠、严颜、魏延、赵云同上。诸葛亮上。刘备、刘璋同上。)</td></tr><tr><",keyword
pdf_01000000__01001008___4e2bf00560,取成都,1,【第五场】,家国,"（）<table><tr><td colspan=""3"">(四红龙套同上。黄忠、严颜、魏延、赵云同上。诸葛亮上。刘备、刘璋同上。)</td></tr><tr><",keyword
pdf_01000000__01001008___4e2bf00560,取成都,1,【第五场】,亲情,"（）<table><tr><td colspan=""3"">(四红龙套同上。黄忠、严颜、魏延、赵云同上。诸葛亮上。刘备、刘璋同上。)</td></tr><tr><",keyword
pdf_01000000__01001008___4e2bf00560,取成都,1,【第五场】,离散,"（）<table><tr><td colspan=""3"">(四红龙套同上。黄忠、严颜、魏延、赵云同上。诸葛亮上。刘备、刘璋同上。)</td></tr><tr><",keyword
