doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,text,target,target_char_id,emotion_tag,speech_act,entity_tags,action_tags,is_key_line,emotion_derived_by,target_derived_by,llm_confidence,raw_line
pdf_01000000__01001009___abd1be1808,硃砂痣,pdf_01000000__01001009___abd1be1808__line__000001,pdf_01000000__01001009___abd1be1808__scene__000,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,0,序幕/前置内容,1,narration,narration,,,,# 《硃砂痣》 （一名：《行善得子》）,,,,,,,1,,,,# 《硃砂痣》 （一名：《行善得子》）
pdf_01000000__01001009___abd1be1808,硃砂痣,pdf_01000000__01001009___abd1be1808__line__000025,pdf_01000000__01001009___abd1be1808__scene__001,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,25,stage_direction,stage_direction,,,韩廷凤上。,,,,,,,上,0,,,,（韩廷凤上。）
pdf_01000000__01001009___abd1be1808,硃砂痣,pdf_01000000__01001009___abd1be1808__line__000027,pdf_01000000__01001009___abd1be1808__scene__001,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,27,dialogue,dialogue,韩廷凤,pdf_01000000__01001009___abd1be1808__char__b93c80f8b9,笑,哈哈哈……,,,喜,其他,,笑,0,llm,,0.9,韩廷凤 （笑） 哈哈哈……
pdf_01000000__01001009___abd1be1808,硃砂痣,pdf_01000000__01001009___abd1be1808__line__000029,pdf_01000000__01001009___abd1be1808__scene__001,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,29,dialogue,dialogue,,,二黄摇板,今夜晚前后厅灯光明亮，,韩廷凤,pdf_01000000__01001009___abd1be1808__char__b93c80f8b9,平,陈述,,,1,llm,rule,0.7,（二黄摇板） 今夜晚前后厅灯光明亮，
pdf_01000000__01001009___abd1be1808,硃砂痣,pdf_01000000__01001009___abd1be1808__line__000031,pdf_01000000__01001009___abd1be1808__scene__001,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,31,narration,narration,,,,我不想年半百又做新郎。,韩廷凤,pdf_01000000__01001009___abd1be1808__char__b93c80f8b9,,,,,0,,rule,,我不想年半百又做新郎。
pdf_01000000__01001009___abd1be1808,硃砂痣,pdf_01000000__01001009___abd1be1808__line__000033,pdf_01000000__01001009___abd1be1808__scene__001,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,33,stage_direction,stage_direction,,,家院上。媒婆上。,,,,,,,上,0,,,,（家院上。媒婆上。）
pdf_01000000__01001009___abd1be1808,硃砂痣,pdf_01000000__01001009___abd1be1808__line__000035,pdf_01000000__01001009___abd1be1808__scene__001,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,35,dialogue,dialogue,媒婆,pdf_01000000__01001009___abd1be1808__char__8879b74b6c,念,新人过门厅，媒钱自然增。,韩廷凤,pdf_01000000__01001009___abd1be1808__char__b93c80f8b9,喜,陈述,,,0,llm,rule,0.8,媒婆 （念） 新人过门厅，媒钱自然增。
pdf_01000000__01001009___abd1be1808,硃砂痣,pdf_01000000__01001009___abd1be1808__line__000037,pdf_01000000__01001009___abd1be1808__scene__001,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,37,dialogue,dialogue,,,白,启老爷：新人已到。,韩廷凤,pdf_01000000__01001009___abd1be1808__char__b93c80f8b9,平,汇报,,念白,0,llm,llm,0.9,（白） 启老爷：新人已到。
pdf_01000000__01001009___abd1be1808,硃砂痣,pdf_01000000__01001009___abd1be1808__line__000039,pdf_01000000__01001009___abd1be1808__scene__001,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,39,dialogue,dialogue,韩廷凤,pdf_01000000__01001009___abd1be1808__char__b93c80f8b9,白,将轿搭上堂来。,家院,pdf_01000000__01001009___abd1be1808__char__ce47b2fd7a,平,命令,,上；来；念白,0,llm,llm,0.9,韩廷凤 （白） 将轿搭上堂来。
pdf_01000000__01001009___abd1be1808,硃砂痣,pdf_01000000__01001009___abd1be1808__line__000041,pdf_01000000__01001009___abd1be1808__scene__001,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,41,dialogue,dialogue,媒婆,pdf_01000000__01001009___abd1be1808__char__8879b74b6c,白,花轿搭上堂来。,轿夫,pdf_01000000__01001009___abd1be1808__char__0fd3aca3e2,平,命令,,上；来；念白,0,llm,llm,0.8,媒婆 （白） 花轿搭上堂来。
