doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,perform_type,perform_subtype,action_tags,participants,text,raw_line
pdf_01000000__01001009___abd1be1808,硃砂痣,pdf_01000000__01001009___abd1be1808__line__000001,pdf_01000000__01001009___abd1be1808__scene__000,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,0,序幕/前置内容,1,narration,narration,,,,说明,,,《硃砂痣》；（一名：《行善得子》,# 《硃砂痣》 （一名：《行善得子》）,# 《硃砂痣》 （一名：《行善得子》）
pdf_01000000__01001009___abd1be1808,硃砂痣,pdf_01000000__01001009___abd1be1808__line__000025,pdf_01000000__01001009___abd1be1808__scene__001,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,25,stage_direction,stage_direction,,,韩廷凤上。,做,韩廷凤上。,上,韩廷凤,,（韩廷凤上。）
pdf_01000000__01001009___abd1be1808,硃砂痣,pdf_01000000__01001009___abd1be1808__line__000027,pdf_01000000__01001009___abd1be1808__scene__001,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,27,dialogue,dialogue,韩廷凤,pdf_01000000__01001009___abd1be1808__char__b93c80f8b9,笑,做,笑,笑,韩廷凤,哈哈哈……,韩廷凤 （笑） 哈哈哈……
pdf_01000000__01001009___abd1be1808,硃砂痣,pdf_01000000__01001009___abd1be1808__line__000029,pdf_01000000__01001009___abd1be1808__scene__001,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,29,dialogue,dialogue,,,二黄摇板,唱,二黄摇板,,二黄摇板）；今夜晚前后厅灯光明亮,今夜晚前后厅灯光明亮，,（二黄摇板） 今夜晚前后厅灯光明亮，
pdf_01000000__01001009___abd1be1808,硃砂痣,pdf_01000000__01001009___abd1be1808__line__000031,pdf_01000000__01001009___abd1be1808__scene__001,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,31,narration,narration,,,,说明,,,我不想年半百又做新郎,我不想年半百又做新郎。,我不想年半百又做新郎。
pdf_01000000__01001009___abd1be1808,硃砂痣,pdf_01000000__01001009___abd1be1808__line__000033,pdf_01000000__01001009___abd1be1808__scene__001,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,33,stage_direction,stage_direction,,,家院上。媒婆上。,做,家院上。媒婆上。,上,媒婆,,（家院上。媒婆上。）
pdf_01000000__01001009___abd1be1808,硃砂痣,pdf_01000000__01001009___abd1be1808__line__000035,pdf_01000000__01001009___abd1be1808__scene__001,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,35,dialogue,dialogue,媒婆,pdf_01000000__01001009___abd1be1808__char__8879b74b6c,念,念,念,,媒婆,新人过门厅，媒钱自然增。,媒婆 （念） 新人过门厅，媒钱自然增。
pdf_01000000__01001009___abd1be1808,硃砂痣,pdf_01000000__01001009___abd1be1808__line__000037,pdf_01000000__01001009___abd1be1808__scene__001,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,37,dialogue,dialogue,,,白,白,白,念白,白）；启老爷：新人已到,启老爷：新人已到。,（白） 启老爷：新人已到。
pdf_01000000__01001009___abd1be1808,硃砂痣,pdf_01000000__01001009___abd1be1808__line__000039,pdf_01000000__01001009___abd1be1808__scene__001,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,39,dialogue,dialogue,韩廷凤,pdf_01000000__01001009___abd1be1808__char__b93c80f8b9,白,白,白,上；来；念白,韩廷凤,将轿搭上堂来。,韩廷凤 （白） 将轿搭上堂来。
pdf_01000000__01001009___abd1be1808,硃砂痣,pdf_01000000__01001009___abd1be1808__line__000041,pdf_01000000__01001009___abd1be1808__scene__001,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,41,dialogue,dialogue,媒婆,pdf_01000000__01001009___abd1be1808__char__8879b74b6c,白,白,白,上；来；念白,媒婆,花轿搭上堂来。,媒婆 （白） 花轿搭上堂来。
