doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01001009___abd1be1808,硃砂痣,1,【第一场】,韩廷凤,媒婆,对话/应答,对话,3,哈哈哈……,pdf_01000000__01001009___abd1be1808__line__000027,adjacency,
pdf_01000000__01001009___abd1be1808,硃砂痣,1,【第一场】,媒婆,韩廷凤,对话/应答,对话,3,新人过门厅，媒钱自然增。,pdf_01000000__01001009___abd1be1808__line__000035,adjacency,
pdf_01000000__01001009___abd1be1808,硃砂痣,1,【第一场】,韩廷凤,丫鬟,对话/应答,对话,1,丫头！,pdf_01000000__01001009___abd1be1808__line__000059,adjacency,
pdf_01000000__01001009___abd1be1808,硃砂痣,1,【第一场】,丫鬟,韩廷凤,对话/应答,对话,1,有。,pdf_01000000__01001009___abd1be1808__line__000061,adjacency,
pdf_01000000__01001009___abd1be1808,硃砂痣,1,【第一场】,韩廷凤,江氏,对话/应答,对话,6,哎呀！,pdf_01000000__01001009___abd1be1808__line__000071,adjacency,
pdf_01000000__01001009___abd1be1808,硃砂痣,1,【第一场】,江氏,韩廷凤,对话/应答,对话,7,不是。,pdf_01000000__01001009___abd1be1808__line__000077,adjacency,
pdf_01000000__01001009___abd1be1808,硃砂痣,1,【第一场】,韩廷凤,家院,对话/应答,对话,2,"呀!听她言伊现有妇随夫唱,怎奈我两下里拆散鸳鸯。再不要做恶事天在头上,自情愿伴孤灯永守空房。",pdf_01000000__01001009___abd1be1808__line__000087,adjacency,
pdf_01000000__01001009___abd1be1808,硃砂痣,1,【第一场】,家院,韩廷凤,对话/应答,对话,1,老爷何事?,pdf_01000000__01001009___abd1be1808__line__000087,adjacency,
pdf_01000000__01001009___abd1be1808,硃砂痣,1,【第一场】,家院,江氏,对话/应答,对话,1,晓得。,pdf_01000000__01001009___abd1be1808__line__000087,adjacency,
pdf_01000000__01001009___abd1be1808,硃砂痣,2,【第二场】,吴惠泉,江氏,对话/应答,对话,9,孤单单病奄奄坐卧病床，,pdf_01000000__01001009___abd1be1808__line__000093,adjacency,
