doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01001009___abd1be1808,硃砂痣,亲情,情爱,2,【第六场】,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,情爱,离散,2,【第五场】,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,买卖,情爱,1,【第五场】,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,买卖,收养,1,【第五场】,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,买卖,离散,1,【第五场】,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,亲情,善行,1,【第二场】,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,亲情,因果报应,1,【第六场】,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,亲情,忠义,1,【第二场】,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,亲情,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,亲情,贫寒,1,【第四场】,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,亲情,身世,1,【第四场】,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,善行,子嗣,1,【第三场】,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,善行,忠义,1,【第二场】,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,善行,报恩,1,【第三场】,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,因果报应,情爱,1,【第六场】,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,子嗣,报恩,1,【第三场】,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,家国,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,忠义,情爱,1,【第一场】,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,忠义,道德抉择,1,【第一场】,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,情爱,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,情爱,收养,1,【第五场】,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,情爱,道德抉择,1,【第一场】,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,战争,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,收养,离散,1,【第五场】,scene_cooccurrence
pdf_01000000__01001009___abd1be1808,硃砂痣,贫寒,身世,1,【第四场】,scene_cooccurrence
