doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01001009___abd1be1808,硃砂痣,1,【第一场】,【第一场】,仁义,忠义,1,丫鬟；媒婆；家院；江氏；韩廷凤,韩廷凤新婚之夜发现新娘江氏因丈夫病重被迫卖身，心生怜悯，退还婚书并赠银百两，送其回家团聚。,llm
pdf_01000000__01001009___abd1be1808,硃砂痣,1,【第一场】,【第一场】,同情,情爱,1,丫鬟；媒婆；家院；江氏；韩廷凤,韩廷凤新婚之夜发现新娘江氏因丈夫病重被迫卖身，心生怜悯，退还婚书并赠银百两，送其回家团聚。,llm
pdf_01000000__01001009___abd1be1808,硃砂痣,1,【第一场】,【第一场】,道德抉择,道德抉择,1,丫鬟；媒婆；家院；江氏；韩廷凤,韩廷凤新婚之夜发现新娘江氏因丈夫病重被迫卖身，心生怜悯，退还婚书并赠银百两，送其回家团聚。,llm
pdf_01000000__01001009___abd1be1808,硃砂痣,2,【第二场】,【第二场】,恩义,忠义,1,吴惠泉；家院；江氏,江氏被韩员外送回，吴惠泉得知韩员外烧毁婚书、退还聘礼并赠银百两，夫妻感激，准备前去叩谢。,llm
pdf_01000000__01001009___abd1be1808,硃砂痣,2,【第二场】,【第二场】,夫妻团圆,亲情,1,吴惠泉；家院；江氏,江氏被韩员外送回，吴惠泉得知韩员外烧毁婚书、退还聘礼并赠银百两，夫妻感激，准备前去叩谢。,llm
pdf_01000000__01001009___abd1be1808,硃砂痣,2,【第二场】,【第二场】,善行,善行,1,吴惠泉；家院；江氏,江氏被韩员外送回，吴惠泉得知韩员外烧毁婚书、退还聘礼并赠银百两，夫妻感激，准备前去叩谢。,llm
pdf_01000000__01001009___abd1be1808,硃砂痣,3,【第三场】,【第三场】,报恩,报恩,1,吴惠泉；江氏；韩廷凤,吴惠泉夫妇跪谢韩廷凤恩情，韩廷凤解释不再娶妻，吴惠泉提议买子报恩，韩廷凤同意但要求远乡买子。,llm
pdf_01000000__01001009___abd1be1808,硃砂痣,3,【第三场】,【第三场】,子嗣,子嗣,1,吴惠泉；江氏；韩廷凤,吴惠泉夫妇跪谢韩廷凤恩情，韩廷凤解释不再娶妻，吴惠泉提议买子报恩，韩廷凤同意但要求远乡买子。,llm
pdf_01000000__01001009___abd1be1808,硃砂痣,3,【第三场】,【第三场】,善行,善行,1,吴惠泉；江氏；韩廷凤,吴惠泉夫妇跪谢韩廷凤恩情，韩廷凤解释不再娶妻，吴惠泉提议买子报恩，韩廷凤同意但要求远乡买子。,llm
pdf_01000000__01001009___abd1be1808,硃砂痣,4,【第四场】,【第四场】,贫寒,贫寒,1,金氏；韩遇运,金氏因家贫欲卖韩遇运，韩遇运不愿，金氏告知其非亲生，韩遇运震惊，母子面临分离。,llm
