doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01001009___abd1be1808,硃砂痣,亲情,4,江氏被韩员外送回，吴惠泉得知韩员外烧毁婚书、退还聘礼并赠银百两，夫妻感激，准备前去叩谢。,llm
pdf_01000000__01001009___abd1be1808,硃砂痣,情爱,4,韩廷凤新婚之夜发现新娘江氏因丈夫病重被迫卖身，心生怜悯，退还婚书并赠银百两，送其回家团聚。,llm
pdf_01000000__01001009___abd1be1808,硃砂痣,善行,2,江氏被韩员外送回，吴惠泉得知韩员外烧毁婚书、退还聘礼并赠银百两，夫妻感激，准备前去叩谢。,llm
pdf_01000000__01001009___abd1be1808,硃砂痣,忠义,2,韩廷凤新婚之夜发现新娘江氏因丈夫病重被迫卖身，心生怜悯，退还婚书并赠银百两，送其回家团聚。,llm
pdf_01000000__01001009___abd1be1808,硃砂痣,离散,2,吴惠泉归家途中遇金氏卖子，以五十两银子买下韩遇运为子，金氏含泪告别养子。,llm
pdf_01000000__01001009___abd1be1808,硃砂痣,买卖,1,吴惠泉归家途中遇金氏卖子，以五十两银子买下韩遇运为子，金氏含泪告别养子。,llm
pdf_01000000__01001009___abd1be1808,硃砂痣,因果报应,1,吴惠泉将买来的孩童韩遇运送给韩廷凤为子，韩廷凤发现韩遇运正是自己失散多年的亲生儿子。,llm
pdf_01000000__01001009___abd1be1808,硃砂痣,子嗣,1,吴惠泉夫妇跪谢韩廷凤恩情，韩廷凤解释不再娶妻，吴惠泉提议买子报恩，韩廷凤同意但要求远乡买子。,llm
pdf_01000000__01001009___abd1be1808,硃砂痣,家国,1,# 《硃砂痣》 （一名：《行善得子》）,keyword
pdf_01000000__01001009___abd1be1808,硃砂痣,战争,1,# 《硃砂痣》 （一名：《行善得子》）,keyword
pdf_01000000__01001009___abd1be1808,硃砂痣,报恩,1,吴惠泉夫妇跪谢韩廷凤恩情，韩廷凤解释不再娶妻，吴惠泉提议买子报恩，韩廷凤同意但要求远乡买子。,llm
pdf_01000000__01001009___abd1be1808,硃砂痣,收养,1,吴惠泉归家途中遇金氏卖子，以五十两银子买下韩遇运为子，金氏含泪告别养子。,llm
pdf_01000000__01001009___abd1be1808,硃砂痣,贫寒,1,金氏因家贫欲卖韩遇运，韩遇运不愿，金氏告知其非亲生，韩遇运震惊，母子面临分离。,llm
pdf_01000000__01001009___abd1be1808,硃砂痣,身世,1,金氏因家贫欲卖韩遇运，韩遇运不愿，金氏告知其非亲生，韩遇运震惊，母子面临分离。,llm
pdf_01000000__01001009___abd1be1808,硃砂痣,道德抉择,1,韩廷凤新婚之夜发现新娘江氏因丈夫病重被迫卖身，心生怜悯，退还婚书并赠银百两，送其回家团聚。,llm
