doc_id,doc_title,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,cue,perform_type,perform_subtype,action_tags,participants,text,raw_line
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,1,narration,narration,,,说明,,,《硃砂痣》；（一名：《行善得子》,# 《硃砂痣》 （一名：《行善得子》）,# 《硃砂痣》 （一名：《行善得子》）
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,23,narration,narration,,,说明,,,【第一场】,# 【第一场】,# 【第一场】
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,25,stage_direction,stage_direction,,韩廷凤上。,做,韩廷凤上。,上,韩廷凤,,（韩廷凤上。）
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,27,dialogue,dialogue,韩廷凤,笑,做,笑,笑,韩廷凤,哈哈哈……,韩廷凤 （笑） 哈哈哈……
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,29,dialogue,dialogue,,二黄摇板,唱,二黄摇板,,二黄摇板）；今夜晚前后厅灯光明亮,今夜晚前后厅灯光明亮，,（二黄摇板） 今夜晚前后厅灯光明亮，
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,31,narration,narration,,,说明,,,我不想年半百又做新郎,我不想年半百又做新郎。,我不想年半百又做新郎。
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,33,stage_direction,stage_direction,,家院上。媒婆上。,做,家院上。媒婆上。,上,媒婆,,（家院上。媒婆上。）
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,35,dialogue,dialogue,媒婆,念,念,念,,媒婆,新人过门厅，媒钱自然增。,媒婆 （念） 新人过门厅，媒钱自然增。
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,37,dialogue,dialogue,,白,白,白,念白,白）；启老爷：新人已到,启老爷：新人已到。,（白） 启老爷：新人已到。
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,39,dialogue,dialogue,韩廷凤,白,白,白,上；来；念白,韩廷凤,将轿搭上堂来。,韩廷凤 （白） 将轿搭上堂来。
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,41,dialogue,dialogue,媒婆,白,白,白,上；来；念白,媒婆,花轿搭上堂来。,媒婆 （白） 花轿搭上堂来。
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,43,stage_direction,stage_direction,,轿夫、丫鬟、江氏同上。江氏出轿，轿夫下。,做,轿夫、丫鬟、江氏同上。江氏出轿，轿夫下。,上；下,江氏,,（轿夫、丫鬟、江氏同上。江氏出轿，轿夫下。）
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,45,dialogue,dialogue,媒婆,白,白,白,念白,媒婆,娘子见过老爷。,媒婆 （白） 娘子见过老爷。
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,47,stage_direction,stage_direction,,江氏坐。,做,江氏坐。,坐,江氏,,（江氏坐。）
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,49,dialogue,dialogue,媒婆,白,白,白,念白,媒婆,小人们讨赏。,媒婆 （白） 小人们讨赏。
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,51,dialogue,dialogue,韩廷凤,白,白,白,下；念白,韩廷凤,下面领赏。,韩廷凤 （白） 下面领赏。
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,53,dialogue,dialogue,媒婆,白,白,白,念白,媒婆,谢老爷。,媒婆 （白） 谢老爷。
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,55,narration,narration,,,说明,,,媒人一片苦心肠；一边欢喜一边伤,媒人一片苦心肠，一边欢喜一边伤。,媒人一片苦心肠，一边欢喜一边伤。
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,57,stage_direction,stage_direction,,媒婆下。家院下。,做,媒婆下。家院下。,下,媒婆,,（媒婆下。家院下。）
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,59,dialogue,dialogue,韩廷凤,白,白,白,念白,韩廷凤,丫头！,韩廷凤 （白） 丫头！
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,61,dialogue,dialogue,丫鬟,白,白,白,念白,丫鬟,有。,丫鬟 （白） 有。
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,63,dialogue,dialogue,韩廷凤,白,白,白,念白,韩廷凤,掌灯，待我一观。,韩廷凤 （白） 掌灯，待我一观。
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,65,dialogue,dialogue,,二黄慢板,唱,二黄慢板,,二黄慢板）；借灯光暗地里细观姣娘,借灯光暗地里细观姣娘，,（二黄慢板） 借灯光暗地里细观姣娘，
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,67,narration,narration,,,说明,,看,我看她与前妻一样风光,我看她与前妻一样风光。,我看她与前妻一样风光。
pdf_01000000__01001009___abd1be1808,硃砂痣,01001009_硃砂痣.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001009_硃砂痣.pdf,01000000/01001009_硃砂痣.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,69,stage_direction,stage_direction,,江氏哭。,做,江氏哭。,哭,江氏,,（江氏哭。）
