doc_id,doc_title,scene_index,scene,source,target,relation_type,weight,evidence,derived_by
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,韩廷凤,媒婆,对话/应答,1,我不想年半百又做新郎。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,媒婆,韩廷凤,对话/应答,1,启老爷：新人已到。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,韩廷凤,媒婆,对话/应答,1,将轿搭上堂来。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,媒婆,韩廷凤,对话/应答,1,小人们讨赏。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,韩廷凤,媒婆,对话/应答,1,下面领赏。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,媒婆,韩廷凤,对话/应答,1,媒人一片苦心肠，一边欢喜一边伤。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,韩廷凤,丫鬟,对话/应答,1,丫头！,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,丫鬟,韩廷凤,对话/应答,1,有。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,韩廷凤,江氏,对话/应答,1,莫不是嫌我老难配鸾凰？,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,江氏,韩廷凤,对话/应答,1,不是。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,韩廷凤,江氏,对话/应答,1,你有甚心中事细说端详，这有何妨？,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,江氏,吴惠泉,对话/应答,1,# 【第二场】,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,吴惠泉,江氏,对话/应答,1,孤单单病奄奄坐卧病床，,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,江氏,家院,对话/应答,1,来此已是我家门首，请站一时。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,家院,江氏,对话/应答,1,是。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,江氏,吴惠泉,对话/应答,1,丈夫开门。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,吴惠泉,江氏,对话/应答,1,想是我梦魂中心神颠倒。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,江氏,吴惠泉,对话/应答,1,开门！,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,吴惠泉,韩遇运,对话/应答,1,"<table><tr><td>金氏(念)</td><td>只说养儿得济,谁知到老养儿。</td></tr><tr><td",adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,韩遇运,金氏,对话/应答,1,天子重英豪，文章教尔曹。万般皆下品，惟有读书高。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,金氏,韩遇运,对话/应答,1,喝一口清凉水，还要我自己去挑。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,韩遇运,金氏,对话/应答,1,候儿成人大，金榜把名标。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,金氏,韩遇运,对话/应答,1,候你成人大，母子两边飘。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,韩遇运,金氏,对话/应答,1,母亲放心，等儿长大成人，若作了官，你就是太夫人了。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,金氏,韩遇运,对话/应答,1,好大的口气！我对你言讲：看这年年荒旱，母子难度光阴，我有意将你卖在大户人家，你也有安身之处，我也有了活命。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,韩遇运,金氏,对话/应答,1,嗳，我是不卖的！,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,金氏,韩遇运,对话/应答,1,我对你讲了吧：你不是我亲生之子，自因那年金兵造反，四月初八日在青州路上拾来的。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,韩遇运,金氏,对话/应答,1,吓，你不是我的亲娘。哎呀，我的亲娘吓！,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,金氏,吴惠泉,对话/应答,1,"<table><tr><td rowspan=""2"">金氏</td><td>(二黄摇板)</td><td>叹冤家和债主休",adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,吴惠泉,金氏,对话/应答,1,<table><tr><td>金氏</td><td>(白)</td><td>人卖草能值几何?自然是草卖人。</td></,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,金氏,吴惠泉,对话/应答,1,卖的就是这个孩童。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,吴惠泉,金氏,对话/应答,1,这孩童是老妈妈什么人？,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,金氏,吴惠泉,对话/应答,1,乃是我的儿子。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,吴惠泉,金氏,对话/应答,1,多大年纪？,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,金氏,吴惠泉,对话/应答,1,一十三岁。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,吴惠泉,金氏,对话/应答,1,老妈妈偌大年纪，哪有一十三岁的孩童？,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,金氏,吴惠泉,对话/应答,1,他不是我的亲生儿子。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,吴惠泉,金氏,对话/应答,1,哦，如此要卖多少银子？,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,金氏,吴惠泉,对话/应答,1,请问客官，还是为子，还是为仆？,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,吴惠泉,金氏,对话/应答,1,自然是为子。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,金氏,吴惠泉,对话/应答,1,既然是为子，我是要五十两银子。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,吴惠泉,金氏,对话/应答,1,妈妈，这是五十两银子，你母子分别分别，我们要赶路了。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,金氏,吴惠泉,对话/应答,1,是是是。请问客官家中，可有大娘？,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,吴惠泉,韩廷凤,对话/应答,1,# 【第六场】,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,韩廷凤,吴惠泉,对话/应答,1,哎！,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,吴惠泉,韩遇运,对话/应答,1,小相公，来此以是，少站片时。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,韩遇运,吴惠泉,对话/应答,1,是。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,吴惠泉,韩廷凤,对话/应答,1,参见大老爷。,adjacency
pdf_01000000__01001009___abd1be1808,硃砂痣,0,序幕/前置内容,韩廷凤,吴惠泉,对话/应答,1,吴相公回来了，请坐请坐。,adjacency
