doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,text,target,target_char_id,emotion_tag,speech_act,entity_tags,action_tags,is_key_line,emotion_derived_by,target_derived_by,llm_confidence,raw_line
pdf_01000000__01001010___86bc12e35b,黄金台,pdf_01000000__01001010___86bc12e35b__line__000001,pdf_01000000__01001010___86bc12e35b__scene__000,01001010_黄金台.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001010_黄金台.pdf,01000000/01001010_黄金台.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,0,序幕/前置内容,1,narration,narration,,,,# 《黄金台》,,,,,,,0,,,,# 《黄金台》
pdf_01000000__01001010___86bc12e35b,黄金台,pdf_01000000__01001010___86bc12e35b__line__000003,pdf_01000000__01001010___86bc12e35b__scene__000,01001010_黄金台.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001010_黄金台.pdf,01000000/01001010_黄金台.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,0,序幕/前置内容,3,narration,narration,,,,# （一名：《田单救主》；一名：《搜府盘关》；一名：《乐毅伐齐》）,田单,pdf_01000000__01001010___86bc12e35b__char__fe7c70a614,,,田单,,1,,rule,,# （一名：《田单救主》；一名：《搜府盘关》；一名：《乐毅伐齐》）
pdf_01000000__01001010___86bc12e35b,黄金台,pdf_01000000__01001010___86bc12e35b__line__000031,pdf_01000000__01001010___86bc12e35b__scene__001,01001010_黄金台.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001010_黄金台.pdf,01000000/01001010_黄金台.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,31,dialogue,dialogue,田单,pdf_01000000__01001010___86bc12e35b__char__fe7c70a614,内白,掌灯。,,,,,,念白,0,,,,田单（内白）掌灯。
pdf_01000000__01001010___86bc12e35b,黄金台,pdf_01000000__01001010___86bc12e35b__line__000031,pdf_01000000__01001010___86bc12e35b__scene__001,01001010_黄金台.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001010_黄金台.pdf,01000000/01001010_黄金台.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,31,dialogue,dialogue,田单,pdf_01000000__01001010___86bc12e35b__char__fe7c70a614,回龙,为国家哪顾得昼夜奔忙。,,,,,,,0,,,,田单（回龙）为国家哪顾得昼夜奔忙。
pdf_01000000__01001010___86bc12e35b,黄金台,pdf_01000000__01001010___86bc12e35b__line__000031,pdf_01000000__01001010___86bc12e35b__scene__001,01001010_黄金台.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001010_黄金台.pdf,01000000/01001010_黄金台.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,31,dialogue,dialogue,二衙役,pdf_01000000__01001010___86bc12e35b__char__9b2d57f271,同白,有。,田单,pdf_01000000__01001010___86bc12e35b__char__fe7c70a614,,,,念白,0,,rule,,二衙役（同白）有。
pdf_01000000__01001010___86bc12e35b,黄金台,pdf_01000000__01001010___86bc12e35b__line__000031,pdf_01000000__01001010___86bc12e35b__scene__001,01001010_黄金台.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001010_黄金台.pdf,01000000/01001010_黄金台.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,31,dialogue,dialogue,田单,pdf_01000000__01001010___86bc12e35b__char__fe7c70a614,白,掌灯。,二衙役,pdf_01000000__01001010___86bc12e35b__char__9b2d57f271,,,,念白,0,,rule,,田单（白）掌灯。
pdf_01000000__01001010___86bc12e35b,黄金台,pdf_01000000__01001010___86bc12e35b__line__000031,pdf_01000000__01001010___86bc12e35b__scene__001,01001010_黄金台.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001010_黄金台.pdf,01000000/01001010_黄金台.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,31,dialogue,dialogue,二衙役,pdf_01000000__01001010___86bc12e35b__char__9b2d57f271,同白,哦。,田单,pdf_01000000__01001010___86bc12e35b__char__fe7c70a614,,,,念白,0,,rule,,二衙役（同白）哦。
pdf_01000000__01001010___86bc12e35b,黄金台,pdf_01000000__01001010___86bc12e35b__line__000031,pdf_01000000__01001010___86bc12e35b__scene__001,01001010_黄金台.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001010_黄金台.pdf,01000000/01001010_黄金台.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,31,dialogue,dialogue,田单,pdf_01000000__01001010___86bc12e35b__char__fe7c70a614,二黄摇板,"叫人来掌红灯大街来上,若有那面生人细问端详。",二衙役,pdf_01000000__01001010___86bc12e35b__char__9b2d57f271,,,,上；来；问；叫,1,,rule,,"田单（二黄摇板）叫人来掌红灯大街来上,若有那面生人细问端详。"
pdf_01000000__01001010___86bc12e35b,黄金台,pdf_01000000__01001010___86bc12e35b__line__000031,pdf_01000000__01001010___86bc12e35b__scene__001,01001010_黄金台.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001010_黄金台.pdf,01000000/01001010_黄金台.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,31,dialogue,dialogue,二衙役,pdf_01000000__01001010___86bc12e35b__char__9b2d57f271,同白,拿住了犯夜的了!,田单,pdf_01000000__01001010___86bc12e35b__char__fe7c70a614,,,,拿；念白,0,,rule,,二衙役（同白）拿住了犯夜的了!
pdf_01000000__01001010___86bc12e35b,黄金台,pdf_01000000__01001010___86bc12e35b__line__000031,pdf_01000000__01001010___86bc12e35b__scene__001,01001010_黄金台.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001010_黄金台.pdf,01000000/01001010_黄金台.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,31,dialogue,dialogue,衙役甲,pdf_01000000__01001010___86bc12e35b__char__79ec311ca9,白,"伙计你看住他,我去讨赏。",二衙役,pdf_01000000__01001010___86bc12e35b__char__9b2d57f271,,,,去；看；念白,0,,rule,,"衙役甲（白）伙计你看住他,我去讨赏。"
