doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01001010___86bc12e35b,黄金台,亲情,公案,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,亲情,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,亲情,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,亲情,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,公案,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,公案,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,公案,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,公案,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,公案,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,家国,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,家国,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,忠义,执法严明,1,【第一场】,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,忠义,权力压迫,1,【第二场】,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,忠义,权谋,1,【第二场】,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,情爱,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,情爱,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,情爱,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,战争,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,战争,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,权力压迫,权谋,1,【第二场】,scene_cooccurrence
pdf_01000000__01001010___86bc12e35b,黄金台,权谋,离散,1,序幕/前置内容,scene_cooccurrence
