doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01001010___86bc12e35b,黄金台,1,【第一场】,【第一场】,忠君尽职,忠义,1,二衙役；田单；衙役乙；衙役甲,田单深夜掌灯巡街，命衙役盘查可疑之人。衙役甲、乙发现并捉拿一名犯夜者，准备向田单讨赏。,llm
pdf_01000000__01001010___86bc12e35b,黄金台,1,【第一场】,【第一场】,执法严明,执法严明,1,二衙役；田单；衙役乙；衙役甲,田单深夜掌灯巡街，命衙役盘查可疑之人。衙役甲、乙发现并捉拿一名犯夜者，准备向田单讨赏。,llm
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,【第二场】,忠奸对立,忠义,1,乳娘；伊立；四校尉；家院；田单；田法章,伊立率校尉搜府，田单让田法章扮成小妹，与乳娘一同应对。伊立怀疑世子藏匿，田单周旋，伊立坚持要见田姑娘。,llm
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,【第二场】,智谋与伪装,权谋,1,乳娘；伊立；四校尉；家院；田单；田法章,伊立率校尉搜府，田单让田法章扮成小妹，与乳娘一同应对。伊立怀疑世子藏匿，田单周旋，伊立坚持要见田姑娘。,llm
pdf_01000000__01001010___86bc12e35b,黄金台,2,【第二场】,【第二场】,权力压迫,权力压迫,1,乳娘；伊立；四校尉；家院；田单；田法章,伊立率校尉搜府，田单让田法章扮成小妹，与乳娘一同应对。伊立怀疑世子藏匿，田单周旋，伊立坚持要见田姑娘。,llm
pdf_01000000__01001010___86bc12e35b,黄金台,0,序幕/前置内容,序幕/前置内容,权谋,权谋,1,,# 《黄金台》；# （一名：《田单救主》；一名：《搜府盘关》；一名：《乐毅伐齐》）,keyword
pdf_01000000__01001010___86bc12e35b,黄金台,0,序幕/前置内容,序幕/前置内容,战争,战争,1,,# 《黄金台》；# （一名：《田单救主》；一名：《搜府盘关》；一名：《乐毅伐齐》）,keyword
pdf_01000000__01001010___86bc12e35b,黄金台,0,序幕/前置内容,序幕/前置内容,家国,家国,1,,# 《黄金台》；# （一名：《田单救主》；一名：《搜府盘关》；一名：《乐毅伐齐》）,keyword
pdf_01000000__01001010___86bc12e35b,黄金台,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《黄金台》；# （一名：《田单救主》；一名：《搜府盘关》；一名：《乐毅伐齐》）,keyword
pdf_01000000__01001010___86bc12e35b,黄金台,0,序幕/前置内容,序幕/前置内容,公案,公案,1,,# 《黄金台》；# （一名：《田单救主》；一名：《搜府盘关》；一名：《乐毅伐齐》）,keyword
pdf_01000000__01001010___86bc12e35b,黄金台,0,序幕/前置内容,序幕/前置内容,情爱,情爱,1,,# 《黄金台》；# （一名：《田单救主》；一名：《搜府盘关》；一名：《乐毅伐齐》）,keyword
pdf_01000000__01001010___86bc12e35b,黄金台,0,序幕/前置内容,序幕/前置内容,离散,离散,1,,# 《黄金台》；# （一名：《田单救主》；一名：《搜府盘关》；一名：《乐毅伐齐》）,keyword
