doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01001010___86bc12e35b,黄金台,忠义,2,田单深夜掌灯巡街，命衙役盘查可疑之人。衙役甲、乙发现并捉拿一名犯夜者，准备向田单讨赏。,llm
pdf_01000000__01001010___86bc12e35b,黄金台,权谋,2,伊立率校尉搜府，田单让田法章扮成小妹，与乳娘一同应对。伊立怀疑世子藏匿，田单周旋，伊立坚持要见田姑娘。,llm
pdf_01000000__01001010___86bc12e35b,黄金台,亲情,1,# 《黄金台》；# （一名：《田单救主》；一名：《搜府盘关》；一名：《乐毅伐齐》）,keyword
pdf_01000000__01001010___86bc12e35b,黄金台,公案,1,# 《黄金台》；# （一名：《田单救主》；一名：《搜府盘关》；一名：《乐毅伐齐》）,keyword
pdf_01000000__01001010___86bc12e35b,黄金台,家国,1,# 《黄金台》；# （一名：《田单救主》；一名：《搜府盘关》；一名：《乐毅伐齐》）,keyword
pdf_01000000__01001010___86bc12e35b,黄金台,情爱,1,# 《黄金台》；# （一名：《田单救主》；一名：《搜府盘关》；一名：《乐毅伐齐》）,keyword
pdf_01000000__01001010___86bc12e35b,黄金台,战争,1,# 《黄金台》；# （一名：《田单救主》；一名：《搜府盘关》；一名：《乐毅伐齐》）,keyword
pdf_01000000__01001010___86bc12e35b,黄金台,执法严明,1,田单深夜掌灯巡街，命衙役盘查可疑之人。衙役甲、乙发现并捉拿一名犯夜者，准备向田单讨赏。,llm
pdf_01000000__01001010___86bc12e35b,黄金台,权力压迫,1,伊立率校尉搜府，田单让田法章扮成小妹，与乳娘一同应对。伊立怀疑世子藏匿，田单周旋，伊立坚持要见田姑娘。,llm
pdf_01000000__01001010___86bc12e35b,黄金台,离散,1,# 《黄金台》；# （一名：《田单救主》；一名：《搜府盘关》；一名：《乐毅伐齐》）,keyword
