doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01001011___b32a64375f,文昭关,1,【第一场】,东皋公,伍员,对话/应答,对话,19,"庄外青山绿水,黄花百草风吹。",pdf_01000000__01001011___b32a64375f__line__000023,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,1,【第一场】,伍员,东皋公,对话/应答,对话,18,"伍员马上怒气冲,逃出龙潭虎穴中!",pdf_01000000__01001011___b32a64375f__line__000023,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,1,【第一场】,东皋公,童儿,对话/应答,对话,1,哈哈哈......,pdf_01000000__01001011___b32a64375f__line__000023,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,1,【第一场】,童儿,东皋公,对话/应答,对话,1,迎接家爷。,pdf_01000000__01001011___b32a64375f__line__000023,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,2,【第二场】,伍员,东皋公,对话/应答,对话,9,"嗳,爹娘吓!一轮明月照窗前,愁人心中似箭穿。实指望到吴国借兵回转,又谁知昭关亦有阻拦。幸遇皋公行得方便,他将我留在后花园。一连七日眉不展,夜夜何曾得安眠。俺伍员",pdf_01000000__01001011___b32a64375f__line__000029,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,2,【第二场】,东皋公,伍员,对话/应答,对话,8,"一夜漏声催晚箭,月移花影上栏杆。熄灭灯光窗前站,且听愁人口内言。",pdf_01000000__01001011___b32a64375f__line__000029,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,2,【第二场】,东皋公,童儿,对话/应答,对话,1,"拿我名帖,去请皇甫官人,过府一叙。",pdf_01000000__01001011___b32a64375f__line__000029,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,2,【第二场】,童儿,伍员,对话/应答,对话,1,遵命。,pdf_01000000__01001011___b32a64375f__line__000029,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,2,【第二场】,东皋公,伍员,命令/请求,命令,1,"听罢言来心内酸,铁石人闻也泪涟。伍员本是英雄汉,忠臣孝子不虚传。背地只把老汉怨,袖内机关他怎参?救人如把弥陀念,我明日保他过昭关。(东皋公下。【起五更鼓】。)",pdf_01000000__01001011___b32a64375f__line__000029,mention,
pdf_01000000__01001011___b32a64375f,文昭关,2,【第二场】,伍员,东皋公,对抗,对抗,1,"鸡鸣犬吠五更天,越思越想越伤惨。想起了在朝为官宦,朝臣待漏五更寒。到今夜宿居荒村馆,冷冷清清对谁言?唉,我本当拔宝剑自寻短见,父母冤仇化尘烟!对天发下宏誓愿,不",pdf_01000000__01001011___b32a64375f__line__000029,mention,
pdf_01000000__01001011___b32a64375f,文昭关,2,【第二场】,东皋公,童儿,提及,提及,1,"恭喜将军,贺喜将军!(童儿上。)",pdf_01000000__01001011___b32a64375f__line__000029,mention,
pdf_01000000__01001011___b32a64375f,文昭关,2,【第二场】,东皋公,皇甫讷,命令/请求,命令,1,"那昭关上挂的图形,乃是年轻壮士,如今将军须发皆白,与图形不同;老汉有一好友,名唤皇甫讷,待老汉约他前来,设计救你出关。",pdf_01000000__01001011___b32a64375f__line__000029,mention,
pdf_01000000__01001011___b32a64375f,文昭关,3,【第四场】,皇甫讷,童儿,对话/应答,对话,1,"皋公有帖将我请,急忙到此问分明。",pdf_01000000__01001011___b32a64375f__line__000037,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,3,【第四场】,童儿,东皋公,对话/应答,对话,3,有请家爷。,pdf_01000000__01001011___b32a64375f__line__000037,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,3,【第四场】,东皋公,童儿,对话/应答,对话,2,"曲径通幽处,园林花木深。",pdf_01000000__01001011___b32a64375f__line__000037,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,3,【第四场】,东皋公,皇甫讷,对话/应答,对话,6,"啊,皇甫贤弟。",pdf_01000000__01001011___b32a64375f__line__000037,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,3,【第四场】,皇甫讷,东皋公,对话/应答,对话,6,皋公兄。,pdf_01000000__01001011___b32a64375f__line__000037,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,3,【第四场】,东皋公,伍员,对话/应答,对话,3,有请伍明辅。,pdf_01000000__01001011___b32a64375f__line__000037,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,3,【第四场】,伍员,东皋公,对话/应答,对话,2,"父母冤仇恨,常怀一片心。有何见论?",pdf_01000000__01001011___b32a64375f__line__000037,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,3,【第四场】,伍员,皇甫讷,对话/应答,对话,4,皇甫兄在哪里?,pdf_01000000__01001011___b32a64375f__line__000037,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,3,【第四场】,皇甫讷,伍员,对话/应答,对话,4,"伍明辅,这厢有礼。",pdf_01000000__01001011___b32a64375f__line__000037,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,3,【第四场】,东皋公,伍员,提及,提及,1,"相邀贤弟,非为别事。只因楚国伍子胥,逃难至此。要到吴国借兵,奈昭关难过。贤弟相貌与伍员相似,特邀贤弟一同计议,救他出关。",pdf_01000000__01001011___b32a64375f__line__000037,mention,
pdf_01000000__01001011___b32a64375f,文昭关,3,【第四场】,皇甫讷,伍员,提及,提及,1,"仁兄之言,小弟无有不遵。伍员今在何处?",pdf_01000000__01001011___b32a64375f__line__000037,mention,
pdf_01000000__01001011___b32a64375f,文昭关,4,【第五场】,米南适,四青袍,对话/应答,对话,3,"坐守昭关,威镇名传。",pdf_01000000__01001011___b32a64375f__line__000045,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,4,【第五场】,四青袍,皇甫讷,对话/应答,对话,3,哦。,pdf_01000000__01001011___b32a64375f__line__000045,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,4,【第五场】,皇甫讷,四青袍,对话/应答,对话,2,有人么?,pdf_01000000__01001011___b32a64375f__line__000045,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,4,【第五场】,四青袍,米南适,对话/应答,对话,2,启爷:有一汉子过关。,pdf_01000000__01001011___b32a64375f__line__000045,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,4,【第五场】,皇甫讷,米南适,对话/应答,对话,1,小人挂号的。,pdf_01000000__01001011___b32a64375f__line__000045,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,5,【第六场】,伍员,东皋公,礼节/隶属,礼节/隶属,1,且喜过了昭关，不免拜谢东皋公、皇甫讷，奔往吴国去吧！（伍员下。）,pdf_01000000__01001011___b32a64375f__line__000051,mention,
pdf_01000000__01001011___b32a64375f,文昭关,5,【第六场】,伍员,皇甫讷,礼节/隶属,礼节/隶属,1,且喜过了昭关，不免拜谢东皋公、皇甫讷，奔往吴国去吧！（伍员下。）,pdf_01000000__01001011___b32a64375f__line__000051,mention,
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,米南适,皇甫讷,对话/应答,对话,5,呔，胆大伍子胥！你乃反叛之臣，见了本帅，为何立而不跪？,pdf_01000000__01001011___b32a64375f__line__000057,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,皇甫讷,米南适,对话/应答,对话,3,住了！谁是伍子胥？俺乃庶民皇甫讷！,pdf_01000000__01001011___b32a64375f__line__000059,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,米南适,东皋公,对话/应答,对话,7,明明伍子胥，还敢强辩！来，吊在西廊，重打一百皮鞭！,pdf_01000000__01001011___b32a64375f__line__000061,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,东皋公,四青袍,对话/应答,对话,2,有人么？,pdf_01000000__01001011___b32a64375f__line__000065,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,四青袍,东皋公,对话/应答,对话,1,什么人？,pdf_01000000__01001011___b32a64375f__line__000067,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,四青袍,米南适,对话/应答,对话,1,启爷：东皋公求见。,pdf_01000000__01001011___b32a64375f__line__000071,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,东皋公,米南适,对话/应答,对话,8,岂敢。恭喜将军！,pdf_01000000__01001011___b32a64375f__line__000077,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,东皋公,皇甫讷,对话/应答,对话,2,待我看来！,pdf_01000000__01001011___b32a64375f__line__000089,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,皇甫讷,东皋公,对话/应答,对话,4,嗳吓，你害得我好苦吓！,pdf_01000000__01001011___b32a64375f__line__000091,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,米南适,四青袍,对话/应答,对话,1,众将小心盘查，你等休放伍子胥混出昭关！,pdf_01000000__01001011___b32a64375f__line__000131,adjacency,
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,四青袍,东皋公,提及,提及,1,启爷：东皋公求见。,pdf_01000000__01001011___b32a64375f__line__000071,mention,
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,米南适,皇甫讷,对抗,对抗,1,拿便拿住了，他说什么“庶民皇甫讷”。,pdf_01000000__01001011___b32a64375f__line__000083,mention,
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,东皋公,皇甫讷,提及,提及,1,吓，皇甫讷乃是老汉的好友，今在何处？,pdf_01000000__01001011___b32a64375f__line__000085,mention,
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,皇甫讷,东皋公,提及,提及,1,若不看东皋公分上，定不与你干休！,pdf_01000000__01001011___b32a64375f__line__000107,mention,
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,米南适,东皋公,问答,对话,1,东皋公，这几日为何不到关上走走？,pdf_01000000__01001011___b32a64375f__line__000113,mention,
pdf_01000000__01001011___b32a64375f,文昭关,2,【第二场】,东皋公,伍员,同场共现,同场共现,1,（伍员、东皋公同下。）,,stage_direction,
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,米南适,皇甫讷,同场共现,同场共现,1,（四青袍、米南适、皇甫讷同上。）,,stage_direction,
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,皇甫讷,东皋公,同场共现,同场共现,2,（四青袍同打皇甫讷。东皋公上。）,,stage_direction,
pdf_01000000__01001011___b32a64375f,文昭关,1,【第一场】,东皋公,伍员,协助,协助,3,请到老汉家下，暂住几日。慢慢定计，就你出关。,,llm,
pdf_01000000__01001011___b32a64375f,文昭关,1,【第一场】,伍员,东皋公,试探,试探,2,住口！俺不是伍子胥，老丈不要认差了！,,llm,
pdf_01000000__01001011___b32a64375f,文昭关,2,【第二场】,伍员,东皋公,评价,评价,2,背地里只把皋公埋怨，叫人难解巧机关。,,llm,
pdf_01000000__01001011___b32a64375f,文昭关,2,【第二场】,东皋公,伍员,协助,协助,3,救人如把弥陀念，我明日保他过昭关。,,llm,
pdf_01000000__01001011___b32a64375f,文昭关,2,【第二场】,东皋公,童儿,命令,命令,1,拿我名帖，去请皇甫官人，过府一叙。,,llm,
pdf_01000000__01001011___b32a64375f,文昭关,3,【第四场】,东皋公,皇甫讷,协助,协助,3,相邀贤弟，非为别事。只因楚国伍子胥，逃难至此。,,llm,
pdf_01000000__01001011___b32a64375f,文昭关,3,【第四场】,东皋公,伍员,协助,协助,3,要过昭关，有何难哉？皇甫兄扮作将军模样，伍明辅扮作随行家丁。,,llm,
pdf_01000000__01001011___b32a64375f,文昭关,3,【第四场】,皇甫讷,伍员,协助,协助,2,仁兄之言，小弟无有不遵。,,llm,
pdf_01000000__01001011___b32a64375f,文昭关,4,【第五场】,米南适,皇甫讷,命令,命令,1,米南适下令绑赴帅府,,llm,
pdf_01000000__01001011___b32a64375f,文昭关,4,【第五场】,四青袍,米南适,汇报,汇报,1,四青袍报告皇甫讷与图形相似,,llm,
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,米南适,皇甫讷,对抗,对抗,3,米南适误认皇甫讷为伍子胥，下令吊打。,,llm,
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,东皋公,米南适,协助,协助,2,东皋公求见并解释皇甫讷是其好友，请求释放。,,llm,
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,东皋公,皇甫讷,协助,协助,3,东皋公设计让皇甫讷冒充伍子胥，并出面解救。,,llm,
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,皇甫讷,米南适,对抗,对抗,2,皇甫讷被释放后声称要去平王驾前辩理。,,llm,
