doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01001011___b32a64375f,文昭关,忠义,权谋,3,【第二场】,scene_cooccurrence
pdf_01000000__01001011___b32a64375f,文昭关,复仇,忠义,2,【第二场】,scene_cooccurrence
pdf_01000000__01001011___b32a64375f,文昭关,复仇,权谋,2,【第二场】,scene_cooccurrence
pdf_01000000__01001011___b32a64375f,文昭关,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001011___b32a64375f,文昭关,亲情,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001011___b32a64375f,文昭关,困境与转机,复仇,1,【第二场】,scene_cooccurrence
pdf_01000000__01001011___b32a64375f,文昭关,困境与转机,忠义,1,【第二场】,scene_cooccurrence
pdf_01000000__01001011___b32a64375f,文昭关,困境与转机,权谋,1,【第二场】,scene_cooccurrence
pdf_01000000__01001011___b32a64375f,文昭关,复仇,悲情,1,【第六场】,scene_cooccurrence
pdf_01000000__01001011___b32a64375f,文昭关,复仇,感恩,1,【第六场】,scene_cooccurrence
pdf_01000000__01001011___b32a64375f,文昭关,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001011___b32a64375f,文昭关,忠义,悲情,1,【第一场】,scene_cooccurrence
pdf_01000000__01001011___b32a64375f,文昭关,忠义,误会,1,【第七场】,scene_cooccurrence
pdf_01000000__01001011___b32a64375f,文昭关,忠义,隐士相助,1,【第一场】,scene_cooccurrence
pdf_01000000__01001011___b32a64375f,文昭关,悲情,感恩,1,【第六场】,scene_cooccurrence
pdf_01000000__01001011___b32a64375f,文昭关,悲情,权谋,1,【第五场】,scene_cooccurrence
pdf_01000000__01001011___b32a64375f,文昭关,悲情,身份伪装,1,【第五场】,scene_cooccurrence
pdf_01000000__01001011___b32a64375f,文昭关,悲情,隐士相助,1,【第一场】,scene_cooccurrence
pdf_01000000__01001011___b32a64375f,文昭关,权谋,误会,1,【第七场】,scene_cooccurrence
pdf_01000000__01001011___b32a64375f,文昭关,权谋,身份伪装,1,【第五场】,scene_cooccurrence
