doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01001011___b32a64375f,文昭关,1,【第一场】,【第一场】,逃亡,悲情,1,东皋公；伍员；童儿,伍员逃至昭关，遇隐士东皋公。东皋公识破其身份，告知必经昭关，并邀其暂住家中，承诺助其出关。,llm
pdf_01000000__01001011___b32a64375f,文昭关,1,【第一场】,【第一场】,忠孝,忠义,1,东皋公；伍员；童儿,伍员逃至昭关，遇隐士东皋公。东皋公识破其身份，告知必经昭关，并邀其暂住家中，承诺助其出关。,llm
pdf_01000000__01001011___b32a64375f,文昭关,1,【第一场】,【第一场】,隐士相助,隐士相助,1,东皋公；伍员；童儿,伍员逃至昭关，遇隐士东皋公。东皋公识破其身份，告知必经昭关，并邀其暂住家中，承诺助其出关。,llm
pdf_01000000__01001011___b32a64375f,文昭关,2,【第二场】,【第二场】,忠孝,忠义,1,东皋公；伍员；童儿,伍员被困昭关，夜不能寐，悲愤交加，东皋公设计助其过关，发现伍员须发皆白，恰可蒙混过关。,llm
pdf_01000000__01001011___b32a64375f,文昭关,2,【第二场】,【第二场】,复仇,复仇,1,东皋公；伍员；童儿,伍员被困昭关，夜不能寐，悲愤交加，东皋公设计助其过关，发现伍员须发皆白，恰可蒙混过关。,llm
pdf_01000000__01001011___b32a64375f,文昭关,2,【第二场】,【第二场】,困境与转机,困境与转机,1,东皋公；伍员；童儿,伍员被困昭关，夜不能寐，悲愤交加，东皋公设计助其过关，发现伍员须发皆白，恰可蒙混过关。,llm
pdf_01000000__01001011___b32a64375f,文昭关,2,【第二场】,【第二场】,智谋,权谋,1,东皋公；伍员；童儿,伍员被困昭关，夜不能寐，悲愤交加，东皋公设计助其过关，发现伍员须发皆白，恰可蒙混过关。,llm
pdf_01000000__01001011___b32a64375f,文昭关,3,【第四场】,【第四场】,智谋,权谋,1,东皋公；伍员；皇甫讷；童儿,东皋公邀请皇甫讷，利用其与伍员相貌相似，设计让伍员扮作随从混出昭关，皇甫讷扮作伍员被擒。,llm
pdf_01000000__01001011___b32a64375f,文昭关,3,【第四场】,【第四场】,复仇,复仇,1,东皋公；伍员；皇甫讷；童儿,东皋公邀请皇甫讷，利用其与伍员相貌相似，设计让伍员扮作随从混出昭关，皇甫讷扮作伍员被擒。,llm
pdf_01000000__01001011___b32a64375f,文昭关,3,【第四场】,【第四场】,忠义,忠义,1,东皋公；伍员；皇甫讷；童儿,东皋公邀请皇甫讷，利用其与伍员相貌相似，设计让伍员扮作随从混出昭关，皇甫讷扮作伍员被擒。,llm
pdf_01000000__01001011___b32a64375f,文昭关,4,【第五场】,【第五场】,智谋,权谋,1,四青袍；皇甫讷；米南适,皇甫讷假扮伍子胥到昭关挂号，米南适见其与图形相似，下令将其绑赴帅府。,llm
pdf_01000000__01001011___b32a64375f,文昭关,4,【第五场】,【第五场】,逃亡,悲情,1,四青袍；皇甫讷；米南适,皇甫讷假扮伍子胥到昭关挂号，米南适见其与图形相似，下令将其绑赴帅府。,llm
pdf_01000000__01001011___b32a64375f,文昭关,4,【第五场】,【第五场】,身份伪装,身份伪装,1,四青袍；皇甫讷；米南适,皇甫讷假扮伍子胥到昭关挂号，米南适见其与图形相似，下令将其绑赴帅府。,llm
pdf_01000000__01001011___b32a64375f,文昭关,5,【第六场】,【第六场】,复仇,复仇,1,伍员,伍员庆幸已过昭关，拜谢东皋公与皇甫讷后，决意继续奔往吴国，完成复仇大业。,llm
pdf_01000000__01001011___b32a64375f,文昭关,5,【第六场】,【第六场】,逃亡,悲情,1,伍员,伍员庆幸已过昭关，拜谢东皋公与皇甫讷后，决意继续奔往吴国，完成复仇大业。,llm
pdf_01000000__01001011___b32a64375f,文昭关,5,【第六场】,【第六场】,感恩,感恩,1,伍员,伍员庆幸已过昭关，拜谢东皋公与皇甫讷后，决意继续奔往吴国，完成复仇大业。,llm
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,【第七场】,智谋,权谋,1,东皋公；四青袍；皇甫讷；米南适,东皋公设计让皇甫讷冒充伍子胥被擒，米南适误抓后经东皋公说情释放，伍子胥得以混出昭关。,llm
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,【第七场】,误会,误会,1,东皋公；四青袍；皇甫讷；米南适,东皋公设计让皇甫讷冒充伍子胥被擒，米南适误抓后经东皋公说情释放，伍子胥得以混出昭关。,llm
pdf_01000000__01001011___b32a64375f,文昭关,6,【第七场】,【第七场】,忠义,忠义,1,东皋公；四青袍；皇甫讷；米南适,东皋公设计让皇甫讷冒充伍子胥被擒，米南适误抓后经东皋公说情释放，伍子胥得以混出昭关。,llm
pdf_01000000__01001011___b32a64375f,文昭关,0,序幕/前置内容,序幕/前置内容,家国,家国,1,,# 《文昭关》 （一名：《一夜白须》）,keyword
pdf_01000000__01001011___b32a64375f,文昭关,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《文昭关》 （一名：《一夜白须》）,keyword
pdf_01000000__01001011___b32a64375f,文昭关,0,序幕/前置内容,序幕/前置内容,离散,离散,1,,# 《文昭关》 （一名：《一夜白须》）,keyword
