doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01001012___3dcca783f4,黄鹤楼,忠义,权谋,3,【第一场】,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,权谋,试探,2,【第三场】,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,冲突,忠义,1,【第五场】,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,冲突,权力争夺,1,【第五场】,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,冲突,权谋,1,【第五场】,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,同盟与对抗,权谋,1,【第三场】,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,同盟与对抗,试探,1,【第三场】,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,家国,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,家国,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,家国,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,忠义,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,忠义,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,忠义,权力争夺,1,【第五场】,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,忠义,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,情爱,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,情爱,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,情爱,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,战争,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,战争,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,权力争夺,权谋,1,【第五场】,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,权谋,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,权谋,鸿门宴,1,【第四场】,scene_cooccurrence
pdf_01000000__01001012___3dcca783f4,黄鹤楼,试探,鸿门宴,1,【第四场】,scene_cooccurrence
