doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01001013___2ec29dd171,天水关,诸葛亮,刘禅,汇报,13,对话；汇报,"臣有出师表章,我主龙目一览。",llm,
pdf_01000000__01001013___2ec29dd171,天水关,马遵,姜维,对抗,12,命令；对抗；对话,马遵怒斥姜维降汉，开弓放箭,llm,
pdf_01000000__01001013___2ec29dd171,天水关,刘禅,诸葛亮,命令,11,命令；对话,明日里待孤皇长亭饯行。,llm,
pdf_01000000__01001013___2ec29dd171,天水关,诸葛亮,姜维,命令,11,命令；对话；提及,"回头便把马岱唤,虚情假意战魏延。勒马再把姜维战,引他兵败凤凰山。",llm,
pdf_01000000__01001013___2ec29dd171,天水关,赵云,诸葛亮,汇报,8,对话；汇报,"头一阵刀劈韩德父子五人落马。第二阵遇见红脸大汉,被他杀得大败。",llm,
pdf_01000000__01001013___2ec29dd171,天水关,姜维,诸葛亮,协助,7,协助；对话,姜维跪拜归降，愿随诸葛亮,llm,
pdf_01000000__01001013___2ec29dd171,天水关,姜维,马遵,汇报,7,对话；汇报,"末将正在后帐歇息,忽听都督免战高悬",llm,
pdf_01000000__01001013___2ec29dd171,天水关,关兴,张苞,同场共现,5,同场共现；对话,（魏延、马岱、关兴、张苞同上。）,stage_direction,
pdf_01000000__01001013___2ec29dd171,天水关,诸葛亮,赵云,命令,5,命令；对话,老将军后帐歇息。,llm,
pdf_01000000__01001013___2ec29dd171,天水关,魏延,姜维,对抗,5,对抗；对话；提及,魏延唱词‘姜维休要逞刚强’,llm,
pdf_01000000__01001013___2ec29dd171,天水关,四绿龙套,姜维,对话,4,,参见将军。,adjacency,
pdf_01000000__01001013___2ec29dd171,天水关,姜维,四绿龙套,对话,4,,接令鬼神惊。,adjacency,
pdf_01000000__01001013___2ec29dd171,天水关,姜维,龙套,对抗,4,对抗；提及,"正要擒那赵子龙,忽然闪出一孩童。手使大刀劈面砍,雅赛过当年美髯公!三军打罢得胜鼓,(四绿龙套同喝。)",mention,
pdf_01000000__01001013___2ec29dd171,天水关,马岱,关兴,同场共现,4,同场共现；对话,（魏延、马岱、关兴、张苞同上。）,stage_direction,
pdf_01000000__01001013___2ec29dd171,天水关,马遵,魏延,对抗,4,对抗；对话,马遵识破后放箭拒之,llm,
pdf_01000000__01001013___2ec29dd171,天水关,魏延,马岱,同场共现,4,同场共现；对话,（魏延、马岱、关兴、张苞同上。）,stage_direction,
pdf_01000000__01001013___2ec29dd171,天水关,姜维,赵云,对抗,3,对抗；对话；提及,姜维说'今日里擒住你要立功劳',llm,
pdf_01000000__01001013___2ec29dd171,天水关,张苞,姜维,对抗,3,对抗；对话,张苞唱词‘看你归降不归降’,llm,
pdf_01000000__01001013___2ec29dd171,天水关,张苞,赵云,对话,3,,参见老元戎。,adjacency,
pdf_01000000__01001013___2ec29dd171,天水关,张苞,魏延,对话,3,,斩将擒王立大功。,adjacency,
pdf_01000000__01001013___2ec29dd171,天水关,诸葛亮,关兴,命令,3,命令；对话,"关兴、张苞接令箭,大下江东好威严。二马连环把姜维战,杀得他四路无门跪马前。",llm,
