doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01001013___2ec29dd171,天水关,战争,权谋,3,【第五场】,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,家国,忠义,2,【第一场】,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,对抗,忠义,2,【第三场】,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,忠义,权谋,2,【第三场】,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,亲情,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,亲情,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,使命,孝道,1,【第七场】,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,使命,忠义,1,【第七场】,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,使命,招贤纳士,1,【第七场】,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,出征,家国,1,【第二场】,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,出征,忠义,1,【第二场】,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,北伐决策,家国,1,【第一场】,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,北伐决策,忠义,1,【第一场】,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,孝道,忠义,1,【第七场】,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,孝道,招贤纳士,1,【第七场】,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,家国,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,对抗,权谋,1,【第三场】,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,对抗,英雄相惜,1,【第四场】,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,将帅关系,战争,1,【第五场】,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,将帅关系,权谋,1,【第五场】,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,忠义,战争,1,【第六场】,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,忠义,招贤纳士,1,【第七场】,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,忠义,英雄相惜,1,【第四场】,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,战争,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001013___2ec29dd171,天水关,权谋,离散,1,序幕/前置内容,scene_cooccurrence
