doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01001013___2ec29dd171,天水关,忠义,6,诸葛亮上表请求北伐，刘禅虽不舍但最终同意，并承诺次日长亭饯行。,llm
pdf_01000000__01001013___2ec29dd171,天水关,权谋,4,马遵因韩德父子战败而高悬免战牌，姜维主动请缨，受命率本部人马迎战赵云，并表达擒孔明捉赵云的决心。,llm
pdf_01000000__01001013___2ec29dd171,天水关,家国,3,诸葛亮上表请求北伐，刘禅虽不舍但最终同意，并承诺次日长亭饯行。,llm
pdf_01000000__01001013___2ec29dd171,天水关,战争,3,赵云败回，向诸葛亮汇报战况，提及姜维勇猛。诸葛亮下令众将，安排计策引姜维至凤凰山，欲一战定中原。,llm
pdf_01000000__01001013___2ec29dd171,天水关,对抗,2,马遵因韩德父子战败而高悬免战牌，姜维主动请缨，受命率本部人马迎战赵云，并表达擒孔明捉赵云的决心。,llm
pdf_01000000__01001013___2ec29dd171,天水关,亲情,1,# 《天水关》；# （一名：《初出祁山》；一名：《取三郡》）,keyword
pdf_01000000__01001013___2ec29dd171,天水关,使命,1,诸葛亮设伏擒姜维，劝其归降。姜维因孝心被感化，投降蜀汉，诸葛亮大喜，托付兵权。,llm
pdf_01000000__01001013___2ec29dd171,天水关,出征,1,刘禅与诸葛亮在长亭饯行，众将整装待发。诸葛亮嘱托朝中政务，刘禅赐酒送别，赵云表态报恩，大军起营出征。,llm
pdf_01000000__01001013___2ec29dd171,天水关,北伐决策,1,诸葛亮上表请求北伐，刘禅虽不舍但最终同意，并承诺次日长亭饯行。,llm
pdf_01000000__01001013___2ec29dd171,天水关,孝道,1,诸葛亮设伏擒姜维，劝其归降。姜维因孝心被感化，投降蜀汉，诸葛亮大喜，托付兵权。,llm
pdf_01000000__01001013___2ec29dd171,天水关,将帅关系,1,赵云败回，向诸葛亮汇报战况，提及姜维勇猛。诸葛亮下令众将，安排计策引姜维至凤凰山，欲一战定中原。,llm
pdf_01000000__01001013___2ec29dd171,天水关,招贤纳士,1,诸葛亮设伏擒姜维，劝其归降。姜维因孝心被感化，投降蜀汉，诸葛亮大喜，托付兵权。,llm
pdf_01000000__01001013___2ec29dd171,天水关,离散,1,# 《天水关》；# （一名：《初出祁山》；一名：《取三郡》）,keyword
pdf_01000000__01001013___2ec29dd171,天水关,英雄相惜,1,赵云与姜维在战场相遇，赵云自报家门，姜维不惧并扬言擒拿赵云，二人交锋后姜维获胜，准备回营报功。,llm
