doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,text,target,target_char_id,emotion_tag,speech_act,entity_tags,action_tags,is_key_line,emotion_derived_by,target_derived_by,llm_confidence,raw_line
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000001,pdf_01000000__01001014___552f523069__scene__000,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,0,序幕/前置内容,1,narration,narration,,,,# 《七星灯》 （一名：《孔明求寿》）,,,,,,,1,,,,# 《七星灯》 （一名：《孔明求寿》）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000019,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,19,stage_direction,stage_direction,,,诸葛亮上。,,,,,,,上,0,,,,（诸葛亮上。）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000021,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,21,dialogue,dialogue,诸葛亮,pdf_01000000__01001014___552f523069__char__b3429857e0,念,,,,,,,,0,,,,诸葛亮 （念）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000023,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,23,stage_direction,stage_direction,,,旗牌上。,,,,,,,上,0,,,,（旗牌上。）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000025,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,25,dialogue,dialogue,旗牌,pdf_01000000__01001014___552f523069__char__b61d1ee3c7,念,,,,,,,,0,,,,旗牌 （念）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000027,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,27,stage_direction,stage_direction,,,白,,,,,,,念白,0,,,,（白）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000029,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,29,dialogue,dialogue,诸葛亮,pdf_01000000__01001014___552f523069__char__b3429857e0,白,,,,,,,念白,0,,,,诸葛亮 （白）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000031,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,31,dialogue,dialogue,旗牌,pdf_01000000__01001014___552f523069__char__b61d1ee3c7,白,,,,,,,念白,0,,,,旗牌 （白）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000033,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,33,dialogue,dialogue,诸葛亮,pdf_01000000__01001014___552f523069__char__b3429857e0,白,,,,,,,念白,0,,,,诸葛亮 （白）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000035,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,35,dialogue,dialogue,旗牌,pdf_01000000__01001014___552f523069__char__b61d1ee3c7,白,,,,,,,念白,0,,,,旗牌 （白）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000037,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,37,dialogue,dialogue,诸葛亮,pdf_01000000__01001014___552f523069__char__b3429857e0,白,,,,,,,念白,0,,,,诸葛亮 （白）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000039,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,39,dialogue,dialogue,旗牌,pdf_01000000__01001014___552f523069__char__b61d1ee3c7,白,,,,,,,念白,0,,,,旗牌 （白）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000041,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,41,dialogue,dialogue,诸葛亮,pdf_01000000__01001014___552f523069__char__b3429857e0,白,,,,,,,念白,0,,,,诸葛亮 （白）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000043,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,43,dialogue,dialogue,旗牌,pdf_01000000__01001014___552f523069__char__b61d1ee3c7,白,,,,,,,念白,0,,,,旗牌 （白）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000045,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,45,dialogue,dialogue,诸葛亮,pdf_01000000__01001014___552f523069__char__b3429857e0,白,,,,,,,念白,0,,,,诸葛亮 （白）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000047,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,47,dialogue,dialogue,旗牌,pdf_01000000__01001014___552f523069__char__b61d1ee3c7,白,,,,,,,念白,0,,,,旗牌 （白）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000049,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,49,dialogue,dialogue,诸葛亮,pdf_01000000__01001014___552f523069__char__b3429857e0,白,,,,,,,念白,0,,,,诸葛亮 （白）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000051,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,51,dialogue,dialogue,旗牌,pdf_01000000__01001014___552f523069__char__b61d1ee3c7,白,,,,,,,念白,0,,,,旗牌 （白）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000053,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,53,dialogue,dialogue,诸葛亮,pdf_01000000__01001014___552f523069__char__b3429857e0,白,,,,,,,念白,0,,,,诸葛亮 （白）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000055,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,55,dialogue,dialogue,旗牌,pdf_01000000__01001014___552f523069__char__b61d1ee3c7,白,,,,,,,念白,0,,,,旗牌 （白）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000057,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,57,dialogue,dialogue,诸葛亮,pdf_01000000__01001014___552f523069__char__b3429857e0,白,,,,,,,念白,0,,,,诸葛亮 （白）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000059,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,59,dialogue,dialogue,旗牌,pdf_01000000__01001014___552f523069__char__b61d1ee3c7,白,,,,,,,念白,0,,,,旗牌 （白）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000061,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,61,stage_direction,stage_direction,,,旗牌下。,,,,,,,下,0,,,,（旗牌下。）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000063,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,63,dialogue,dialogue,诸葛亮,pdf_01000000__01001014___552f523069__char__b3429857e0,白,,,,,,,念白,0,,,,诸葛亮 （白）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000065,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,65,stage_direction,stage_direction,,,二黄慢板,,,,,,,,0,,,,（二黄慢板）
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000067,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,67,narration,narration,,,,安排脂粉计，耻笑司马懿。,司马懿,pdf_01000000__01001014___552f523069__char__068a1b5735,得意,,司马懿,笑,0,rule,rule,,安排脂粉计，耻笑司马懿。
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000069,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,69,narration,narration,,,,忙将机密事，报与丞相知。,司马懿,pdf_01000000__01001014___552f523069__char__068a1b5735,,,,报,0,,rule,,忙将机密事，报与丞相知。
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000071,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,71,narration,narration,,,,参见丞相。,司马懿,pdf_01000000__01001014___552f523069__char__068a1b5735,,,,,0,,rule,,参见丞相。
pdf_01000000__01001014___552f523069,七星灯,pdf_01000000__01001014___552f523069__line__000073,pdf_01000000__01001014___552f523069__scene__001,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,73,narration,narration,,,,你回来了？,诸葛亮,pdf_01000000__01001014___552f523069__char__b3429857e0,,,,来,0,,rule,,你回来了？
