doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01001014___552f523069,七星灯,2,【第二场】,司马懿,姜维,对话/应答,对话,1,"若见那灵官走定是孔明。四更时分造战饭,五更一打要交兵。此一番一个个用力战胜,回营中奏皇封都是功臣。",pdf_01000000__01001014___552f523069__line__000139,adjacency,
pdf_01000000__01001014___552f523069,七星灯,2,【第二场】,姜维,诸葛亮,对话/应答,对话,9,有请师父!,pdf_01000000__01001014___552f523069__line__000139,adjacency,
pdf_01000000__01001014___552f523069,七星灯,2,【第二场】,诸葛亮,魏延,对话/应答,对话,3,哈哈哈......,pdf_01000000__01001014___552f523069__line__000139,adjacency,
pdf_01000000__01001014___552f523069,七星灯,2,【第二场】,魏延,诸葛亮,对话/应答,对话,4,"司马懿父子来踹营,报与丞相得知情。",pdf_01000000__01001014___552f523069__line__000139,adjacency,
pdf_01000000__01001014___552f523069,七星灯,2,【第二场】,诸葛亮,姜维,对话/应答,对话,11,"想是我大限有一定,魏延打熄本命灯。将宝剑插在尘埃地,",pdf_01000000__01001014___552f523069__line__000139,adjacency,
pdf_01000000__01001014___552f523069,七星灯,2,【第二场】,姜维,魏延,对话/应答,对话,1,"我师父拜斗六天整,看看拜起本命星。为何将灯来打熄?想是贼子起反心!手执宝剑将你砍,",pdf_01000000__01001014___552f523069__line__000139,adjacency,
pdf_01000000__01001014___552f523069,七星灯,2,【第二场】,姜维,李福,对话/应答,对话,1,有请李大人。,pdf_01000000__01001014___552f523069__line__000139,adjacency,
pdf_01000000__01001014___552f523069,七星灯,2,【第二场】,李福,诸葛亮,对话/应答,对话,9,"忽听丞相唤一声,急忙进帐问分明。",pdf_01000000__01001014___552f523069__line__000139,adjacency,
pdf_01000000__01001014___552f523069,七星灯,2,【第二场】,诸葛亮,李福,对话/应答,对话,8,罢了。,pdf_01000000__01001014___552f523069__line__000139,adjacency,
pdf_01000000__01001014___552f523069,七星灯,2,【第二场】,姜维,王平,对话/应答,对话,1,马岱、杨仪、王平进帐!,pdf_01000000__01001014___552f523069__line__000141,adjacency,
pdf_01000000__01001014___552f523069,七星灯,2,【第二场】,王平,诸葛亮,对话/应答,对话,4,丞相醒来!,pdf_01000000__01001014___552f523069__line__000141,adjacency,
pdf_01000000__01001014___552f523069,七星灯,2,【第二场】,诸葛亮,王平,对话/应答,对话,3,"指望霸业归炎汉,谁知半路不周全。猛然睁开昏花眼,又只见众将官站立面前。",pdf_01000000__01001014___552f523069__line__000141,adjacency,
pdf_01000000__01001014___552f523069,七星灯,2,【第二场】,诸葛亮,杨仪,对话/应答,对话,2,杨仪!,pdf_01000000__01001014___552f523069__line__000141,adjacency,
pdf_01000000__01001014___552f523069,七星灯,2,【第二场】,杨仪,诸葛亮,对话/应答,对话,2,在。,pdf_01000000__01001014___552f523069__line__000141,adjacency,
pdf_01000000__01001014___552f523069,七星灯,2,【第二场】,诸葛亮,马岱,对话/应答,对话,2,马岱!,pdf_01000000__01001014___552f523069__line__000141,adjacency,
pdf_01000000__01001014___552f523069,七星灯,2,【第二场】,马岱,诸葛亮,对话/应答,对话,2,在。,pdf_01000000__01001014___552f523069__line__000141,adjacency,
