doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01001014___552f523069,七星灯,诸葛亮,姜维,命令,10,命令；对话；提及,"姜维与我快些请,后帐快请李大人。",llm_refined,0.9
pdf_01000000__01001014___552f523069,七星灯,诸葛亮,李福,命令,8,命令；对话,诸葛亮托付遗表，命李福转奏后主,llm_refined,0.9
pdf_01000000__01001014___552f523069,七星灯,诸葛亮,魏延,评价,7,劝阻；对话；评价,诸葛亮预言魏延必反，并安排杀他,llm_refined,0.9
pdf_01000000__01001014___552f523069,七星灯,姜维,诸葛亮,对话,6,对话,有请师父!,llm_refined,0.8
pdf_01000000__01001014___552f523069,七星灯,李福,诸葛亮,对话,6,对话,"忽听丞相唤一声,急忙进帐问分明。",llm_refined,0.8
pdf_01000000__01001014___552f523069,七星灯,司马懿,姜维,对抗,5,对抗；对话,司马懿带兵抢尸，姜维迎战,llm_refined,0.9
pdf_01000000__01001014___552f523069,七星灯,诸葛亮,旗牌,命令,5,命令；斥责,诸葛亮派旗牌送脂粉裙钗给司马懿,llm_refined,0.8
pdf_01000000__01001014___552f523069,七星灯,诸葛亮,杨仪,命令,5,命令；对话,诸葛亮将军师牌印及锦囊交予杨仪,llm_refined,0.8
pdf_01000000__01001014___552f523069,七星灯,诸葛亮,王平,命令,5,命令；对话,诸葛亮给王平书信，嘱其死后观看,llm_refined,0.8
pdf_01000000__01001014___552f523069,七星灯,诸葛亮,马岱,命令,5,命令；对话,诸葛亮密授马岱计策，以对付魏延,llm_refined,0.8
pdf_01000000__01001014___552f523069,七星灯,姜维,魏延,对抗,4,对抗；对话,姜维因魏延打熄本命灯，拔剑欲砍魏延,llm_refined,0.9
pdf_01000000__01001014___552f523069,七星灯,旗牌,诸葛亮,汇报,4,汇报,旗牌回营向诸葛亮报告司马懿的反应,llm_refined,0.8
pdf_01000000__01001014___552f523069,七星灯,王平,诸葛亮,对话,4,对话,丞相醒来!,llm_refined,0.7
pdf_01000000__01001014___552f523069,七星灯,诸葛亮,司马懿,评价,4,同场共现；评价,诸葛亮感叹‘司马懿可算得将中魁元’,llm_refined,0.8
pdf_01000000__01001014___552f523069,七星灯,魏延,诸葛亮,汇报,4,对话,"司马懿父子来踹营,报与丞相得知情。",llm_refined,0.7
pdf_01000000__01001014___552f523069,七星灯,姜维,司马懿,试探,3,试探,姜维假称师父用兵拿你,llm_refined,0.7
pdf_01000000__01001014___552f523069,七星灯,司马懿,众将,命令,2,命令,就此收转人马,llm_refined,0.7
pdf_01000000__01001014___552f523069,七星灯,司马懿,诸葛亮,提及,2,提及,司马懿言孔明已死,llm_refined,0.7
pdf_01000000__01001014___552f523069,七星灯,姜维,李福,对话,2,对话,有请李大人。,llm_refined,0.6
pdf_01000000__01001014___552f523069,七星灯,姜维,王平,命令,2,对话,马岱、杨仪、王平进帐!,llm_refined,0.7
pdf_01000000__01001014___552f523069,七星灯,报子,司马懿,汇报,2,汇报,报知元帅孔明已死,llm_refined,0.7
pdf_01000000__01001014___552f523069,七星灯,杨仪,诸葛亮,对话,2,对话,在。,llm_refined,0.6
pdf_01000000__01001014___552f523069,七星灯,马岱,诸葛亮,对话,2,对话,在。,llm_refined,0.6
pdf_01000000__01001014___552f523069,七星灯,魏延,司马懿,汇报,2,汇报,"司马懿父子来踹营,报与丞相得知情。",llm_refined,0.7
pdf_01000000__01001014___552f523069,七星灯,司马懿,龙套,同场共现,1,同场共现,（司马懿上，司马师、司马昭、众将、龙套同上。）,llm_refined,0.5
