doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01001017___e46f29227d,清官册,1,【第一场】,寇准,金牌官,对话/应答,对话,2,做清官民之父母，积阴功留与儿孙。（念） 读诗书智广才高，中状元青史名表。三杯御酒加封号，被谗臣一本参掉。（白） 下官寇准，蒙圣恩得中一甲一名，又被权相参掉。是我,pdf_01000000__01001017___e46f29227d__line__000031,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,1,【第一场】,金牌官,四青袍,对话/应答,对话,1,圣旨下。,pdf_01000000__01001017___e46f29227d__line__000033；pdf_01000000__01001017___e46f29227d__line__000035,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,1,【第一场】,四青袍,寇准,对话/应答,对话,1,圣旨下。,pdf_01000000__01001017___e46f29227d__line__000033；pdf_01000000__01001017___e46f29227d__line__000035,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,1,【第一场】,金牌官,寇准,对话/应答,对话,1,金牌下，寇准听者：圣上有旨调寇准连夜进京，不得有误。,pdf_01000000__01001017___e46f29227d__line__000041,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,1,【第一场】,寇准,家院,对话/应答,对话,1,有请夫人。,pdf_01000000__01001017___e46f29227d__line__000053；pdf_01000000__01001017___e46f29227d__line__000055,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,1,【第一场】,家院,夫人,对话/应答,对话,1,有请夫人。,pdf_01000000__01001017___e46f29227d__line__000053；pdf_01000000__01001017___e46f29227d__line__000055,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,1,【第一场】,夫人,寇准,对话/应答,对话,5,夫受皇家禄，妻沾雨露恩。,pdf_01000000__01001017___e46f29227d__line__000059,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,1,【第一场】,寇准,夫人,对话/应答,对话,4,吓，夫人请坐。,pdf_01000000__01001017___e46f29227d__line__000063,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,1,【第一场】,金牌官,寇准,提及,提及,1,金牌下，寇准听者：圣上有旨调寇准连夜进京，不得有误。,pdf_01000000__01001017___e46f29227d__line__000041,mention,
pdf_01000000__01001017___e46f29227d,清官册,1,【第一场】,寇准,夫人,命令/请求,命令,2,有请夫人。,pdf_01000000__01001017___e46f29227d__line__000053；pdf_01000000__01001017___e46f29227d__line__000055,mention,
pdf_01000000__01001017___e46f29227d,清官册,1,【第一场】,家院,夫人,命令/请求,命令,1,有请夫人。,pdf_01000000__01001017___e46f29227d__line__000053；pdf_01000000__01001017___e46f29227d__line__000055,mention,
pdf_01000000__01001017___e46f29227d,清官册,1,【第一场】,寇准,夫人,提及,提及,1,有劳夫人。看衣衾更换。,pdf_01000000__01001017___e46f29227d__line__000079,mention,
pdf_01000000__01001017___e46f29227d,清官册,2,【第二场】,寇准,马牌子,对话/应答,对话,1,"马蹄踏遍路旁草,日落西山小桃红。",pdf_01000000__01001017___e46f29227d__line__000085,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,2,【第二场】,马牌子,驿丞官,对话/应答,对话,5,"咳,这里有人么?",pdf_01000000__01001017___e46f29227d__line__000085,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,2,【第二场】,驿丞官,马牌子,对话/应答,对话,4,什么人吵?,pdf_01000000__01001017___e46f29227d__line__000085,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,2,【第二场】,驿丞官,寇准,对话/应答,对话,3,滚下去吧!参见大老爷。,pdf_01000000__01001017___e46f29227d__line__000085,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,2,【第二场】,寇准,驿丞官,对话/应答,对话,2,罢了。,pdf_01000000__01001017___e46f29227d__line__000085,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,2,【第二场】,寇准,太监,对话/应答,对话,2,退下了。,pdf_01000000__01001017___e46f29227d__line__000085,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,2,【第二场】,太监,寇准,对话/应答,对话,2,"金殿赐圣旨,",pdf_01000000__01001017___e46f29227d__line__000091,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,2,【第二场】,寇准,赵德芳,对话/应答,对话,4,"参见八千岁。臣寇准见驾,念臣有圣旨在身,不能全礼,贤爷千岁!",pdf_01000000__01001017___e46f29227d__line__000091,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,2,【第二场】,赵德芳,寇准,对话/应答,对话,4,寇卿回京来了?我叔皇调卿进京所为何事?,pdf_01000000__01001017___e46f29227d__line__000091,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,2,【第二场】,驿丞官,马牌子,提及,提及,2,"哦,马牌子,认识我么?",pdf_01000000__01001017___e46f29227d__line__000085,mention,
pdf_01000000__01001017___e46f29227d,清官册,3,【第三场】,太监,寇准,对话/应答,对话,2,"一封丹草诏,飞下九重霄。",pdf_01000000__01001017___e46f29227d__line__000109,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,3,【第三场】,寇准,太监,对话/应答,对话,1,王法不容情!,pdf_01000000__01001017___e46f29227d__line__000145,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,3,【第三场】,寇准,赵德芳,对话/应答,对话,1,呔!这是什么地方!,pdf_01000000__01001017___e46f29227d__line__000149,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,3,【第三场】,赵德芳,寇准,提及,提及,1,"内侍带路后宫进,等候寇准奏分明。",pdf_01000000__01001017___e46f29227d__line__000149,mention,
pdf_01000000__01001017___e46f29227d,清官册,4,【第五场】,寇准,四青袍,对话/应答,对话,3,"来,潘洪到此,叫他报门而进。",pdf_01000000__01001017___e46f29227d__line__000153,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,4,【第五场】,四青袍,潘洪,对话/应答,对话,3,呵!,pdf_01000000__01001017___e46f29227d__line__000153,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,4,【第五场】,潘洪,四青袍,对话/应答,对话,1,"从前做事差,如今后悔迟。",pdf_01000000__01001017___e46f29227d__line__000153,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,4,【第五场】,潘洪,马牌子,对话/应答,对话,12,"小小御史衙门,倒有些威风杀气!",pdf_01000000__01001017___e46f29227d__line__000153,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,4,【第五场】,马牌子,潘洪,对话/应答,对话,11,"衙门虽小,威风是有的。你来了么?",pdf_01000000__01001017___e46f29227d__line__000153,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,4,【第五场】,潘洪,寇准,对话/应答,对话,11,"吾道是谁,原来是小寇儿。请了!",pdf_01000000__01001017___e46f29227d__line__000153,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,4,【第五场】,寇准,潘洪,对话/应答,对话,10,"潘洪,见了本御史为何不跪?",pdf_01000000__01001017___e46f29227d__line__000153,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,4,【第五场】,四青袍,寇准,对话/应答,对话,1,"吓,昏去了!",pdf_01000000__01001017___e46f29227d__line__000157,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,4,【第五场】,寇准,马牌子,对话/应答,对话,2,呀呀呸!,pdf_01000000__01001017___e46f29227d__line__000157,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,4,【第五场】,马牌子,寇准,对话/应答,对话,3,启老爷:太师厥去了!,pdf_01000000__01001017___e46f29227d__line__000157,adjacency,
pdf_01000000__01001017___e46f29227d,清官册,4,【第五场】,寇准,潘洪,汇报,汇报,1,"来,潘洪到此,叫他报门而进。",pdf_01000000__01001017___e46f29227d__line__000153,mention,
pdf_01000000__01001017___e46f29227d,清官册,4,【第五场】,寇准,潘洪,问答,对话,2,"潘洪,见了本御史为何不跪?",pdf_01000000__01001017___e46f29227d__line__000153,mention,
pdf_01000000__01001017___e46f29227d,清官册,4,【第五场】,寇准,潘洪,提及,提及,2,"潘洪:圣旨在上面,本御史在此,快将谋害杨家,私通胡儿,一一讲来!",pdf_01000000__01001017___e46f29227d__line__000153,mention,
pdf_01000000__01001017___e46f29227d,清官册,4,【第五场】,寇准,潘洪,命令/请求,命令,1,"我把你潘洪这大胆的奸贼!想你身为当朝宰相,一人之下,万人之上,何等不好?不该宠信你子潘豹在天齐庙摆下百日擂台,指望将天下的英雄打尽,就要扬名天下。也是杨老将军家",pdf_01000000__01001017___e46f29227d__line__000153,mention,
pdf_01000000__01001017___e46f29227d,清官册,1,【第一场】,四青袍,家院,同场共现,同场共现,1,（四青袍同下，家院上。）,,stage_direction,
pdf_01000000__01001017___e46f29227d,清官册,3,【第三场】,马牌子,寇准,同场共现,同场共现,1,（四青袍、马牌子、寇准同上。）,,stage_direction,
pdf_01000000__01001017___e46f29227d,清官册,1,【第一场】,金牌官,寇准,命令,命令,1,金牌下，寇准听者：圣上有旨调寇准连夜进京,pdf_01000000__01001017___e46f29227d__line__000041,llm,
pdf_01000000__01001017___e46f29227d,清官册,1,【第一场】,夫人,寇准,协助,协助,1,妾身备得有酒与老爷饯行,pdf_01000000__01001017___e46f29227d__line__000077,llm,
pdf_01000000__01001017___e46f29227d,清官册,2,【第二场】,驿丞官,马牌子,命令,命令,1,驿丞官呵斥马牌子并令其退下,,llm,
pdf_01000000__01001017___e46f29227d,清官册,2,【第二场】,寇准,驿丞官,命令,命令,1,寇准令驿丞官取明灯后退下,,llm,
pdf_01000000__01001017___e46f29227d,清官册,2,【第二场】,赵德芳,寇准,警告,警告,2,赵德芳告知前任御史被其金锏打死，暗示审案风险,,llm,
pdf_01000000__01001017___e46f29227d,清官册,2,【第二场】,寇准,赵德芳,试探,试探,1,寇准欲辞旨，被赵德芳阻止,,llm,
pdf_01000000__01001017___e46f29227d,清官册,3,【第三场】,寇准,太监,斥责,斥责,1,寇准白：呔！这是什么地方！,,llm,
pdf_01000000__01001017___e46f29227d,清官册,3,【第三场】,赵德芳,寇准,等待,等待,1,赵德芳唱：等候寇准奏分明。,,llm,
pdf_01000000__01001017___e46f29227d,清官册,4,【第五场】,寇准,潘洪,对抗,对抗,5,寇准历数潘洪罪状并下令用刑,,llm,
pdf_01000000__01001017___e46f29227d,清官册,4,【第五场】,马牌子,潘洪,对抗,对抗,3,马牌子纠正潘洪称谓并嘲讽其受刑,,llm,
pdf_01000000__01001017___e46f29227d,清官册,4,【第五场】,潘洪,寇准,对抗,对抗,4,潘洪称寇准为小寇儿并威胁报复,,llm,
