doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01001017___e46f29227d,清官册,寇准,潘洪,命令,10,命令；对抗；对话；提及；汇报,"来,潘洪到此,叫他报门而进。",llm_refined,0.95
pdf_01000000__01001017___e46f29227d,清官册,潘洪,寇准,对抗,8,对抗；对话,潘洪称寇准为小寇儿并威胁报复,llm_refined,0.9
pdf_01000000__01001017___e46f29227d,清官册,马牌子,潘洪,对抗,7,对抗；对话,马牌子纠正潘洪称谓并嘲讽其受刑,llm_refined,0.85
pdf_01000000__01001017___e46f29227d,清官册,潘洪,马牌子,对话,6,对话,"小小御史衙门,倒有些威风杀气!",llm_refined,0.8
pdf_01000000__01001017___e46f29227d,清官册,寇准,夫人,命令,5,命令；对话；提及,有请夫人。,llm_refined,0.8
pdf_01000000__01001017___e46f29227d,清官册,赵德芳,寇准,提及,5,对话；提及；等待；警告,"内侍带路后宫进,等候寇准奏分明。",llm_refined,0.75
pdf_01000000__01001017___e46f29227d,清官册,驿丞官,马牌子,命令,5,命令；对话；提及,驿丞官呵斥马牌子并令其退下,llm_refined,0.8
pdf_01000000__01001017___e46f29227d,清官册,夫人,寇准,协助,4,协助；对话,妾身备得有酒与老爷饯行,llm_refined,0.85
pdf_01000000__01001017___e46f29227d,清官册,寇准,赵德芳,对话,4,对话；试探,"参见八千岁。臣寇准见驾,念臣有圣旨在身,不能全礼,贤爷千岁!",llm_refined,0.8
pdf_01000000__01001017___e46f29227d,清官册,太监,寇准,对话,3,对话,"金殿赐圣旨,",llm_refined,0.7
pdf_01000000__01001017___e46f29227d,清官册,寇准,太监,命令,3,对话；斥责,退下了。,llm_refined,0.75
pdf_01000000__01001017___e46f29227d,清官册,马牌子,寇准,同场共现,3,同场共现；对话,（四青袍、马牌子、寇准同上。）,llm_refined,0.65
pdf_01000000__01001017___e46f29227d,清官册,马牌子,驿丞官,对话,3,对话,"咳,这里有人么?",llm_refined,0.7
pdf_01000000__01001017___e46f29227d,清官册,四青袍,潘洪,对话,2,对话,呵!,llm_refined,0.6
pdf_01000000__01001017___e46f29227d,清官册,寇准,四青袍,命令,2,对话,"来,潘洪到此,叫他报门而进。",llm_refined,0.7
pdf_01000000__01001017___e46f29227d,清官册,寇准,马牌子,对话,2,对话,"马蹄踏遍路旁草,日落西山小桃红。",llm_refined,0.6
pdf_01000000__01001017___e46f29227d,清官册,寇准,驿丞官,命令,2,命令；对话,寇准令驿丞官取明灯后退下,llm_refined,0.7
pdf_01000000__01001017___e46f29227d,清官册,金牌官,寇准,命令,2,命令；对话；提及,金牌下，寇准听者：圣上有旨调寇准连夜进京,llm_refined,0.75
pdf_01000000__01001017___e46f29227d,清官册,驿丞官,寇准,对话,2,对话,滚下去吧!参见大老爷。,llm_refined,0.6
pdf_01000000__01001017___e46f29227d,清官册,四青袍,家院,同场共现,1,同场共现,（四青袍同下，家院上。）,llm_refined,0.5
pdf_01000000__01001017___e46f29227d,清官册,四青袍,寇准,对话,1,对话,圣旨下。,llm_refined,0.5
pdf_01000000__01001017___e46f29227d,清官册,家院,夫人,命令,1,命令；对话,有请夫人。,llm_refined,0.6
pdf_01000000__01001017___e46f29227d,清官册,寇准,家院,对话,1,对话,有请夫人。,llm_refined,0.5
pdf_01000000__01001017___e46f29227d,清官册,寇准,金牌官,对话,1,对话,做清官民之父母，积阴功留与儿孙。（念） 读诗书智广才高，中状元青史名表。三杯御酒加封号，被谗臣一本参掉。（白） 下官寇准，蒙圣恩得中一甲一名，又被权相参掉。是我,llm_refined,0.5
pdf_01000000__01001017___e46f29227d,清官册,潘洪,四青袍,对话,1,对话,"从前做事差,如今后悔迟。",llm_refined,0.5
pdf_01000000__01001017___e46f29227d,清官册,金牌官,四青袍,对话,1,对话,圣旨下。,llm_refined,0.5
