doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01001017___e46f29227d,清官册,1,【第一场】,【第一场】,仕途无常,仕途无常,1,四青袍；夫人；家院；寇准；金牌官,寇准在霞榖县任上突接金牌，被调连夜进京，不知吉凶，夫人设宴饯行。,llm
pdf_01000000__01001017___e46f29227d,清官册,1,【第一场】,【第一场】,忠君受命,忠义,1,四青袍；夫人；家院；寇准；金牌官,寇准在霞榖县任上突接金牌，被调连夜进京，不知吉凶，夫人设宴饯行。,llm
pdf_01000000__01001017___e46f29227d,清官册,2,【第二场】,【第二场】,权力威胁,权力威胁,1,太监；寇准；赵德芳；马牌子；驿丞官,寇准奉旨进京审潘杨案，驿丞官刁难马牌子后接待寇准。赵德芳警告寇准前任御史因审案不明被其打死，寇准欲辞旨被阻，赵德芳暗示可求助。,llm
pdf_01000000__01001017___e46f29227d,清官册,2,【第二场】,【第二场】,审案风险,公案,1,太监；寇准；赵德芳；马牌子；驿丞官,寇准奉旨进京审潘杨案，驿丞官刁难马牌子后接待寇准。赵德芳警告寇准前任御史因审案不明被其打死，寇准欲辞旨被阻，赵德芳暗示可求助。,llm
pdf_01000000__01001017___e46f29227d,清官册,2,【第二场】,【第二场】,忠奸斗争,忠义,1,太监；寇准；赵德芳；马牌子；驿丞官,寇准奉旨进京审潘杨案，驿丞官刁难马牌子后接待寇准。赵德芳警告寇准前任御史因审案不明被其打死，寇准欲辞旨被阻，赵德芳暗示可求助。,llm
pdf_01000000__01001017___e46f29227d,清官册,3,【第三场】,【第三场】,王法威严,王法威严,1,太监；寇准；赵德芳,太监宣读诏书后离去，寇准因太监失礼而怒斥，赵德芳则在内侍引导下准备入后宫，等待寇准奏报。,llm
pdf_01000000__01001017___e46f29227d,清官册,3,【第三场】,【第三场】,君臣秩序,家国,1,太监；寇准；赵德芳,太监宣读诏书后离去，寇准因太监失礼而怒斥，赵德芳则在内侍引导下准备入后宫，等待寇准奏报。,llm
pdf_01000000__01001017___e46f29227d,清官册,4,【第五场】,【第五场】,忠奸对立,忠义,1,四青袍；寇准；潘洪；马牌子,寇准升堂审问潘洪，历数其谋害杨家、私通胡儿之罪，潘洪拒不招认，寇准用刑后潘洪昏厥，寇准无奈决定前往南清宫与八千岁商议。,llm
pdf_01000000__01001017___e46f29227d,清官册,4,【第五场】,【第五场】,权力斗争,权力斗争,1,四青袍；寇准；潘洪；马牌子,寇准升堂审问潘洪，历数其谋害杨家、私通胡儿之罪，潘洪拒不招认，寇准用刑后潘洪昏厥，寇准无奈决定前往南清宫与八千岁商议。,llm
pdf_01000000__01001017___e46f29227d,清官册,0,序幕/前置内容,序幕/前置内容,家国,家国,1,,# 《清官册》；# （一名：《升官图》；一名：《提寇阴审》）,keyword
pdf_01000000__01001017___e46f29227d,清官册,0,序幕/前置内容,序幕/前置内容,公案,公案,1,,# 《清官册》；# （一名：《升官图》；一名：《提寇阴审》）,keyword
