doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,text,target,target_char_id,emotion_tag,speech_act,entity_tags,action_tags,is_key_line,emotion_derived_by,target_derived_by,llm_confidence,raw_line
pdf_01000000__01001019___9ae2e889df,柴桑口,pdf_01000000__01001019___9ae2e889df__line__000001,pdf_01000000__01001019___9ae2e889df__scene__000,01001019_柴桑口.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001019_柴桑口.pdf,01000000/01001019_柴桑口.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,0,序幕/前置内容,1,narration,narration,,,,# 《柴桑口》（一名：《孔明吊丧》）,,,,,,,1,,,,# 《柴桑口》（一名：《孔明吊丧》）
pdf_01000000__01001019___9ae2e889df,柴桑口,pdf_01000000__01001019___9ae2e889df__line__000023,pdf_01000000__01001019___9ae2e889df__scene__001,01001019_柴桑口.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001019_柴桑口.pdf,01000000/01001019_柴桑口.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,23,stage_direction,stage_direction,,,四龙套同上，鲁肃上。,,,,,,,上,0,,,,（四龙套同上，鲁肃上。）
pdf_01000000__01001019___9ae2e889df,柴桑口,pdf_01000000__01001019___9ae2e889df__line__000025,pdf_01000000__01001019___9ae2e889df__scene__001,01001019_柴桑口.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001019_柴桑口.pdf,01000000/01001019_柴桑口.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,25,dialogue,dialogue,鲁肃,pdf_01000000__01001019___9ae2e889df__char__c9e08c542c,引子,"身挂帅印,统雄兵,扫荡烟尘。",,,平,陈述,,,0,llm,,0.8,"鲁肃（引子）身挂帅印,统雄兵,扫荡烟尘。"
pdf_01000000__01001019___9ae2e889df,柴桑口,pdf_01000000__01001019___9ae2e889df__line__000027,pdf_01000000__01001019___9ae2e889df__scene__001,01001019_柴桑口.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001019_柴桑口.pdf,01000000/01001019_柴桑口.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,27,stage_direction,stage_direction,,,四吴将同上。,,,,,,,上,0,,,,（四吴将同上。）
pdf_01000000__01001019___9ae2e889df,柴桑口,pdf_01000000__01001019___9ae2e889df__line__000029,pdf_01000000__01001019___9ae2e889df__scene__001,01001019_柴桑口.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001019_柴桑口.pdf,01000000/01001019_柴桑口.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,29,dialogue,dialogue,四吴将,pdf_01000000__01001019___9ae2e889df__char__a40c4a6293,同白,启禀都督:孔明过江吊祭。,鲁肃,pdf_01000000__01001019___9ae2e889df__char__c9e08c542c,,,,禀；念白,1,,rule,,四吴将（同白）启禀都督:孔明过江吊祭。
pdf_01000000__01001019___9ae2e889df,柴桑口,pdf_01000000__01001019___9ae2e889df__line__000029,pdf_01000000__01001019___9ae2e889df__scene__001,01001019_柴桑口.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001019_柴桑口.pdf,01000000/01001019_柴桑口.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,29,dialogue,dialogue,鲁肃,pdf_01000000__01001019___9ae2e889df__char__c9e08c542c,白,"哦,孔明过江吊祭。",四吴将,pdf_01000000__01001019___9ae2e889df__char__a40c4a6293,,,,念白,0,,rule,,"鲁肃（白）哦,孔明过江吊祭。"
pdf_01000000__01001019___9ae2e889df,柴桑口,pdf_01000000__01001019___9ae2e889df__line__000029,pdf_01000000__01001019___9ae2e889df__scene__001,01001019_柴桑口.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001019_柴桑口.pdf,01000000/01001019_柴桑口.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,29,dialogue,dialogue,四吴将,pdf_01000000__01001019___9ae2e889df__char__a40c4a6293,同白,"何不将他拿下,与都督报仇。",鲁肃,pdf_01000000__01001019___9ae2e889df__char__c9e08c542c,,,,下；报；拿；念白,0,,rule,,"四吴将（同白）何不将他拿下,与都督报仇。"
pdf_01000000__01001019___9ae2e889df,柴桑口,pdf_01000000__01001019___9ae2e889df__line__000029,pdf_01000000__01001019___9ae2e889df__scene__001,01001019_柴桑口.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001019_柴桑口.pdf,01000000/01001019_柴桑口.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,29,dialogue,dialogue,鲁肃,pdf_01000000__01001019___9ae2e889df__char__c9e08c542c,白,"且慢。想那孔明过江,必有能将跟随,你等看我眼色行事。两厢伺候。退下。",鲁肃,pdf_01000000__01001019___9ae2e889df__char__c9e08c542c,怒,建议,,下；退；看；念白,1,llm,llm,0.85,"鲁肃（白）且慢。想那孔明过江,必有能将跟随,你等看我眼色行事。两厢伺候。退下。"
pdf_01000000__01001019___9ae2e889df,柴桑口,pdf_01000000__01001019___9ae2e889df__line__000031,pdf_01000000__01001019___9ae2e889df__scene__001,01001019_柴桑口.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001019_柴桑口.pdf,01000000/01001019_柴桑口.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,31,stage_direction,stage_direction,,,四吴将同下。,,,,,,,下,0,,,,（四吴将同下。）
pdf_01000000__01001019___9ae2e889df,柴桑口,pdf_01000000__01001019___9ae2e889df__line__000033,pdf_01000000__01001019___9ae2e889df__scene__001,01001019_柴桑口.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001019_柴桑口.pdf,01000000/01001019_柴桑口.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,33,narration,narration,,,,鲁肃(白) 有请诸葛先生。 (诸葛亮、赵云同上。),鲁肃,pdf_01000000__01001019___9ae2e889df__char__c9e08c542c,,,诸葛亮；鲁肃,上；请,1,,rule,,<table><tr><td>鲁肃(白)</td><td>有请诸葛先生。</td></tr><tr><td>(诸葛亮、赵云同上。)</td><td></td></tr></table>
