doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01001019___9ae2e889df,柴桑口,1,【第一场】,鲁肃,四吴将,对话/应答,对话,2,"身挂帅印,统雄兵,扫荡烟尘。",pdf_01000000__01001019___9ae2e889df__line__000025,adjacency,
pdf_01000000__01001019___9ae2e889df,柴桑口,1,【第一场】,四吴将,鲁肃,对话/应答,对话,2,启禀都督:孔明过江吊祭。,pdf_01000000__01001019___9ae2e889df__line__000029,adjacency,
pdf_01000000__01001019___9ae2e889df,柴桑口,1,【第一场】,鲁肃,诸葛亮,对话/应答,对话,6,先生。,pdf_01000000__01001019___9ae2e889df__line__000035,adjacency,
pdf_01000000__01001019___9ae2e889df,柴桑口,1,【第一场】,诸葛亮,鲁肃,对话/应答,对话,5,大夫。,pdf_01000000__01001019___9ae2e889df__line__000037,adjacency,
pdf_01000000__01001019___9ae2e889df,柴桑口,2,【第二场】,诸葛亮,赵云,对话/应答,对话,1,"见陵寝不由人泪如雨降,想遗容倒叫我寸断肝肠。",pdf_01000000__01001019___9ae2e889df__line__000063,adjacency,
pdf_01000000__01001019___9ae2e889df,柴桑口,2,【第二场】,赵云,诸葛亮,对话/应答,对话,1,"“呜呼公瑾,不幸夭亡;修短由天,人岂不伤。我心实痛,酹酒一觞;君其有灵,享我蒸尝。从此天下,与谁相商。呜呼痛哉,伏维尚享。”",pdf_01000000__01001019___9ae2e889df__line__000063,adjacency,
pdf_01000000__01001019___9ae2e889df,柴桑口,2,【第二场】,诸葛亮,鲁肃,对话/应答,对话,4,"呜呼公谨,不幸夭亡。呜呼痛哉,伏维尚享!",pdf_01000000__01001019___9ae2e889df__line__000063,adjacency,
pdf_01000000__01001019___9ae2e889df,柴桑口,2,【第二场】,鲁肃,诸葛亮,对话/应答,对话,4,见先生只哭得我好悲伤。,pdf_01000000__01001019___9ae2e889df__line__000063,adjacency,
pdf_01000000__01001019___9ae2e889df,柴桑口,2,【第二场】,诸葛亮,周循,对话/应答,对话,1,"送千里终须别何劳过让,试看吾一帆风雨洒康庄。",pdf_01000000__01001019___9ae2e889df__line__000063,adjacency,
pdf_01000000__01001019___9ae2e889df,柴桑口,2,【第二场】,周循,鲁肃,对话/应答,对话,4,何人前来吊祭?,pdf_01000000__01001019___9ae2e889df__line__000065,adjacency,
pdf_01000000__01001019___9ae2e889df,柴桑口,2,【第二场】,鲁肃,周循,对话/应答,对话,4,诸葛先生前来吊祭。,pdf_01000000__01001019___9ae2e889df__line__000065,adjacency,
pdf_01000000__01001019___9ae2e889df,柴桑口,3,【第三场】,诸葛亮,庞统,对话/应答,对话,4,哈哈哈......,pdf_01000000__01001019___9ae2e889df__line__000071,adjacency,
pdf_01000000__01001019___9ae2e889df,柴桑口,3,【第三场】,庞统,诸葛亮,对话/应答,对话,4,纵有那托天手难逃我掌。,pdf_01000000__01001019___9ae2e889df__line__000071,adjacency,
pdf_01000000__01001019___9ae2e889df,柴桑口,3,【第三场】,诸葛亮,张飞,对话/应答,对话,1,"想人生荣与枯得失难量, 际风云显奇谋姓字名扬。 远望着白泛泛滔天波浪,",pdf_01000000__01001019___9ae2e889df__line__000071,adjacency,
pdf_01000000__01001019___9ae2e889df,柴桑口,3,【第三场】,张飞,诸葛亮,对话/应答,对话,1,张翼德驾小舟迎接先生。,pdf_01000000__01001019___9ae2e889df__line__000071,adjacency,
pdf_01000000__01001019___9ae2e889df,柴桑口,3,【第三场】,诸葛亮,周循,对话/应答,对话,5,搭了扶手。,pdf_01000000__01001019___9ae2e889df__line__000071,adjacency,
pdf_01000000__01001019___9ae2e889df,柴桑口,3,【第三场】,周循,诸葛亮,对话/应答,对话,4,舟中敢是诸葛先生?,pdf_01000000__01001019___9ae2e889df__line__000071,adjacency,
pdf_01000000__01001019___9ae2e889df,柴桑口,1,【第一场】,龙套,鲁肃,同场共现,同场共现,1,（四龙套同上，鲁肃上。）,,stage_direction,
pdf_01000000__01001019___9ae2e889df,柴桑口,1,【第一场】,鲁肃,龙套,同场共现,同场共现,1,（四龙套同上，鲁肃上。）,,stage_direction,
pdf_01000000__01001019___9ae2e889df,柴桑口,1,【第一场】,诸葛亮,鲁肃,同场共现,同场共现,1,（诸葛亮、鲁肃同下。）,,stage_direction,
pdf_01000000__01001019___9ae2e889df,柴桑口,2,【第二场】,龙套,周循,同场共现,同场共现,2,（四龙套、周循同下。）,,stage_direction,
pdf_01000000__01001019___9ae2e889df,柴桑口,1,【第一场】,四吴将,鲁肃,汇报,汇报,1,启禀都督:孔明过江吊祭。,pdf_01000000__01001019___9ae2e889df__line__000029,llm,
pdf_01000000__01001019___9ae2e889df,柴桑口,1,【第一场】,四吴将,诸葛亮,对抗,对抗,2,"何不将他拿下,与都督报仇。",pdf_01000000__01001019___9ae2e889df__line__000029,llm,
pdf_01000000__01001019___9ae2e889df,柴桑口,1,【第一场】,鲁肃,四吴将,劝阻,劝阻,2,"且慢。想那孔明过江,必有能将跟随,你等看我眼色行事。",pdf_01000000__01001019___9ae2e889df__line__000029,llm,
pdf_01000000__01001019___9ae2e889df,柴桑口,1,【第一场】,鲁肃,诸葛亮,协助,协助,2,不知先生驾到，未曾远迎，当面恕罪。,pdf_01000000__01001019___9ae2e889df__line__000043,llm,
pdf_01000000__01001019___9ae2e889df,柴桑口,1,【第一场】,诸葛亮,鲁肃,评价,评价,1,故旧之谊，聊表鄙意。,pdf_01000000__01001019___9ae2e889df__line__000049,llm,
pdf_01000000__01001019___9ae2e889df,柴桑口,2,【第二场】,诸葛亮,周瑜,提及,提及,1,诸葛亮哭祭周瑜，表达悲痛,,llm,
pdf_01000000__01001019___9ae2e889df,柴桑口,2,【第二场】,鲁肃,诸葛亮,协助,协助,1,鲁肃送别诸葛亮，并劝阻周循,,llm,
pdf_01000000__01001019___9ae2e889df,柴桑口,2,【第二场】,周循,诸葛亮,对抗,对抗,1,周循欲将诸葛亮拿下报仇,,llm,
pdf_01000000__01001019___9ae2e889df,柴桑口,2,【第二场】,鲁肃,周循,劝阻,劝阻,1,鲁肃劝阻周循追赶诸葛亮,,llm,
pdf_01000000__01001019___9ae2e889df,柴桑口,3,【第三场】,诸葛亮,庞统,协助,协助,3,诸葛亮劝庞统投刘备并赠荐书,,llm,
pdf_01000000__01001019___9ae2e889df,柴桑口,3,【第三场】,周循,诸葛亮,对抗,对抗,4,周循持戈相向，欲杀诸葛亮,,llm,
pdf_01000000__01001019___9ae2e889df,柴桑口,3,【第三场】,张飞,诸葛亮,协助,协助,2,张飞驾小舟迎接诸葛亮,,llm,
