doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01001019___9ae2e889df,柴桑口,鲁肃,诸葛亮,协助,10,协助；对话,不知先生驾到，未曾远迎，当面恕罪。,llm_refined,0.9
pdf_01000000__01001019___9ae2e889df,柴桑口,诸葛亮,鲁肃,评价,9,同场共现；对话；评价,故旧之谊，聊表鄙意。,llm_refined,0.85
pdf_01000000__01001019___9ae2e889df,柴桑口,周循,诸葛亮,对抗,8,对抗；对话,周循欲将诸葛亮拿下报仇,llm_refined,0.95
pdf_01000000__01001019___9ae2e889df,柴桑口,诸葛亮,庞统,协助,7,协助；对话,诸葛亮劝庞统投刘备并赠荐书,llm_refined,0.9
pdf_01000000__01001019___9ae2e889df,柴桑口,诸葛亮,周循,对话,6,对话,"送千里终须别何劳过让,试看吾一帆风雨洒康庄。",llm_refined,0.8
pdf_01000000__01001019___9ae2e889df,柴桑口,鲁肃,周循,劝阻,5,劝阻；对话,诸葛先生前来吊祭。,llm_refined,0.85
pdf_01000000__01001019___9ae2e889df,柴桑口,周循,鲁肃,对话,4,对话,何人前来吊祭?,llm_refined,0.8
pdf_01000000__01001019___9ae2e889df,柴桑口,庞统,诸葛亮,对话,4,对话,纵有那托天手难逃我掌。,llm_refined,0.7
pdf_01000000__01001019___9ae2e889df,柴桑口,鲁肃,四吴将,劝阻,4,劝阻；对话,"身挂帅印,统雄兵,扫荡烟尘。",llm_refined,0.75
pdf_01000000__01001019___9ae2e889df,柴桑口,四吴将,鲁肃,汇报,3,对话；汇报,启禀都督:孔明过江吊祭。,llm_refined,0.85
pdf_01000000__01001019___9ae2e889df,柴桑口,张飞,诸葛亮,协助,3,协助；对话,张飞驾小舟迎接诸葛亮,llm_refined,0.9
pdf_01000000__01001019___9ae2e889df,柴桑口,四吴将,诸葛亮,对抗,2,对抗,"何不将他拿下,与都督报仇。",llm_refined,0.8
pdf_01000000__01001019___9ae2e889df,柴桑口,龙套,周循,同场共现,2,同场共现,（四龙套、周循同下。）,llm_refined,0.9
pdf_01000000__01001019___9ae2e889df,柴桑口,诸葛亮,周瑜,提及,1,提及,诸葛亮哭祭周瑜，表达悲痛,llm_refined,0.85
pdf_01000000__01001019___9ae2e889df,柴桑口,诸葛亮,张飞,对话,1,对话,"想人生荣与枯得失难量, 际风云显奇谋姓字名扬。 远望着白泛泛滔天波浪,",llm_refined,0.7
pdf_01000000__01001019___9ae2e889df,柴桑口,诸葛亮,赵云,对话,1,对话,"见陵寝不由人泪如雨降,想遗容倒叫我寸断肝肠。",llm_refined,0.7
pdf_01000000__01001019___9ae2e889df,柴桑口,赵云,诸葛亮,对话,1,对话,"“呜呼公瑾,不幸夭亡;修短由天,人岂不伤。我心实痛,酹酒一觞;君其有灵,享我蒸尝。从此天下,与谁相商。呜呼痛哉,伏维尚享。”",llm_refined,0.7
pdf_01000000__01001019___9ae2e889df,柴桑口,鲁肃,龙套,同场共现,1,同场共现,（四龙套同上，鲁肃上。）,llm_refined,0.9
pdf_01000000__01001019___9ae2e889df,柴桑口,龙套,鲁肃,同场共现,1,同场共现,（四龙套同上，鲁肃上。）,llm_refined,0.9
