doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01001019___9ae2e889df,柴桑口,权谋,4,鲁肃得知诸葛亮过江吊祭周瑜，吴将欲报仇，鲁肃劝阻并安排会见，诸葛亮以故旧之谊吊祭。,llm
pdf_01000000__01001019___9ae2e889df,柴桑口,吊祭,2,鲁肃得知诸葛亮过江吊祭周瑜，吴将欲报仇，鲁肃劝阻并安排会见，诸葛亮以故旧之谊吊祭。,llm
pdf_01000000__01001019___9ae2e889df,柴桑口,复仇,2,诸葛亮吊祭周瑜，哭诉悲痛，鲁肃感动；周循欲报仇，被鲁肃劝阻，但周循仍执意追赶。,llm
pdf_01000000__01001019___9ae2e889df,柴桑口,忠义,2,诸葛亮劝庞统投奔刘备，并赠荐书。庞统离去后，周循率兵拦截诸葛亮，欲为父报仇，冲突一触即发。,llm
pdf_01000000__01001019___9ae2e889df,柴桑口,亲情,1,# 《柴桑口》（一名：《孔明吊丧》）,keyword
pdf_01000000__01001019___9ae2e889df,柴桑口,喜剧,1,# 《柴桑口》（一名：《孔明吊丧》）,keyword
pdf_01000000__01001019___9ae2e889df,柴桑口,家国,1,# 《柴桑口》（一名：《孔明吊丧》）,keyword
pdf_01000000__01001019___9ae2e889df,柴桑口,情爱,1,鲁肃得知诸葛亮过江吊祭周瑜，吴将欲报仇，鲁肃劝阻并安排会见，诸葛亮以故旧之谊吊祭。,llm
pdf_01000000__01001019___9ae2e889df,柴桑口,战争,1,# 《柴桑口》（一名：《孔明吊丧》）,keyword
pdf_01000000__01001019___9ae2e889df,柴桑口,抉择,1,诸葛亮劝庞统投奔刘备，并赠荐书。庞统离去后，周循率兵拦截诸葛亮，欲为父报仇，冲突一触即发。,llm
pdf_01000000__01001019___9ae2e889df,柴桑口,政治博弈,1,鲁肃得知诸葛亮过江吊祭周瑜，吴将欲报仇，鲁肃劝阻并安排会见，诸葛亮以故旧之谊吊祭。,llm
