doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01001020___4ed03adea1,宋江闹院,1,【第一场】,张文远,阎惜姣,对话/应答,对话,19,"惜的的,爱的的,私通阎婆惜。",pdf_01000000__01001020___4ed03adea1__line__000020,adjacency,
pdf_01000000__01001020___4ed03adea1,宋江闹院,1,【第一场】,阎惜姣,张文远,对话/应答,对话,19,"忽听得双环响一声,不知来的是何人。用手儿开开了门两扇,",pdf_01000000__01001020___4ed03adea1__line__000020,adjacency,
pdf_01000000__01001020___4ed03adea1,宋江闹院,1,【第一场】,阎惜姣,宋江,提及,提及,1,那宋江他是狼来他是虎?,pdf_01000000__01001020___4ed03adea1__line__000020,mention,
pdf_01000000__01001020___4ed03adea1,宋江闹院,2,【第二场】,众人,宋江,对话/应答,对话,2,退堂呢!,pdf_01000000__01001020___4ed03adea1__line__000024,adjacency,
pdf_01000000__01001020___4ed03adea1,宋江闹院,2,【第二场】,宋江,众人,对话/应答,对话,1,"大老爷打罢了退堂鼓,衙前来了宋公明。",pdf_01000000__01001020___4ed03adea1__line__000024,adjacency,
pdf_01000000__01001020___4ed03adea1,宋江闹院,2,【第二场】,宋江,阎惜姣,对话/应答,对话,97,又听得那邻舍说短道长。,pdf_01000000__01001020___4ed03adea1__line__000024,adjacency,
pdf_01000000__01001020___4ed03adea1,宋江闹院,2,【第二场】,阎惜姣,宋江,对话/应答,对话,95,什么人?,pdf_01000000__01001020___4ed03adea1__line__000028,adjacency,
pdf_01000000__01001020___4ed03adea1,宋江闹院,2,【第二场】,阎惜姣,张文远,对话/应答,对话,11,"晓得了,你等一会儿。三郎快来!",pdf_01000000__01001020___4ed03adea1__line__000028,adjacency,
pdf_01000000__01001020___4ed03adea1,宋江闹院,2,【第二场】,张文远,阎惜姣,对话/应答,对话,10,"哎,大姐什么事?",pdf_01000000__01001020___4ed03adea1__line__000028,adjacency,
pdf_01000000__01001020___4ed03adea1,宋江闹院,2,【第二场】,张文远,宋江,对话/应答,对话,1,快些打发他走啊!,pdf_01000000__01001020___4ed03adea1__line__000028,adjacency,
pdf_01000000__01001020___4ed03adea1,宋江闹院,2,【第二场】,众人,张文远,命令/请求,命令,1,"啊,列位,你们来看前面走的张文远,后面跟的宋公明。师徒二人,同走一条道,令人好笑,哈哈哈!",pdf_01000000__01001020___4ed03adea1__line__000024,mention,
pdf_01000000__01001020___4ed03adea1,宋江闹院,2,【第二场】,宋江,张文远,提及,提及,2,张文远。,pdf_01000000__01001020___4ed03adea1__line__000028,mention,
pdf_01000000__01001020___4ed03adea1,宋江闹院,2,【第二场】,阎惜姣,张文远,提及,提及,6,张文远是你什么人?,pdf_01000000__01001020___4ed03adea1__line__000028,mention,
pdf_01000000__01001020___4ed03adea1,宋江闹院,2,【第二场】,宋江,阎惜姣,提及,提及,1,阎惜姣!,pdf_01000000__01001020___4ed03adea1__line__000030,mention,
pdf_01000000__01001020___4ed03adea1,宋江闹院,2,【第二场】,阎惜姣,宋江,提及,提及,5,宋江!,pdf_01000000__01001020___4ed03adea1__line__000030,mention,
pdf_01000000__01001020___4ed03adea1,宋江闹院,2,【第二场】,阎惜姣,宋江,命令/请求,命令,1,"嗳,我与她恩爱夫妻,争吵几句,说什么不来?待我转去......啊?这贱人已经将门紧闭。哎!大丈夫做事,提得起,放得下。这烟花之地,来不来,有什么要紧?说不来我就",pdf_01000000__01001020___4ed03adea1__line__000032,mention,
pdf_01000000__01001020___4ed03adea1,宋江闹院,1,【第一场】,张文远,阎惜姣,试探,试探,2,张文远问大姐可好，并试探其是否愿意亲热。,,llm,
pdf_01000000__01001020___4ed03adea1,宋江闹院,1,【第一场】,阎惜姣,张文远,协助,协助,2,阎惜姣开门迎入，告知母亲生日，并应允张文远亲热。,,llm,
pdf_01000000__01001020___4ed03adea1,宋江闹院,2,【第二场】,宋江,阎惜姣,试探,试探,3,宋江多次询问阎惜姣心事，并指出其态度异常。,,llm,
pdf_01000000__01001020___4ed03adea1,宋江闹院,2,【第二场】,阎惜姣,宋江,对抗,对抗,4,阎惜姣冷淡回应，推脱钥匙不在，并藏匿张文远。,pdf_01000000__01001020___4ed03adea1__line__000028,llm,
pdf_01000000__01001020___4ed03adea1,宋江闹院,2,【第二场】,阎惜姣,张文远,协助,协助,3,阎惜姣让张文远躲进母亲房中，并催促宋江离开。,,llm,
pdf_01000000__01001020___4ed03adea1,宋江闹院,2,【第二场】,张文远,宋江,对抗,对抗,2,张文远因宋江到来而惊慌躲藏，二人处于对立关系。,,llm,
